camera_id,location,area_name,area_code,lon,lat
281,"Chester Road, Gorse Hill",Trafford,E0800009,-2.298618,53.454109
284,"Moss Lane, Altrincham",Trafford,E0800009,-2.347952,53.386442
286,"Stamford Street, Old Trafford",Trafford,E0800009,-2.260948,53.459203
288,"The Downs, Altrincham",Trafford,E0800009,-2.352185,53.384678
289,"Lostock Subway/Circle Court, Lostock",Trafford,E0800009,-2.337634,53.456447
292,"Rippon Road, Lostock",Trafford,E0800009,-2.333404,53.453209
293,"Shaw's Road (Altrincham Market), Altrincham",Trafford,E0800009,-2.350947,53.387323
295,"Mainswood Road, Timperley",Trafford,E0800009,-2.311396,53.392165
296,"Goose Green (Cinema), Altrincham",Trafford,E0800009,-2.349398,53.385035
297,"Stamford New Road (Taxi Rank), Altrincham",Trafford,E0800009,-2.348568,53.387282
299,"Craven Road, Broadheath",Trafford,E0800009,-2.359343,53.401198
1276,"Washway Road, Sale",Trafford,E0800009,-2.326824,53.424168
1150,"Barton Dock Road (Trafford Centre), Dumplington",Trafford,E0800009,-2.347539,53.467971
1003,"Wharfside Way/Sir Matt Busby Way, Trafford Park",Trafford,E0800009,-2.289589,53.464723
1005,"Chester Road, Old Trafford",Trafford,E0800009,-2.285219,53.46222
1301,"Ashley Road/Hale View, Hale",Trafford,E0800009,-2.348709,53.378689
1302,"Ashley Road/Victoria Road, Hale",Trafford,E0800009,-2.347088,53.377985
1303,"Ashley Road, Hale",Trafford,E0800009,-2.345115,53.376644
1151,"Europa Circle, Trafford Park",Trafford,E0800009,-2.306039,53.462625
1033,"Empress Street (carpark), Old Trafford",Trafford,E0800009,-2.26968,53.46633
