camera_id,location,longitude,latitude
1,Trafford Wharf Road (Trafford Park),-2.284777,53.464515
3,Wharfside Way/John Gilbert Way (Trafford Park),-2.296845,53.466056
5,Chester Rd White City (Old Trafford),-2.284086,53.462683
6,Chester Rd/Sir Matt Busby Way (Old Trafford),-2.2880219999999998,53.461151
7,Seymour Grove/Kings Rd (Old Trafford),-2.273636,53.454314
9,The Quadrant (Old Trafford),-2.286269,53.452648
10,Warwick Road/Talbot Road (Old Trafford),-2.286228,53.458356
11,Talbot Road (Gorse Hill),-2.294119,53.455013
13,Norris Road (Sale Moor),-2.298845,53.414913
15,Brooklands Metro Station (Sale),-2.325582,53.417326
16,Goose Green (Altrincham),-2.350552,53.385287
24,Edge Lane (Stretford),-2.304892,53.445577
25,Subway 1 Chester Rd (Stretford),-2.307037,53.446325
26,Subway 2 Chester Rd (Stretford),-2.306366,53.446066
30,Seymour Grove (Old Trafford),-2.276369,53.461582
31,Northumberland Rd (Old Trafford),-2.268775,53.462879
32,Henrietta Street (Old Trafford),-2.266267,53.463376
33,Cornbrook Street (Old Trafford),-2.262538,53.464121
35,Clifton Street (Old Trafford),-2.262504,53.462363
36,Shrewsbury Street (Old Trafford),-2.260186,53.459859
37,Albion St/Prestege St (Old Trafford),-2.26277,53.459408
38,Powell Street (Old Trafford),-2.265667,53.458895
39,St Johns Road (Old Trafford),-2.268526,53.458392
40,Ayres Rd (Old Trafford),-2.272214,53.457764
60,Bodmin Road Health Centre (Sale West),-2.352147,53.427291
61,Magnolia Court (Sale West),-2.356303,53.428986
62,Magnolia Court (Sale West),-2.355984,53.428826
63,Epping Drive (Sale West),-2.357242,53.426419
64,Firsway/Goodwood Ave (Sale West),-2.355949,53.421475
65,Newbury Ave (Sale West),-2.356537,53.418649
66,Thirsk Ave (Sale West),-2.358473,53.418574
68,Chepstow Ave (Sale West),-2.358317,53.417099
69,Chepstow/Epsom Ave (Sale West),-2.358595,53.415842
70,Hurst Ave (Sale West),-2.356562,53.414996
71,Ascot Ave (Sale West),-2.354571,53.417121
72,Manor Ave (Sale West),-2.352037,53.414247
73,Lingfield Ave (Sale West),-2.362707,53.412257
79,Briarfield Rd (Altrincham),-2.31191,53.392836
80,George Street (Altrincham),-2.349734,53.387686
81,Regent/George St (Altrincham),-2.35191,53.38566
84,Regend Rd/Stamford New Rd (Altrincham),-2.351305,53.385521
87,Green Lane (Ashton upon Mersey),-2.341979,53.429465
89,Northenden Road (Sale Moor),-2.303596,53.419821
90,Manchester Road (Broadheath),-2.352036,53.397246
91,Sale Station/Taxi Rank (Sale),-2.318057,53.424316
92,Sale Town Hall (Sale),-2.320279,53.424828
93,School Rd/Claremont Rd (Sale),-2.321467,53.424992
94,School Rd/Hereford St (Sale),-2.322866,53.425237
95,School Rd/Hayfield St (Sale),-2.324203,53.425492
151,Moorside Car Park (Urmston),-2.356897,53.450961
152,Croftsbank Road (Urmston),-2.353107,53.449237
153,Flixton Rd/Roseneath Rd (Urmston),-2.357465,53.448352
154,Flixton Rd - Railway Station (Urmston),-2.353634,53.448477
161,Station Rd/Higher Rd (Urmston),-2.352996,53.448046
165,Woodsend Circle (Flixton),-2.392811,53.452665
170,Bucklow Ave (Partington),-2.420971,53.420234
171,Moss Lane (Partington),-2.420165,53.414908
173,Manchester Rd/Redbrook Rd (Partington),-2.430853,53.414459
175,Tulip Road (Partington),-2.433712,53.412226
176,Laurel Walk (Partington),-2.435616,53.412934
177,Oak Road - Bus Stop (Partington),-2.437791,53.41147
178,Oak Road - Park (Partington),-2.439616,53.414088
179,Wood Lane/Myrtle Rd (Partington),-2.440728,53.415398
180,Lock Lane/Birch Rd (Partington),-2.439043,53.418434
181,Millbank House (Partington),-2.436823,53.4165
182,Wood Lane Shops (Partington),-2.434972,53.416547
184,Lock Lane/Conniston (Partington),-2.431558,53.419452
185,Millenium Clock - Manchester Road/Moss Lane (Partington),-2.425567,53.419938
186,Central Road Shops (Partington),-2.426262,53.418467
187,Oak Road Shops (Partington),-2.435432,53.411727
188,Car Park Rear of Co-op - Central Road Service Road (Partington),-2.425075,53.418235
201,Sale Water Park (Sale),-2.300683,53.431668
202,Sale Water Park (Sale),-2.299811,53.43147
203,Sale Water Park (Sale),-2.299181,53.431016
204,Sale Water Park (Sale),-2.29997,53.431313
205,Sale Water Park (Sale),-2.3,53.431425
206,Sale Water Park (Sale),-2.300072,53.431336
207,Sale Water Park (Sale),-2.300123,53.431355
208,Sale Water Park (Sale),-2.300268,53.431402
275,Kings Rd/Edge Lane (Stretford),-2.302341,53.445465
276,Sale Magistrates - School Road/Cross Street (Sale),-2.325966,53.425703
277,Kings Ransom - Northenden Road (Sale),-2.318901,53.42467
278,Upper Chorlton Rd (Old Trafford),-2.261344,53.457036
279,"Grove Lane, Hale (Altrincham)",-2.32808,53.380931
280,Norton Street (Old Trafford),-2.262833,53.457699
281,"Chester Rd, Gorse Hill (Gorse Hill)",-2.298618,53.454109
283,Milton Road/Talbot Road (Gorse Hill),-2.296942,53.453648
284,Moss Lane (Altrincham),-2.347952,53.386442
286,Stamford Street (Old Trafford),-2.260948,53.459203
288,The Downs (Altrincham),-2.352185,53.384678
289,Lostock Subway - Circle Court (Lostock),-2.337634,53.456447
292,Rippon Road (Lostock),-2.333404,53.453209
293,"Shaws Road, Altrincham Market (Altrincham)",-2.350947,53.387323
294,Stamford Park (Altrincham),-2.343039,53.383295
295,Mainswood Road (Timperley),-2.311396,53.392165
296,Goose Green/Cinema (Altrincham),-2.349398,53.385035
297,Altrincham Taxi Rank (Altrincham),-2.348568,53.387282
299,Craven Road (Broadheath),-2.359343,53.401198
