name,address,ward,localAuthority,lon,lat
Bob Holmes Bookmaker,"6 Chapel Walks, Middleton M24 4QB",South Middleton,Rochdale,-2.224595,53.544149
Betfred,"183 Kirkway, Middleton M24 1LW",South Middleton,Rochdale,-2.1933288,53.5380082
Ladbrokes,"Unit 47/48, Middleton Shopping Centre, Middleton M24 4EL",South Middleton,Rochdale,-2.2007711,53.5483865
Coral Racing Ltd,"378 Lower Falinge, Rochdale OL12 6BR",Spotland and Falinge,Rochdale,-2.1670249,53.6235569
Betfred,80 Bury Street OL10 4QT,West Heywood,Rochdale,-2.2340543,53.5932385
Ladbrokes,20 Argyle Parade OL10 3RY,West Heywood,Rochdale,-2.241075,53.5878878
William Hill,"1A Lakeland Court, Middleton M24 5QJ",West Middleton,Rochdale,-2.2152981,53.5571431
Betfred,"276-278 Liverpool Road, Eccles M30 0RZ",Barton,Salford,-2.3565624,53.4820862
William Hill,"Unit C, 311 Liverpool Road, Eccles M30 0QN",Barton,Salford,-2.3577387,53.4812114
Betfred,5 Standfield Centre M28 1FB,Boothstown and Ellenbrook,Salford,-2.4160893,53.502771
Betfred,15 Mocha Parade M7 1QE,Broughton,Salford,-2.2606719,53.4917119
Ladbrokes,267 Great Cheetham Street East M7 4UF,Broughton,Salford,-2.2550428,53.503066
Betfred,"192A-192B Liverpool Road, Cadishead M44 5DB",Cadishead,Salford,-2.4389097,53.4242571
William Hill,"547 Liverpool Road, Irlam M44 6ZT",Cadishead,Salford,-2.4273551,53.4386415
William Hill,375 Bolton Road M6 7NJ,Claremont,Salford,-2.308753,53.5007597
Betfred,"110 Monton Road, Eccles M30 9PY",Eccles,Salford,-2.3481685,53.4895408
Betfred,"64 Church Street, Eccles M30 0DA",Eccles,Salford,-2.3358081,53.4830797
Coral Racing Ltd,"35-37 Church Street, Eccles M30 0BJ",Eccles,Salford,-2.335384,53.4837032
William Hill,"56 Church Street, Eccles M30 0DF",Eccles,Salford,-2.3370403,53.4838089
Betfred,"92-94 Liverpool Road, Irlam M44 6FN",Irlam,Salford,-2.4097773,53.4528806
Betfred,220 Chapel Street M3 5LE,Irwell Riverside,Salford,-2.2594837,53.4835372
Betfred,333-335 Bolton Road M6 7GU,Irwell Riverside,Salford,-2.3070465,53.499916
Betfred,Broughton Road M6 6LS,Irwell Riverside,Salford,-2.2839306,53.4930652
Betfred,307-309 Littleton Road M7 3TA,Kersal,Salford,-2.2799816,53.5040366
Betfred,6 Union Terrace M7 4ZH,Kersal,Salford,-2.2458434,53.5125891
William Hill,"12 Union Terrace, Bury Old Road M7 4ZH",Kersal,Salford,-2.2458434,53.5125891
Betfred,177-179 Langworthy Road M6 5PW,Langworthy,Salford,-2.2950678,53.485955
Betfred,43-44 Hankinson Way M6 5JA,Langworthy,Salford,-2.286436,53.4888132
Betfred,80 Pendleton Way M6 5FW,Langworthy,Salford,-2.2877905,53.4903935
Ladbrokes,"114 Sutton Way, Salford Shopping City M6 5HS",Langworthy,Salford,-2.2874613,53.4896761
William Hill,161 Langworthy Road M6 5PW,Langworthy,Salford,-2.2947677,53.4856548
William Hill,47-48 Market Way M6 5HG,Langworthy,Salford,-2.288072,53.4880936
William Hill,505-507 Liverpool Street M6 5QQ,Langworthy,Salford,-2.2978408,53.4838744
Ladbrokes,"38 Hulton District Centre, Worsley M28 0AU",Little Hulton,Salford,-2.4231123,53.5296967
William Hill,"Unit 9, Hulton District Centre, Worsley M28 0BA",Little Hulton,Salford,-2.4221821,53.5298867
Betfred,"582-584 Bolton Road, Pendlebury, Swinton M27 4ET",Pendlebury,Salford,-2.3296756,53.51706
Stan James,"696-698 Bolton Road, Pendlebury, Swinton M27 6EL",Swinton North,Salford,-2.3334748,53.5191396
William Hill,465 Chorley Road M27 9RH,Swinton North,Salford,-2.3511738,53.5168766
Betfred,"21 The Parade, Swinton M27 4BH",Swinton South,Salford,-2.3378012,53.5132947
Done Bookmakers,"Unit 21-23  The Parade, Swinton M27 4BH",Swinton South,Salford,-2.3378012,53.5132947
Coral Racing Ltd,"5 The Parade, Swinton M27 4BH",Swinton South,Salford,-2.3383925,53.5125091
William Hill,"243 Manchester Road, Swinton M27 4TT",Swinton South,Salford,-2.3319595,53.5078961
Betfred,"500 Manchester Road East, Little Hulton M38 9NS",Walkden North,Salford,-2.4234771,53.531182
Betfred,"Unit 150/151  Ellesmere Shopping Centre, Bolton Road, Worsley M28 3ZH",Walkden North,Salford,-2.400132,53.524892
Betfred,"Unit 4 Radclyffe Park, Trafford Road M5 3PH",Walkden North,Salford,-2.411549,53.5332496
Ladbrokes,"Unit 40, Ellesmere Shopping Centre, Bolton Road, Worsley M28 3ZD",Walkden North,Salford,-2.400132,53.524892
Coral Racing Ltd,"Unit 61, Ellesmere Shopping Centre, Bolton Road, Worsley M28 3ZD",Walkden North,Salford,-2.400132,53.524892
William Hill,132 Walkden Road M28 7DP,Walkden South,Salford,-2.3964039,53.5189642
Betfred,67 Tootal Road M5 5EG,Weaste and Seedley,Salford,-2.3116747,53.4845251
Betfred,"392 Worsley Road, Eccles M30 8HQ",Winton,Salford,-2.3719439,53.491028
Betfred,498-502 Liverpool Road M30 7HZ,Winton,Salford,-2.3655111,53.4786183
William Hill,"226 Moss Lane, Bramhall SK7 1BD",Bramhall South and Woodford,Stockport,-2.1667599,53.3571963
Ladbrokes,"Unit 1, Woodley Precinct, Woodley SK6 1RJ",Bredbury and Woodley,Stockport,-2.1011286,53.4262177
William Hill,"41 Woodley Precinct, Woodley SK6 1RJ",Bredbury and Woodley,Stockport,-2.1011286,53.4262177
Coral Racing Ltd,"21 The Precinct, Romiley SK6 4EA",Bredbury Green and Romiley,Stockport,-2.0860311,53.4137609
Corals,"162 Higher Bents Lane, Bredbury SK6 2LU",Bredbury Green and Romiley,Stockport,-2.1059243,53.4161497
Betfred,111 Princes Street SK1 1RW,Brinnington and Central,Stockport,-2.1625766,53.4107461
Betfred,19 Warren Street SK1 1UD,Brinnington and Central,Stockport,-2.1575623,53.4126116
Ladbrokes,16-18 Great Underbank SK1 1LW,Brinnington and Central,Stockport,-2.1583368,53.4114999
William Hill,18 Princes Street SK1 1SE,Brinnington and Central,Stockport,-2.1592113,53.4124966
William Hill,8 Little Underbank SK1 1JT,Brinnington and Central,Stockport,-2.1577816,53.4110183
William Hill,"7/8, Brinnington Village Centre, SK5 8BA",Brinnington and Central,Stockport,-2.133997,53.427092
Ladbrokes,"1 Church Road, Gatley SK8 4NG",Cheadle and Gatley,Stockport,-2.2360248,53.3918853
David Pluck Bookmakers,42 High Street SK8 1AE,Cheadle and Gatley,Stockport,-2.2161905,53.3946481
William Hill,19 High Street SK8 1AX,Cheadle and Gatley,Stockport,-2.2143368,53.3948272
William Hill,153 Councillor Lane SK8 2JE,Cheadle Hulme North,Stockport,-2.194189,53.3910669
Betfred,"Unit 30B, Cheadle Hulme Shopping Precinc SK8 5AF",Cheadle Hulme South,Stockport,-2.1898165,53.3776839
William Hill,"15 Station Road, Cheadle Hulme SK8 5AF",Cheadle Hulme South,Stockport,-2.1895295,53.3774803
William Hill,276 Adswood Road SK3 8PN,Davenport and Cale Green,Stockport,-2.1698678,53.3893928
Lewis Bookmakers,100-102 Castle Street SK3 9AL,Edgeley and Cheadle Heath,Stockport,-2.1683642,53.4016229
William Hill,154-156 Grenville Street SK3 9EU,Edgeley and Cheadle Heath,Stockport,-2.1700689,53.4017606
William Hill,17 Castle Street SK3 9AT,Edgeley and Cheadle Heath,Stockport,-2.1641242,53.4023034
Betfred,"101 London Road, Hazel Grove SK7 4AX",Hazel Grove,Stockport,-2.1240753,53.3818893
Betfred,"3 Fiveways Parade, Hazel Grove SK7 6DG",Hazel Grove,Stockport,-2.114207,53.3679225
William Hill,"186-188 London Road, Hazel Grove SK7 4DQ",Hazel Grove,Stockport,-2.1222071,53.3799317
Betfred,"236 Finney Lane, Heald Green SK8 3QA",Heald Green,Stockport,-2.2332893,53.3702288
Coral Racing Ltd,"258 Finney Lane, Heald Green SK8 3QD",Heald Green,Stockport,-2.2347932,53.3703657
Coral Bookmakers,108 Heaton Moor Road SK4 4NZ,Heatons North,Stockport,-2.1840961,53.4229556
Coral Bookmakers Paul Dean Bookmakers,478 Didsbury Road SK4 3BS,Heatons South,Stockport,-2.2061224,53.4121254
William Hill,64-66 Buxton Road SK2 6NB,Manor,Stockport,-2.1503013,53.396601
Coral,"95 Church Lane, Marple SK6 7AW",Marple South,Stockport,-2.0647342,53.3931931
William Hill,140 Lisburne Lane SK2 5RH,Offerton,Stockport,-2.1237151,53.3972697
Lewis Bookmakers,6-8 Broadstone Road SK5 7AE,Reddish North,Stockport,-2.1605275,53.4372844
William Hill,5-9 Leamington Road SK5 6BD,Reddish North,Stockport,-2.161314,53.4374575
William Hill,604-608 Gorton Road SK5 6RE,Reddish North,Stockport,-2.1575196,53.4534441
Totesport,32 Gorton Road SK5 6AE,Reddish North,Stockport,-2.1595393,53.4380341
David Pluck Racing,"105-107 Reddish Lane, Denton M34 2NF",Reddish North,Stockport,-2.1583238,53.4545271
William Hill,418-420 Manchester Road SK4 5BY,Reddish South,Stockport,-2.1745675,53.4281447
David Pluck Racing,349 Buxton Road SK2 7NL,Stepping Hill,Stockport,-2.1361228,53.388716
Coral Racing Ltd,240 Kings Road OL6 8HD,Ashton St Michael's,Tameside,-2.0790095,53.500338
Coral Racing Ltd,252-254 Whiteacre Road OL6 9QB,Ashton St Michael's,Tameside,-2.0795192,53.4957192
Coral Racing Ltd,48 Stamford Square OL6 6QW,Ashton St Michael's,Tameside,-2.0782193,53.4869047
Coral Racing Ltd,336 Oldham Road OL7 9AU,Ashton Waterloo,Tameside,-2.1031389,53.4984631
Lewis Bookmakers,"2-2A Stockport Road, Denton M34 6DA",Denton North East,Tameside,-2.1138713,53.4559296
Betfred,"177-179 Stockport Road, Denton M34 1AQ",Denton North East,Tameside,-2.1114988,53.4519216
Coral Racing Ltd,"32 Ashton Road, Denton M34 3EX",Denton North East,Tameside,-2.1140355,53.4570258
William Hill,"3-5 Manchester Road, Denton M34 3JU",Denton North East,Tameside,-2.1153057,53.4559853
Betfred,"101 Haughton Green Road, Denton M34 1GR",Denton South,Tameside,-2.0979813,53.4410783
David Pluck Racing,"130-132 Market Street, Droylsden M43 7AA",Droylsden East,Tameside,-2.1450515,53.480086
Coral Racing Ltd,"Unit L, Droylsden Shopping Centre M43 6DE",Droylsden East,Tameside,-2.1459747,53.4803082
William Hill,"135-137 Market Street, Droylsden M43 7AR",Droylsden East,Tameside,-2.1458199,53.4800289
William Hill,"Fiveways, 164A Greenside Lane, Droylsden M43 7UR",Droylsden West,Tameside,-2.151003,53.484872
William Hill,113-117 King Street SK16 4NQ,Dukinfield,Tameside,-2.0939855,53.4798473
Ladbrokes,"34, 36 & 38 Grosvenor Street SK15 2JN",Dukinfield Stalybridge,Tameside,-2.057121,53.481412
David Pluck Racing,Unit 1 28-36 Melbourne Street SK15 2JJ,Dukinfield Stalybridge,Tameside,-2.0571777,53.4825356
Coral Racing Ltd,45 Grosvenor Street SK15 2JN,Dukinfield Stalybridge,Tameside,-2.0577729,53.4813477
William Hill,10 Melbourne Street SK15 2JE,Dukinfield Stalybridge,Tameside,-2.0577216,53.4833309
William Hill,142 Cheetham Hill Road SK16 5JJ,Dukinfield Stalybridge,Tameside,-2.0701103,53.4753515
Betfred,16A Market Place SK14 2QU,Hyde Godley,Tameside,-2.0813138,53.4522986
William Hill,9 Market Place SK14 2LX,Hyde Godley,Tameside,-2.0787685,53.4516542
Betfred,2 Bennett Street SK14 4TQ,Hyde Newton,Tameside,-2.0766869,53.4629254
Ladbrokes,92 Market Street SK14 1ES,Hyde Werneth,Tameside,-2.0785222,53.4501017
Betfred,"Unit 16A, Katherine Street, Arcades Shopping Centre OL6 7JE",St Peter's,Tameside,-2.0951653,53.4896372
Betfred,"Unit 16C, Katherine Street, Arcades Shopping Centre OL6 7JE",St Peter's,Tameside,-2.0951653,53.4896372
Betfred,"Unit 40, The Arcades, Warrington Street OL6 7JD",St Peter's,Tameside,-2.0951653,53.4896372
Ladbrokes,"36-38 Staveleigh Mall, Ladysmith Centre OL6 7JJ",St Peter's,Tameside,-2.0958891,53.4887623
Ladbrokes,85 Old Street OL6 7RS,St Peter's,Tameside,-2.0939693,53.4879818
Coral Racing Ltd,"26 Warrington Street, OL6 6AS",St Peter's,Tameside,-2.093245,53.488037
Coral Racing Ltd,"7 Chapel Street, Audenshaw M34 5DE",St Peter's,Tameside,-2.1122083,53.46875
Coral Racing Ltd,86 Stockport Road OL7 0LH,St Peter's,Tameside,-2.107333,53.4807001
William Hill,37 Old Street OL6 6BB,St Peter's,Tameside,-2.0918037,53.4885064
Betfred,100 George Street WA14 1RF,Altrincham,Trafford,-2.3513727,53.3863497
Ladbrokes,2A-4 Regent Road WA14 1RE,Altrincham,Trafford,-2.3489495,53.3876928
William Hill,85 Manchester Road WA14 4RJ,Altrincham,Trafford,-2.3523246,53.396798
Coral Racing Ltd,8/10 Green Lane M33 5PH,Ashton upon Mersey,Trafford,-2.341546,53.42921
Betfred,8 Brooklands Road M33 3SQ,Brooklands,Trafford,-2.3252343,53.4168361
William Hill,5 Partington Shopping Centre M31 4EL,Bucklow-St Martins,Trafford,-2.4255998,53.4188142
Betfred,107 Ayres Road M16 7GS,Clifford,Trafford,-2.2681968,53.458376
Betfred,175 Chorlton Road M16 7WS,Clifford,Trafford,-2.2580326,53.4590315
William Hill,27 Chorlton Street M16 9HN,Clifford,Trafford,-2.2687535,53.4637423
Betfred,"9/9A Lostock Road, Urmston M41 0SU",Davyhulme East,Trafford,-2.355999,53.458276
Ladbrokes,"9b Lostock Road, Urmston M41 0SU",Davyhulme East,Trafford,-2.3561603,53.4583072
Coral Racing Ltd,"6 Davyhulme Circle, Urmston M41 0SS",Davyhulme East,Trafford,-2.3566101,53.457229
William Hill,"13 Woodsend Circle, Urmston M41 8GY",Davyhulme West,Trafford,-2.3942203,53.4527173
William Hill,"Unit 4  Woodsend Circle, Flixton M41 8GY",Davyhulme West,Trafford,-2.393459,53.452523
Betfred,"890 Chester Road, Stretford M32 0PA",Gorse Hill,Trafford,-2.2989021,53.4543995
Ladbrokes,"676 Chester Road, Stretford M32 0SF",Gorse Hill,Trafford,-2.2881284,53.4612387
Coral Racing Ltd,"408 Barton Road, Stretford M32 9RW",Gorse Hill,Trafford,-2.3252604,53.4543387
Betfred,34 Hale Road WA14 2EX,Hale Central,Trafford,-2.3485797,53.3815943
Coral Racing Ltd,"87 Great Stone Road, Stretford M32 8GR",Longford,Trafford,-2.2861085,53.4528601
William Hill,"5 Talbot Road, Old Trafford M16 0QT",Longford,Trafford,-2.2758461,53.462047
Ladbrokes,41 School Road M33 7YE,Priory,Trafford,-2.3228165,53.4249794
David Pluck Racing,12 Northenden Road M33 3BR,Priory,Trafford,-2.3169509,53.4238156
Coral Racing Ltd,19A School Road M33 7XX,Priory,Trafford,-2.3211566,53.4247841
William Hill,19C School Road M33 7XX,Priory,Trafford,-2.321041,53.424744
Betfred,58 Coppice Avenue M33 4WB,St Mary's,Trafford,-2.3512242,53.4145674
David Pluck Racing,141 Northenden Road M33 3HF,Sale Moor,Trafford,-2.3038403,53.4198924
Coral Racing Ltd,384 Northenden Road M33 2PT,Sale Moor,Trafford,-2.2912701,53.418803
William Hill,147-151 Northenden Road M33 2HS,Sale Moor,Trafford,-2.3032207,53.4199374
Ladbrokes,"Unit 123, Arndale Centre, Stretford M32 9BH",Stretford,Trafford,-2.3099387,53.4451707
William Hill,"28 Moss Road, Stretford M32 0AH",Stretford,Trafford,-2.318375,53.4480874
Betfred,"349 Stockport Road, Timperley WA15 7UG",Timperley,Trafford,-2.3192321,53.3974458
Coral Racing Ltd,5A-7  Flixton Road M41 5AW,Urmston,Trafford,-2.3554583,53.4483297
William Hill,"Plot 3, Unit 18, Golden Way, M41 0NA",Urmston,Trafford,-2.354178,53.449325
William Hill,"256 Stockport Road, Timperley WA15 7UT",Village,Trafford,-2.3179081,53.3974584
Betfred,"Unit 4 Walthew Parade, Walthew Lane WN2 5AL",Abram,Wigan,-2.598375,53.519929
Totesport,"48-50 Warrington Road, Platt Bridge WN2 5JA",Abram,Wigan,-2.5977454,53.5175714
Ladbrokes,"3 The Gerard Centre, Gerard Street, Ashton-In-Makerfield WN4 9AN",Ashton,Wigan,-2.6367043,53.4867736
Coral Racing Ltd,"12-14 Gerard Street, Ashton-In-Makerfield WN4 9AA",Ashton,Wigan,-2.6371055,53.487257
William Hill,"25A The Gerard Centre, Gerard Street, Ashton-In-Makerfield WN4 9AN",Ashton,Wigan,-2.6367043,53.4867736
Betfred,73 Westleigh Lane WN7 5JE,Atherleigh,Wigan,-2.5267231,53.5116063
Ladbrokes,"44 Market Street, Atherton M46 0DG",Atherleigh,Wigan,-2.4924417,53.5236198
William Hill,"46 Market Street, Atherton M46 0DG",Atherleigh,Wigan,-2.4925376,53.5236268
Betfred,"100 Bolton Road, Atherton M46 9JY",Atherton,Wigan,-2.4834346,53.5276163
William Hill,1 Brierfield Avenue M46 0HA,Atherton,Wigan,-2.4948484,53.5290702
Bet Fred,"Unit5/6 Bryn Road, Ashton-in-Makerfield WN4 0AA",Bryn,Wigan,-2.646485,53.5016186
Betfred,399-401 Ormskirk Road WN5 9DH,Douglas,Wigan,-2.6670732,53.535668
Betfred,6-10 Wallgate WN1 1JU,Douglas,Wigan,-2.6341682,53.5436026
William Hill,137 Ormskirk Road WN5 8AQ,Douglas,Wigan,-2.6552988,53.538514
Totesport,22 Wallgate WN1 1JU,Douglas,Wigan,-2.6339351,53.5437395
Totesport,397 Ormskirk Road WN5 9DH,Douglas,Wigan,-2.667068,53.5356597
Harold Smith Bookmakers,"3 , Stone Cross Lane North, Lowton WA3 2SA",Golborne and Lowton West,Wigan,-2.581768,53.4745776
Betfred,"26 Heath Street, Golborne WA3 3AD",Golborne and Lowton West,Wigan,-2.598562,53.476439
William Hill,"1-3 Heath Street, Golborne WA3 3BN",Golborne and Lowton West,Wigan,-2.5982398,53.4767409
Coral Racing Ltd,23 Borsdane Avenue Hindley WN2 3QN,Hindley,Wigan,-2.5643286,53.5339282
Coral Racing Ltd,"64 Market Street, Hindley WN2 3AN",Hindley,Wigan,-2.577498,53.5361501
Totesport,"83 Market Street, Hindley WN2 3AE",Hindley,Wigan,-2.5772811,53.5361095
William Hill,"548 Atherton Road, Hindley Green WN2 4SJ",Hindley Green,Wigan,-2.5575323,53.5265022
