name,address,ward,localAuthority,lon,lat
Ladbrokes,45-47 Deansgate BL1 1HQ,Great Lever,Bolton,-2.4289242,53.5795238
Coral Racing Ltd,1 Newport Street BL1 1NE,Great Lever,Bolton,-2.4288905,53.5771508
William Hill,22 Newport Street BL1 1NB,Great Lever,Bolton,-2.4288428,53.5763537
William Hill,279 Rishton Lane BL3 2EH,Great Lever,Bolton,-2.428439,53.560576
Ladbrokes,224-226 Chorley Old Road BL1 3BW,Halliwell,Bolton,-2.4495308,53.5857903
Ladbrokes,34 Newport Street BL1 1NB,Halliwell,Bolton,-2.4297651,53.5770218
William Hill,256-258 Chorley Old Road BL1 4JE,Halliwell,Bolton,-2.4512216,53.5865334
Betfred,"1 Derwent Road, Farnworth BL4 0QE",Harper Green,Bolton,-2.428964,53.5466068
Betfred,"20 Blackhorse Street, Blackrod BL6 5EW",Horwich and Blackrod,Bolton,-2.5875988,53.5940149
Betfred,"29-31 Winter Hey Lane, Horwich BL6 7AD",Horwich and Blackrod,Bolton,-2.5472019,53.5993121
Ladbrokes,"222 Chorley New Road, Horwich BL6 5NP",Horwich and Blackrod,Bolton,-2.5457292,53.5945135
Ladbrokes,"36 Lee Lane, Horwich BL6 7AE",Horwich and Blackrod,Bolton,-2.5459673,53.5997634
Bolton Wanderers Development Association (Chorley) Limited,"Bolton Wanderers Football Club, Macron Staduim, Burnden Way,Lostock BL6 6JW",Horwich and Blackrod,Bolton,-2.5369749,53.5813723
Ladbrokes,"33 Lee Lane, Horwich BL6 7AX",Horwich North East,Bolton,-2.5458792,53.5997822
Betfred,425-427 Wigan Road BL3 4QJ,Hulton,Bolton,-2.4665726,53.566617
Betfred,26 Manchester Road BL4 8NZ,Kearsley,Bolton,-2.3748398,53.5392862
Betfred,"Unit 1, 192 Manchester Road, Kearsley BL4 8QR",Kearsley,Bolton,-2.3690051,53.5374759
Ladbrokes,"2 -4 Norris Street, Farnworth BL4 9HG",Kearsley,Bolton,-2.3985779,53.5448886
Ladbrokes,"36-38 Higher Market Street, Farnworth BL4 9AJ",Kearsley,Bolton,-2.3918902,53.5462679
Betfred,"61 Market St, Little Lever BL3 1HH",Little Lever and Darcy Lever,Bolton,-2.371583,53.562262
William Hill,"5 Market Street, Little Lever BL3 1HH",Little Lever and Darcy Lever,Bolton,-2.3698579,53.5614549
Betfred,86 St. Helens Road BL3 3NP,Rumworth,Bolton,-2.4485386,53.5646814
Ladbrokes,171-173 St. Helens Road BL3 3PS,Rumworth,Bolton,-2.4510908,53.5631867
Ladbrokes,196 Deane Road BL3 5DP,Rumworth,Bolton,-2.4436182,53.5730606
Ladbrokes,"3-4 Derby Shopping Centre, Cannon Street BL3 5BP",Rumworth,Bolton,-2.4427942,53.5710679
Ladbrokes,147-151 Tonge Moor Road BL2 2HR,Tonge with the Haulgh,Bolton,-2.4127437,53.5893419
Coral Racing Ltd,322 Crompton Way BL2 2NE,Tonge with the Haulgh,Bolton,-2.4069976,53.5919143
William Hill,"32 Market Street, Westhoughton BL5 3AN",Westhoughton North and Chew Moor,Bolton,-2.5212728,53.548935
Betfred,57 Market Street BL5 3AG,Westhoughton South,Bolton,-2.5241818,53.548974
Ladbrokes,"7 Albert Place, Whitefield M45 8NE",Besses,Bury,-2.2770009,53.5513982
Ladbrokes,"Unit 4, Ribble Drive, Whitefield M45 8NA",Besses,Bury,-2.2852831,53.5508786
Betfred,30 Haymarket Street BL9 0AY,East,Bury,-2.2984214,53.5915236
Betfred,35 Market Street BL9 0BL,East,Bury,-2.2961236,53.5920545
Betfred,7 Silver Street BL9 0EU,East,Bury,-2.298309,53.5931428
Betfred,88 Rochdale Road BL9 7AY,East,Bury,-2.2868226,53.5930371
Coral,Unit 3 Princess Parade BL9 0QL,East,Bury,-2.2952592,53.5916488
Coral Racing Ltd,105 The Rock BL9 0NB,East,Bury,-2.2930754,53.5950339
Coral Racing Ltd,2 The Rock BL9 0NT,East,Bury,-2.2972745,53.593604
William Hill,1/3 Market Place BL9 0LD,East,Bury,-2.2973615,53.5934489
William Hill,4 Princess Parade BL9 0QL,East,Bury,-2.2952592,53.5916488
Totesport,58 Moorgate BL9 7AF,East,Bury,-2.2881885,53.5970225
Betfred,322 Tottington Road BL8 1TA,Elton,Bury,-2.3216896,53.6029921
Betfred,"417 Bury Old Road, Prestwich M25 1PS",Holyrood,Bury,-2.271555,53.536413
Betfred,168 Walmersley Road BL9 6LL,Moorside,Bury,-2.2902285,53.6019364
Ladbrokes,4 Ribble Drive BL9 6RT,North Manor,Bury,-2.292471,53.62208
Ladbrokes,"36 Stand Lane, Radcliffe M26 1LJ",Radcliffe East,Bury,-2.3232795,53.5578245
Coral Racing Ltd,"37-39 Cross Lane, Radcliffe M26 2QZ",Radcliffe East,Bury,-2.3168309,53.5640623
William Hill,"159 Ainsworth Road, Radcliffe M26 4FD",Radcliffe North,Bury,-2.3357511,53.5674536
Betfred,"130 Water Street, Radcliffe M26 4BE",Radcliffe West,Bury,-2.3348088,53.5630626
Betfred,"Unit 3 Apex Centre, Water Street, Radcliffe M26 4DF",Radcliffe West,Bury,-2.3341533,53.563032
Betfred,"11 Bridge Street, Ramsbottom BL0 9AB",Ramsbottom,Bury,-2.3150007,53.6480721
Ladbrokes,"35 Bolton Street, Ramsbottom BL0 9HU",Ramsbottom,Bury,-2.3188884,53.6479909
Betfred,203 Manchester Road BL9 9HL,Redvales,Bury,-2.2986306,53.5831521
Coral Racing Ltd,119-121 Radcliffe Road BL9 9LD,Redvales,Bury,-2.3030952,53.5806189
Betfred,"135 Bury New Road, Prestwich M25 9NX",St Mary's,Bury,-2.2767947,53.5236876
Betfred,"22 Longfield Centre, Prestwich M25 1AY",St Mary's,Bury,-2.2840896,53.5337397
Betfred,"Unit 5 Radius Devt Longfield Centre, Prestwich M25 1AY",St Mary's,Bury,-2.2838344,53.5329359
Coral Racing Ltd,"462 Bury New Road, Prestwich M25 1AX",St Mary's,Bury,-2.2850476,53.5329567
Ladbrokes,"48 Bury New Road, Prestwich M25 0JU",Sedgley,Bury,-2.2717099,53.5191012
William Hill,287 Middleton Road M8 4LY,Sedgley,Bury,-2.247248,53.5282801
Betfred,"7 Elms Square, Whitefield M45 7TA",Unsworth,Bury,-2.2947085,53.5530318
Coral Racing Ltd,384 Parr Lane BL9 8LU,Unsworth,Bury,-2.2808472,53.5564254
Betfred,586a and 586f Ashton New Road M11 4SG,Ancoats and Clayton,Manchester,-2.1867786,53.4833027
William Hill,593-595 Ashton New Road M11 4EA,Ancoats and Clayton,Manchester,-2.1875134,53.4834761
William Hill,1068 Ashton New Road M11 4PE,Ancoats and Clayton,Manchester,-2.1678531,53.4809437
Betfred,62 Hathersage Road M13 0FE,Ardwick,Manchester,-2.2183465,53.4598078
Betfred,"Unit 1 Grove Village Parade, Stockport Road M13 0SH",Ardwick,Manchester,-2.2156513,53.4656168
William Hill,58 Stockport Road M12 6AL,Ardwick,Manchester,-2.2219928,53.4685489
William Hill,62/64 Stockport Road M12 6AL,Ardwick,Manchester,-2.2217653,53.4684327
Lewis Bookmaker,Hall Lane M23 1AQ,Baguley,Manchester,-2.2783048,53.3966677
Betfred,83 Beswick Street M4 7HR,Bradford,Manchester,-2.2136682,53.4832036
Betfred,"Unit 9, Lime Square, Ashton Old Road M11 1DA",Bradford,Manchester,-2.1828822,53.4735267
William Hill,1294 Ashton Old Road M11 1JG,Bradford,Manchester,-2.1632778,53.4727517
William Hill,"Unit 3, Westlake Retail Park, Ashton Old Road M11 2SL",Bradford,Manchester,-2.1773182,53.4734748
Totesport,1299- 1303 Ashton Old Road M11 1JS,Bradford,Manchester,-2.163085,53.472939
Betfred,153 Moorcroft Road M23 0AE,Brooklands,Manchester,-2.2929741,53.4087442
Coral Racing Ltd,193 Fog Lane M20 6FJ,Burnage,Manchester,-2.2161657,53.4212624
William Hill,285-287 Mauldeth Road M19 1HL,Burnage,Manchester,-2.2009648,53.432695
William Hill,471 Kingsway M19 1NR,Burnage,Manchester,-2.2126776,53.4214447
William Hill,478 Burnage Lane M19 1LH,Burnage,Manchester,-2.2033594,53.4253576
Coral Racing Ltd,401 Hollinwood Avenue M40 0JQ,Charlestown,Manchester,-2.1742148,53.5246965
Ladbrokes,71 Cheetham Hill Road M4 4ES,Cheetham,Manchester,-2.2407393,53.4922556
Ladbrokes,"Unit 32 Manchester Fort Shopping Park, Cheetham Hill Road M8 8EP",Cheetham,Manchester,-2.2355575,53.4980882
David Pluck Bookmakers,481 Cheetham Hill Road M8 9LR,Cheetham,Manchester,-2.2418476,53.5081464
William Hill,283 Cheetham Hill Road M8 0SN,Cheetham,Manchester,-2.2360752,53.5010005
Coral Racing Ltd,442 Barlow Moor Road M21 0BQ,Chorlton,Manchester,-2.2773621,53.4430023
William Hill,168 Manchester Road M16 0DZ,Chorlton,Manchester,-2.2734504,53.4498818
William Hill,482 Wilbraham Road M21 9AS,Chorlton,Manchester,-2.2788294,53.4427387
William Hill,355 Barlow Moor Road M21 7FZ,Chorlton Park,Manchester,-2.2707994,53.4326754
William Hill,368 Barlow Moor Road M21 8AZ,Chorlton Park,Manchester,-2.2742865,53.438252
Paddy Power,"Unit F2, 44 City Tower,Piccadilly Plaza M1 4AJ",City Centre,Manchester,-2.237315,53.479833
Betfred,"De Quincy House, 86 Cross Street M2 4LA",City Centre,Manchester,-2.24526,53.4803825
