date,area_code,area_name,geography,gender,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
2017-06-30,E00030780,Trafford - E00030780,OA,Persons,426,93,225,108,5,2,5,4,5,3,8,5,6,3,10,8,8,9,7,5,9,5,6,1,2,1,2,1,2,2,2,5,1,2,1,1,5,3,1,4,5,2,3,9,7,6,1,5,7,6,15,5,7,7,8,1,9,5,12,8,5,6,4,2,5,8,1,7,3,3,7,5,5,4,5,2,4,7,3,3,4,7,3,1,0,4,3,4,2,2,3,3,1,4,19
2017-06-30,E00030801,Trafford - E00030801,OA,Persons,323,79,196,48,4,6,5,6,5,6,4,2,3,7,4,8,6,4,4,5,5,2,4,1,2,1,2,3,1,6,3,4,1,6,4,5,4,8,7,4,4,2,5,6,7,3,1,5,7,3,8,3,3,4,5,3,8,4,3,6,5,3,4,8,4,1,1,4,3,1,3,0,8,3,3,6,3,4,0,0,1,3,4,4,1,2,1,0,0,0,1,0,0,0,0
2017-06-30,E00030806,Trafford - E00030806,OA,Persons,175,13,94,68,0,2,2,0,0,0,1,3,0,0,2,2,0,0,1,0,1,3,1,0,1,0,1,0,2,0,1,2,3,0,1,1,1,1,2,0,0,0,0,1,1,1,3,0,3,3,2,0,2,3,4,3,2,4,4,5,3,4,1,8,3,5,0,3,5,2,4,5,1,2,5,3,2,2,5,6,2,4,5,2,4,4,0,1,1,1,3,0,2,0,2
2017-06-30,E00030807,Trafford - E00030807,OA,Persons,393,112,244,37,12,7,3,4,6,9,7,6,10,5,6,6,7,7,8,9,12,6,4,9,4,3,2,4,7,3,4,3,3,5,2,2,3,5,8,10,11,8,4,7,5,7,5,3,3,7,10,5,6,11,5,6,7,1,3,2,4,6,4,2,4,3,3,1,2,2,2,1,4,5,1,1,3,0,1,0,2,1,2,2,0,3,2,1,0,1,0,2,0,0,1
2017-06-30,E00030809,Trafford - E00030809,OA,Persons,386,112,240,34,4,14,11,9,9,8,8,6,4,7,2,4,6,9,2,9,4,7,2,1,2,2,3,2,4,3,5,3,6,3,5,4,3,11,8,6,7,8,6,6,5,7,10,10,5,5,7,1,8,6,7,5,6,8,4,8,4,6,1,4,0,6,2,2,2,1,1,1,3,2,3,3,3,1,4,1,3,0,0,1,1,1,0,1,0,0,0,1,1,1,1
2017-06-30,E00030781,Trafford - E00030781,OA,Persons,570,69,436,65,5,7,6,3,2,8,7,4,4,1,5,6,3,3,2,3,6,2,2,3,7,9,7,6,16,14,9,13,21,12,16,11,14,12,15,9,15,13,15,12,13,8,15,8,7,8,12,6,6,8,5,4,8,9,10,8,5,8,5,2,2,6,3,6,5,3,3,2,1,4,4,3,5,4,1,1,4,4,5,3,5,2,1,1,1,2,0,0,2,1,3
2017-06-30,E00030782,Trafford - E00030782,OA,Persons,403,73,258,72,2,3,4,3,9,6,5,8,3,2,7,2,6,6,6,1,2,4,1,1,0,3,5,1,9,6,7,7,8,6,3,9,5,4,9,4,11,4,11,8,7,14,5,1,9,10,5,6,2,5,3,7,5,6,9,8,3,3,5,2,3,2,2,2,6,5,7,4,4,2,6,1,3,6,6,2,3,1,0,2,3,2,3,1,1,2,0,0,1,2,5
2017-06-30,E00030784,Trafford - E00030784,OA,Persons,260,36,108,116,3,1,3,3,2,0,3,1,0,3,2,1,4,3,4,3,2,2,1,1,0,1,0,0,1,2,0,5,1,5,4,2,3,3,3,5,3,1,4,1,3,3,2,3,2,4,3,1,2,1,3,1,6,3,5,2,1,1,2,2,4,1,1,2,0,0,5,2,2,6,2,3,2,5,2,5,2,6,5,0,6,6,3,5,6,4,8,3,7,7,14
2017-06-30,E00030800,Trafford - E00030800,OA,Persons,346,82,193,71,4,4,6,8,3,3,2,8,6,8,6,2,6,5,10,1,9,4,6,0,1,0,1,3,4,3,3,1,2,3,4,2,2,1,1,3,6,3,2,3,8,6,8,14,6,1,2,1,7,4,7,6,1,7,5,4,9,4,4,3,4,7,2,4,2,3,6,8,5,3,5,2,4,2,1,2,1,1,2,3,0,0,4,2,2,2,2,2,4,2,3
2017-06-30,E00030804,Trafford - E00030804,OA,Persons,325,59,199,67,1,1,1,3,5,3,1,4,7,5,9,3,7,1,2,6,9,7,4,4,3,6,3,2,5,4,1,4,3,3,1,2,0,0,0,2,3,2,3,4,5,7,4,5,3,3,4,3,6,4,5,4,5,9,11,7,6,5,6,4,5,5,4,0,4,5,4,3,3,4,4,3,4,2,4,3,1,3,1,4,0,2,3,0,3,4,2,0,0,0,5
