OBJECTID,ListEntry,Name,Grade,ListDate,AmendDate,CaptureScale,hyperlink,NGR,Easting,Northing,area_code,area_name
46169,1067892,Brooks' Institute,II,1976-05-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067892,SJ 77381 92470,377381,392470.36084392,E08000009,Trafford
46170,1067893,Church Of St Martin,II*,1966-11-11T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067893,SJ 77238 92993,377238,392993.36084392,E08000009,Trafford
46171,1067894,"118 And 120, Cross Street",II,1966-11-11T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067894,SJ 78751 92496,378751,392496.36084392,E08000009,Trafford
46172,1067895,Church Of Saint Mary Magdalene,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067895,SJ 77500 91909,377500,391909.36084392,E08000009,Trafford
46173,1067896,War Memorial,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067896,SJ 78854 92047,378854,392047.36084392,E08000009,Trafford
46174,1067897,Church House,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067897,SJ 70484 89184,370484,389184.36084392,E08000009,Trafford
46175,1067898,The Bent Farmhouse,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067898,SJ 70411 89163,370411,389163.36084392,E08000009,Trafford
46176,1067899,Barn To South West Of Overtown Farmhouse,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067899,SJ 70311 89372,370311,389372.36084392,E08000009,Trafford
46177,1067900,Shippon To West Of Wigsey Farmhouse,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067900,SJ 70038 89525,370038,389525.36084391,E08000009,Trafford
46178,1067901,"Stocks
Stocks South Of Junction With Wigsey Lane",II,1959-03-05T00:00:00Z,1985-07-12T00:00:00Z,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067901,SJ 69893 89558,369893,389558.36084392,E08000009,Trafford
46179,1067902,Pier At South West Corner Of Forecourt Garden,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067902,SJ7349287285,373491.702501297,387284.739751816,E08000009,Trafford
46180,1067903,Sawmill,II*,1959-03-05T00:00:00Z,1985-07-12T00:00:00Z,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067903,SJ 73457 87247,373457,387247.36084392,E08000009,Trafford
46181,1067904,2 Small Piers At South Of Garden Forecourt,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067904,SJ7353487299,373533.801099777,387299.328201294,E08000009,Trafford
46182,1067905,Stables To West Of Barn Cottages,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067905,SJ 73335 87373,373335,387373.36084392,E08000009,Trafford
46183,1067906,Temple To West Of Dunham Hall,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067906,SJ7316187404,373160.6101017,387403.692152023,E08000009,Trafford
46184,1067907,Wellhouse And Adjoining Root Arbour,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067907,SJ 73558 87552,373558,387552.36084392,E08000009,Trafford
46185,1067908,Aviary Adjoining Dunham Massey Lodge,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067908,SJ7436686468,374366.013299942,386467.640352249,E08000009,Trafford
46186,1067909,Dunham Massey Lodge,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067909,SJ 74341 86444,374341,386444.36084392,E08000009,Trafford
