area_code,area_name,geography,period,indicator,household_bedrooms,measure,unit,value
E05000829,Gorse Hill,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,2690
E05000829,Gorse Hill,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,440
E05000830,Hale Barns,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,193
E05000830,Hale Barns,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,475
E05000830,Hale Barns,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,1192
E05000830,Hale Barns,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,1961
E05000831,Hale Central,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,147
E05000831,Hale Central,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,984
E05000831,Hale Central,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,1241
E05000831,Hale Central,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,1807
E05000832,Longford,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,822
E05000832,Longford,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,1071
E05000832,Longford,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,2472
E05000832,Longford,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,784
E05000833,Priory,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,819
E05000833,Priory,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,1720
E05000833,Priory,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,1550
