area_code,area_name,geography,period,indicator,resident_category,measure,unit,value
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 0 to 15 years,Count,Persons,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 16 to 24 years,Count,Persons,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 25 to 34 years,Count,Persons,1
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 35 to 49 years,Count,Persons,2
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 50 to 64 years,Count,Persons,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 65 to 74 years,Count,Persons,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 75 to 84 years,Count,Persons,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 85 years and over,Count,Persons,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 0 to 15 years,Count,Persons,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 16 to 24 years,Count,Persons,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 25 to 34 years,Count,Persons,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 35 to 49 years,Count,Persons,1
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 50 to 64 years,Count,Persons,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 65 to 74 years,Count,Persons,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 75 to 84 years,Count,Persons,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 85 years and over,Count,Persons,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Staff or owner,Count,Persons,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Family member or partner of staff or owner,Count,Persons,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Staying temporarily (no usual UK address),Count,Persons,0
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 0 to 15 years,Count,Persons,0
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 16 to 24 years,Count,Persons,4
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 25 to 34 years,Count,Persons,0
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 35 to 49 years,Count,Persons,3
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 50 to 64 years,Count,Persons,1
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 65 to 74 years,Count,Persons,4
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 75 to 84 years,Count,Persons,0
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 85 years and over,Count,Persons,1
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 0 to 15 years,Count,Persons,0
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 16 to 24 years,Count,Persons,0
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 25 to 34 years,Count,Persons,0
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 35 to 49 years,Count,Persons,3
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 50 to 64 years,Count,Persons,5
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 65 to 74 years,Count,Persons,4
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 75 to 84 years,Count,Persons,1
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 85 years and over,Count,Persons,0
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Staff or owner,Count,Persons,0
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Family member or partner of staff or owner,Count,Persons,0
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Staying temporarily (no usual UK address),Count,Persons,0
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 0 to 15 years,Count,Persons,0
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 16 to 24 years,Count,Persons,3
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 25 to 34 years,Count,Persons,7
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 35 to 49 years,Count,Persons,4
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 50 to 64 years,Count,Persons,10
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 65 to 74 years,Count,Persons,5
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 75 to 84 years,Count,Persons,9
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 85 years and over,Count,Persons,8
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 0 to 15 years,Count,Persons,0
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 16 to 24 years,Count,Persons,2
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 25 to 34 years,Count,Persons,1
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 35 to 49 years,Count,Persons,1
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 50 to 64 years,Count,Persons,6
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 65 to 74 years,Count,Persons,7
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 75 to 84 years,Count,Persons,21
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 85 years and over,Count,Persons,27
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Staff or owner,Count,Persons,0
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Family member or partner of staff or owner,Count,Persons,0
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Staying temporarily (no usual UK address),Count,Persons,2
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 0 to 15 years,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 16 to 24 years,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 25 to 34 years,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 35 to 49 years,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 50 to 64 years,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 65 to 74 years,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 75 to 84 years,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 85 years and over,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 0 to 15 years,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 16 to 24 years,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 25 to 34 years,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 35 to 49 years,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 50 to 64 years,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 65 to 74 years,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 75 to 84 years,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 85 years and over,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Staff or owner,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Family member or partner of staff or owner,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Staying temporarily (no usual UK address),Count,Persons,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 0 to 15 years,Count,Persons,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 16 to 24 years,Count,Persons,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 25 to 34 years,Count,Persons,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 35 to 49 years,Count,Persons,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 50 to 64 years,Count,Persons,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 65 to 74 years,Count,Persons,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 75 to 84 years,Count,Persons,6
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 85 years and over,Count,Persons,5
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 0 to 15 years,Count,Persons,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 16 to 24 years,Count,Persons,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 25 to 34 years,Count,Persons,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 35 to 49 years,Count,Persons,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 50 to 64 years,Count,Persons,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 65 to 74 years,Count,Persons,5
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 75 to 84 years,Count,Persons,9
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 85 years and over,Count,Persons,18
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Staff or owner,Count,Persons,5
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Family member or partner of staff or owner,Count,Persons,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Staying temporarily (no usual UK address),Count,Persons,1
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 0 to 15 years,Count,Persons,0
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 16 to 24 years,Count,Persons,0
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 25 to 34 years,Count,Persons,0
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 35 to 49 years,Count,Persons,0
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 50 to 64 years,Count,Persons,0
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 65 to 74 years,Count,Persons,0
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 75 to 84 years,Count,Persons,3
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 85 years and over,Count,Persons,3
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 0 to 15 years,Count,Persons,0
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 16 to 24 years,Count,Persons,0
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 25 to 34 years,Count,Persons,0
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 35 to 49 years,Count,Persons,0
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 50 to 64 years,Count,Persons,0
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 65 to 74 years,Count,Persons,1
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 75 to 84 years,Count,Persons,5
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 85 years and over,Count,Persons,7
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Staff or owner,Count,Persons,0
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Family member or partner of staff or owner,Count,Persons,0
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Staying temporarily (no usual UK address),Count,Persons,0
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 0 to 15 years,Count,Persons,0
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 16 to 24 years,Count,Persons,1
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 25 to 34 years,Count,Persons,0
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 35 to 49 years,Count,Persons,0
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 50 to 64 years,Count,Persons,3
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 65 to 74 years,Count,Persons,4
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 75 to 84 years,Count,Persons,5
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 85 years and over,Count,Persons,9
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 0 to 15 years,Count,Persons,0
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 16 to 24 years,Count,Persons,0
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 25 to 34 years,Count,Persons,0
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 35 to 49 years,Count,Persons,3
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 50 to 64 years,Count,Persons,9
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 65 to 74 years,Count,Persons,12
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 75 to 84 years,Count,Persons,24
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 85 years and over,Count,Persons,52
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Staff or owner,Count,Persons,0
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Family member or partner of staff or owner,Count,Persons,4
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Staying temporarily (no usual UK address),Count,Persons,0
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 0 to 15 years,Count,Persons,0
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 16 to 24 years,Count,Persons,0
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 25 to 34 years,Count,Persons,1
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 35 to 49 years,Count,Persons,5
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 50 to 64 years,Count,Persons,11
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 65 to 74 years,Count,Persons,9
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 75 to 84 years,Count,Persons,15
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 85 years and over,Count,Persons,11
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 0 to 15 years,Count,Persons,0
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 16 to 24 years,Count,Persons,0
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 25 to 34 years,Count,Persons,0
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 35 to 49 years,Count,Persons,2
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 50 to 64 years,Count,Persons,9
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 65 to 74 years,Count,Persons,0
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 75 to 84 years,Count,Persons,6
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Female: Aged 85 years and over,Count,Persons,13
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Staff or owner,Count,Persons,2
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Family member or partner of staff or owner,Count,Persons,0
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Staying temporarily (no usual UK address),Count,Persons,0
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Communal establishment residents by age and sex,Resident: Male: Aged 0 to 15 years,Count,Persons,0
