area_code,area_name,geography,period,indicator,household_bedrooms,measure,unit,value
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,331
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,96
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,8
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,37
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,440
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,148
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,16
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,43
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,497
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,42
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,27
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,46
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,501
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,72
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,193
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,248
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,427
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,79
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,68
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,426
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,579
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,68
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,40
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,313
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,440
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,138
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,9
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,14
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,240
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,210
