area_code,area_name,geography,period,indicator,central_heating_type,measure,unit,value
E08000001,Bolton,Local authority,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,1747
E08000001,Bolton,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,96195
E08000001,Bolton,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,402
E08000001,Bolton,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,8045
E08000001,Bolton,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Oil only,Count,Households,250
E08000001,Bolton,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Wood only,Count,Households,42
E08000001,Bolton,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Solid fuel only,Count,Households,90
E08000001,Bolton,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Renewable energy only,Count,Households,104
E08000001,Bolton,Local authority,2021-03-21,The type of central heating present in occupied household spaces,District or communal heat networks only,Count,Households,643
E08000001,Bolton,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Other central heating only,Count,Households,1346
E08000001,Bolton,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (not including renewable energy),Count,Households,9650
E08000001,Bolton,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (including renewable energy),Count,Households,275
E08000002,Bury,Local authority,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,1035
E08000002,Bury,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,67065
E08000002,Bury,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,225
E08000002,Bury,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,4957
E08000002,Bury,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Oil only,Count,Households,182
E08000002,Bury,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Wood only,Count,Households,27
E08000002,Bury,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Solid fuel only,Count,Households,20
E08000002,Bury,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Renewable energy only,Count,Households,66
E08000002,Bury,Local authority,2021-03-21,The type of central heating present in occupied household spaces,District or communal heat networks only,Count,Households,200
E08000002,Bury,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Other central heating only,Count,Households,574
E08000002,Bury,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (not including renewable energy),Count,Households,6159
E08000002,Bury,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (including renewable energy),Count,Households,184
E08000003,Manchester,Local authority,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,4884
E08000003,Manchester,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,143876
E08000003,Manchester,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,1039
E08000003,Manchester,Local authority,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,39199
