area_code,area_name,geography,period,indicator,central_heating_type,measure,unit,value
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Solid fuel only,Count,Households,0
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Renewable energy only,Count,Households,1
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,District or communal heat networks only,Count,Households,25
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Other central heating only,Count,Households,30
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (not including renewable energy),Count,Households,262
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (including renewable energy),Count,Households,4
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,23
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,3049
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,4
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,101
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Oil only,Count,Households,3
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Wood only,Count,Households,2
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Solid fuel only,Count,Households,0
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Renewable energy only,Count,Households,4
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,District or communal heat networks only,Count,Households,1
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Other central heating only,Count,Households,9
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (not including renewable energy),Count,Households,209
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (including renewable energy),Count,Households,5
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,35
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,2845
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,7
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,142
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Oil only,Count,Households,2
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Wood only,Count,Households,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Solid fuel only,Count,Households,2
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Renewable energy only,Count,Households,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,District or communal heat networks only,Count,Households,2
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Other central heating only,Count,Households,24
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (not including renewable energy),Count,Households,238
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (including renewable energy),Count,Households,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,36
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,2983
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,4
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,84
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Oil only,Count,Households,2
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Wood only,Count,Households,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Solid fuel only,Count,Households,1
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Renewable energy only,Count,Households,2
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,District or communal heat networks only,Count,Households,22
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Other central heating only,Count,Households,17
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (not including renewable energy),Count,Households,225
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (including renewable energy),Count,Households,9
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,46
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,2424
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,9
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,295
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Oil only,Count,Households,2
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Wood only,Count,Households,0
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Solid fuel only,Count,Households,0
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Renewable energy only,Count,Households,1
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,District or communal heat networks only,Count,Households,46
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Other central heating only,Count,Households,34
