area_code,area_name,geography,period,indicator,accommodation_type,measure,unit,value
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,1
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,236
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,2445
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,417
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,166
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,18
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,3
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,15
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,395
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,2046
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,587
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,317
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,18
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,5
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,23
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,0
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,213
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,1489
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,317
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,990
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,55
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,16
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,11
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,0
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,324
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,1103
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,938
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,780
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,163
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,10
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,69
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,2
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,434
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,1998
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,279
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,195
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,22
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,4
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,24
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,1
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,163
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,1456
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,964
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,817
