period,area_code,area_name,geography,gender,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
2019-06-30,E00030775,E00030775,OA,Males,99,14,66,19,2,2,1,1,0,1,0,0,0,1,4,0,1,0,1,0,1,0,0,0,0,1,0,2,0,2,1,2,1,0,2,3,2,1,2,1,3,2,1,1,2,2,1,0,3,3,2,3,1,4,0,1,0,2,2,3,2,0,0,1,1,0,2,0,3,3,0,0,1,0,0,2,2,0,1,0,3,1,0,1,0,0,0,2,0,3,0,0,0,0,0
2019-06-30,E00030775,E00030775,OA,Persons,209,30,127,52,6,3,1,1,1,1,1,0,2,1,4,2,2,2,2,1,1,1,1,0,2,4,0,3,0,3,1,7,3,1,3,3,5,3,6,5,4,3,2,1,3,4,3,0,4,3,4,4,2,4,2,3,1,3,3,3,4,1,0,2,2,0,3,1,6,4,0,1,1,1,1,2,4,1,3,0,3,2,1,3,2,2,2,2,1,4,2,4,1,0,5
2019-06-30,E00030776,E00030776,OA,Females,169,33,121,15,1,2,1,2,3,6,1,4,3,1,2,3,0,1,1,2,0,1,0,2,1,4,1,0,1,5,1,3,9,3,4,1,2,3,1,5,6,3,3,2,2,3,4,2,5,4,3,0,2,0,1,4,3,4,1,3,3,3,1,1,1,4,2,2,2,1,0,0,0,0,1,2,0,1,0,1,0,2,0,0,0,0,0,1,4,0,0,0,1,1,0
2019-06-30,E00030776,E00030776,OA,Males,129,25,89,15,3,2,1,1,2,2,0,2,3,0,3,0,1,4,0,1,2,2,0,0,1,1,2,0,1,0,3,0,6,2,5,3,6,4,4,4,4,6,3,1,1,4,0,0,1,2,1,3,0,1,1,0,1,1,1,3,1,2,1,2,2,0,1,0,0,2,1,2,0,0,0,0,3,2,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
2019-06-30,E00030776,E00030776,OA,Persons,298,58,210,30,4,4,2,3,5,8,1,6,6,1,5,3,1,5,1,3,2,3,0,2,2,5,3,0,2,5,4,3,15,5,9,4,8,7,5,9,10,9,6,3,3,7,4,2,6,6,4,3,2,1,2,4,4,5,2,6,4,5,2,3,3,4,3,2,2,3,1,2,0,0,1,2,3,3,0,1,1,2,1,1,1,0,0,2,4,0,0,0,1,1,0
2019-06-30,E00030777,E00030777,OA,Females,134,22,93,19,0,1,0,3,2,3,3,2,1,3,3,0,0,0,1,0,2,0,0,0,0,0,2,1,0,1,3,1,2,2,4,0,6,5,6,2,1,4,2,3,2,0,5,3,3,1,0,4,2,1,1,3,2,1,1,3,0,2,1,1,0,7,0,2,1,1,1,1,0,2,0,1,1,1,1,2,1,0,0,1,1,1,0,0,0,2,0,1,1,0,0
2019-06-30,E00030777,E00030777,OA,Males,149,25,108,16,2,1,2,2,0,0,0,2,2,0,3,3,1,1,3,3,1,2,2,1,3,1,2,2,0,2,1,5,3,3,3,2,1,2,4,2,3,1,5,4,4,1,5,2,2,1,0,3,3,3,2,0,2,0,2,1,2,2,3,1,3,5,3,0,3,1,4,2,2,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2019-06-30,E00030777,E00030777,OA,Persons,283,47,201,35,2,2,2,5,2,3,3,4,3,3,6,3,1,1,4,3,3,2,2,1,3,1,4,3,0,3,4,6,5,5,7,2,7,7,10,4,4,5,7,7,6,1,10,5,5,2,0,7,5,4,3,3,4,1,3,4,2,4,4,2,3,12,3,2,4,2,5,3,2,2,1,2,2,2,1,2,2,0,0,1,1,1,1,1,0,2,0,1,1,0,0
2019-06-30,E00030778,E00030778,OA,Females,218,56,149,13,3,5,4,3,14,3,1,1,5,4,1,0,3,3,2,4,1,0,2,1,2,1,0,3,8,6,3,2,5,7,5,5,6,8,7,5,6,4,4,4,2,5,3,3,2,4,1,1,2,1,3,0,5,3,3,1,0,1,2,4,2,2,1,2,1,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0
2019-06-30,E00030778,E00030778,OA,Males,235,49,169,17,3,9,5,2,5,3,4,2,3,2,2,2,2,1,3,1,3,4,3,2,2,1,0,3,7,9,3,4,4,7,4,13,3,10,2,7,7,3,4,7,3,2,3,2,8,4,3,1,2,2,3,0,3,2,2,1,2,2,2,3,3,0,3,0,1,1,2,0,0,2,0,1,0,2,2,0,0,0,2,2,0,0,2,0,0,0,1,0,0,0,0
2019-06-30,E00030778,E00030778,OA,Persons,453,105,318,30,6,14,9,5,19,6,5,3,8,6,3,2,5,4,5,5,4,4,5,3,4,2,0,6,15,15,6,6,9,14,9,18,9,18,9,12,13,7,8,11,5,7,6,5,10,8,4,2,4,3,6,0,8,5,5,2,2,3,4,7,5,2,4,2,2,2,3,1,1,4,1,1,0,2,2,1,0,0,2,2,2,1,2,0,2,0,1,0,0,0,0
