period,area_code,area_name,geography,gender,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
2020-06-30,E00030771,E00030771,OA,Females,182,44,121,17,2,3,2,1,4,0,6,4,3,5,2,3,0,5,2,2,4,1,1,0,0,1,0,5,1,2,6,0,4,0,0,3,1,1,4,1,3,1,3,4,2,2,2,0,3,3,3,4,4,3,1,4,4,3,3,1,4,7,3,2,3,2,3,5,4,1,0,0,0,0,0,2,3,0,3,0,0,0,3,1,1,0,1,0,1,0,0,0,1,0,0
2020-06-30,E00030771,E00030771,OA,Males,187,44,116,27,1,1,3,2,2,1,6,1,4,3,2,3,5,2,5,3,2,1,4,2,0,3,0,1,1,0,3,1,0,2,0,2,3,4,3,3,4,1,2,5,4,1,0,1,2,3,4,2,1,2,2,5,1,2,3,5,6,3,5,2,4,0,3,5,3,2,1,2,5,0,1,3,3,2,1,1,0,0,0,1,1,0,0,1,0,1,2,0,0,0,0
2020-06-30,E00030771,E00030771,OA,Persons,369,88,237,44,3,4,5,3,6,1,12,5,7,8,4,6,5,7,7,5,6,2,5,2,0,4,0,6,2,2,9,1,4,2,0,5,4,5,7,4,7,2,5,9,6,3,2,1,5,6,7,6,5,5,3,9,5,5,6,6,10,10,8,4,7,2,6,10,7,3,1,2,5,0,1,5,6,2,4,1,0,0,3,2,2,0,1,1,1,1,2,0,1,0,0
2020-06-30,E00030772,E00030772,OA,Females,151,39,96,16,1,3,1,2,1,2,2,3,5,4,4,3,4,3,1,0,1,1,1,0,0,0,0,0,0,1,2,3,0,1,1,5,3,2,4,3,4,2,3,5,5,2,3,3,1,7,2,3,4,0,3,0,4,1,3,3,1,0,1,1,2,2,2,1,0,3,1,1,1,1,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,3,0,0,0,0,0
2020-06-30,E00030772,E00030772,OA,Males,143,41,89,13,2,3,2,2,1,4,2,7,2,3,6,2,1,2,2,0,2,2,1,1,1,3,0,0,3,1,1,1,2,1,1,3,1,4,2,5,5,3,2,5,3,4,4,0,2,1,3,0,1,3,1,2,2,2,1,2,0,3,2,1,0,0,1,0,1,1,1,0,2,2,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0
2020-06-30,E00030772,E00030772,OA,Persons,294,80,185,29,3,6,3,4,2,6,4,10,7,7,10,5,5,5,3,0,3,3,2,1,1,3,0,0,3,2,3,4,2,2,2,8,4,6,6,8,9,5,5,10,8,6,7,3,3,8,5,3,5,3,4,2,6,3,4,5,1,3,3,2,2,2,3,1,1,4,2,1,3,3,0,0,0,1,0,0,1,1,2,5,1,0,1,0,1,3,0,0,0,0,0
2020-06-30,E00030773,E00030773,OA,Females,154,32,81,41,0,2,0,2,2,1,2,0,4,2,2,1,3,2,5,4,3,2,2,1,1,1,1,0,1,1,0,1,0,0,0,0,2,1,2,3,0,2,1,2,0,0,2,0,5,4,6,3,3,2,2,4,1,5,1,0,0,1,1,1,1,3,4,4,1,2,1,0,0,1,2,0,2,0,1,4,3,0,1,0,2,1,3,1,0,3,1,1,1,2,9
2020-06-30,E00030773,E00030773,OA,Males,141,28,81,32,1,1,1,1,1,1,2,1,3,2,3,1,5,2,2,1,4,2,3,0,1,1,2,0,0,1,2,1,1,1,0,0,1,1,0,1,1,1,0,1,1,3,2,3,3,2,7,3,2,1,1,1,4,4,1,2,2,2,0,3,3,0,0,3,3,0,2,2,3,1,0,1,2,1,1,2,3,1,0,3,0,0,3,0,1,2,1,2,0,0,1
2020-06-30,E00030773,E00030773,OA,Persons,295,60,162,73,1,3,1,3,3,2,4,1,7,4,5,2,8,4,7,5,7,4,5,1,2,2,3,0,1,2,2,2,1,1,0,0,3,2,2,4,1,3,1,3,1,3,4,3,8,6,13,6,5,3,3,5,5,9,2,2,2,3,1,4,4,3,4,7,4,2,3,2,3,2,2,1,4,1,2,6,6,1,1,3,2,1,6,1,1,5,2,3,1,2,10
2020-06-30,E00030774,E00030774,OA,Females,141,28,105,8,1,3,0,1,0,4,0,3,1,2,1,3,3,3,0,3,2,0,1,0,1,1,2,3,2,3,2,2,5,4,0,2,2,5,5,2,4,6,2,4,2,5,2,3,1,3,2,1,3,4,0,1,2,1,1,0,1,3,1,2,1,1,1,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0
2020-06-30,E00030774,E00030774,OA,Males,173,37,120,16,5,0,2,3,2,1,0,3,3,4,0,7,1,0,2,4,0,0,2,0,1,0,1,1,0,4,4,5,4,5,4,1,3,4,4,3,5,3,3,3,5,6,3,2,2,4,2,2,4,0,0,4,3,2,3,5,1,0,2,3,4,2,0,0,1,3,4,2,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-06-30,E00030774,E00030774,OA,Persons,314,65,225,24,6,3,2,4,2,5,0,6,4,6,1,10,4,3,2,7,2,0,3,0,2,1,3,4,2,7,6,7,9,9,4,3,5,9,9,5,9,9,5,7,7,11,5,5,3,7,4,3,7,4,0,5,5,3,4,5,2,3,3,5,5,3,1,3,2,4,5,2,1,1,1,0,2,1,0,1,0,0,0,2,0,1,0,0,0,1,0,1,0,1,0
2020-06-30,E00030775,E00030775,OA,Females,116,12,67,37,2,2,1,0,0,0,0,0,0,2,0,1,0,1,2,1,0,0,1,1,0,2,3,0,2,0,1,0,3,5,0,2,0,2,4,5,2,2,2,2,0,1,2,2,1,2,0,2,2,1,0,2,2,2,2,1,0,2,1,0,1,1,0,0,1,2,1,0,1,0,2,1,0,2,1,1,0,1,1,1,1,2,2,2,1,2,1,2,5,1,4
2020-06-30,E00030775,E00030775,OA,Males,103,14,67,22,1,2,2,1,1,0,0,0,0,0,0,5,0,1,0,1,0,2,1,1,1,0,0,0,2,2,1,3,1,0,1,1,1,3,1,2,2,3,2,1,2,2,2,1,0,3,3,2,3,1,4,0,1,0,2,0,3,2,0,0,1,2,0,2,0,3,2,0,0,1,0,0,2,3,0,1,0,2,1,1,1,0,0,0,1,0,3,0,1,0,0
2020-06-30,E00030775,E00030775,OA,Persons,219,26,134,59,3,4,3,1,1,0,0,0,0,2,0,6,0,2,2,2,0,2,2,2,1,2,3,0,4,2,2,3,4,5,1,3,1,5,5,7,4,5,4,3,2,3,4,3,1,5,3,4,5,2,4,2,3,2,4,1,3,4,1,0,2,3,0,2,1,5,3,0,1,1,2,1,2,5,1,2,0,3,2,2,2,2,2,2,2,2,4,2,6,1,4
2020-06-30,E00030776,E00030776,OA,Females,170,33,122,15,2,2,2,1,3,3,5,1,4,3,0,2,3,0,1,1,2,0,2,0,2,1,4,3,1,1,7,3,3,9,2,4,3,3,3,1,5,6,4,3,2,1,2,3,2,3,3,3,0,0,0,1,3,3,3,1,3,3,3,1,1,1,4,2,2,2,1,0,1,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,1,3,0,0,0,1,1
2020-06-30,E00030776,E00030776,OA,Males,142,30,98,14,5,2,3,1,1,2,3,1,2,3,0,3,0,2,2,0,1,2,2,0,1,1,1,2,0,1,3,7,3,5,2,4,5,5,3,3,5,5,5,3,1,1,4,0,0,2,3,0,2,0,1,1,0,1,1,1,3,1,2,1,2,1,0,1,0,0,3,1,2,0,0,0,0,3,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2020-06-30,E00030776,E00030776,OA,Persons,312,63,220,29,7,4,5,2,4,5,8,2,6,6,0,5,3,2,3,1,3,2,4,0,3,2,5,5,1,2,10,10,6,14,4,8,8,8,6,4,10,11,9,6,3,2,6,3,2,5,6,3,2,0,1,2,3,4,4,2,6,4,5,2,3,2,4,3,2,2,4,1,3,0,0,0,1,3,3,0,1,0,2,1,0,1,0,0,2,3,0,0,0,1,1
2020-06-30,E00030777,E00030777,OA,Females,129,21,88,20,1,0,0,1,4,3,1,2,2,2,3,1,0,0,0,1,0,0,0,1,0,0,0,3,1,3,3,2,0,2,0,3,0,3,5,5,3,2,3,4,2,2,0,5,2,3,1,0,3,2,2,1,4,2,1,1,3,0,2,1,1,0,6,0,1,1,1,1,1,0,1,2,1,2,1,0,2,1,1,0,1,1,1,0,0,0,2,0,0,0,0
2020-06-30,E00030777,E00030777,OA,Males,147,21,108,18,0,2,1,2,2,0,0,1,2,1,0,3,2,1,1,3,3,1,2,2,0,3,1,1,4,1,5,1,4,4,1,2,1,2,2,2,2,2,2,4,5,3,1,5,1,1,1,0,3,3,4,2,0,2,1,2,1,2,2,4,1,4,4,4,0,3,1,3,2,3,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-30,E00030777,E00030777,OA,Persons,276,42,196,38,1,2,1,3,6,3,1,3,4,3,3,4,2,1,1,4,3,1,2,3,0,3,1,4,5,4,8,3,4,6,1,5,1,5,7,7,5,4,5,8,7,5,1,10,3,4,2,0,6,5,6,3,4,4,2,3,4,2,4,5,2,4,10,4,1,4,2,4,3,3,2,3,2,3,2,0,2,2,1,0,1,1,1,0,0,0,2,0,0,0,0
