period,area_code,area_name,geography,gender,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
2020-06-30,E01006091,Trafford 019A,LSOA,Females,1457,350,990,117,11,13,16,23,23,20,23,21,24,30,18,30,28,20,20,30,19,9,12,6,7,11,9,14,8,26,13,14,15,24,15,19,21,21,21,44,27,33,41,32,35,39,40,21,34,26,16,19,28,24,32,17,15,18,20,17,15,15,17,10,10,16,21,10,14,12,9,10,8,2,7,7,7,3,4,7,11,6,5,3,6,0,1,2,3,0,1,0,0,0,3
2020-06-30,E01006091,Trafford 019A,LSOA,Males,1403,409,876,118,23,16,21,20,23,21,28,28,32,29,30,28,30,28,32,20,21,17,19,5,11,13,13,14,7,20,18,13,20,19,16,14,15,27,24,21,20,22,16,23,18,32,28,23,25,26,27,24,17,16,23,26,20,22,17,17,20,15,11,10,10,9,10,11,11,9,8,7,11,3,8,4,10,10,5,7,8,2,5,2,3,2,6,4,0,0,0,1,1,0,2
2020-06-30,E01006091,Trafford 019A,LSOA,Persons,2860,759,1866,235,34,29,37,43,46,41,51,49,56,59,48,58,58,48,52,50,40,26,31,11,18,24,22,28,15,46,31,27,35,43,31,33,36,48,45,65,47,55,57,55,53,71,68,44,59,52,43,43,45,40,55,43,35,40,37,34,35,30,28,20,20,25,31,21,25,21,17,17,19,5,15,11,17,13,9,14,19,8,10,5,9,2,7,6,3,0,1,1,1,0,5
2020-06-30,E01006092,Trafford 019B,LSOA,Females,761,187,487,87,12,11,13,6,11,12,14,12,14,9,11,16,9,11,18,8,9,8,8,6,8,9,15,8,10,12,9,10,8,15,6,11,9,10,12,14,15,14,10,8,10,13,10,7,17,14,12,9,5,12,10,9,12,10,16,11,8,12,7,7,9,5,4,7,7,10,8,3,5,4,8,6,1,7,8,2,5,4,3,3,1,0,1,2,0,1,1,0,0,1,3
2020-06-30,E01006092,Trafford 019B,LSOA,Males,628,202,376,50,5,8,17,17,17,6,7,12,11,11,13,15,21,18,13,11,10,7,6,7,5,5,4,6,9,11,11,12,13,9,12,7,9,9,14,13,18,12,15,20,4,3,4,5,5,4,7,6,8,6,9,13,5,5,5,3,5,5,5,3,5,3,4,5,5,4,5,6,2,5,2,1,2,6,3,2,3,2,0,1,1,2,0,1,0,0,1,0,0,0,1
2020-06-30,E01006092,Trafford 019B,LSOA,Persons,1389,389,863,137,17,19,30,23,28,18,21,24,25,20,24,31,30,29,31,19,19,15,14,13,13,14,19,14,19,23,20,22,21,24,18,18,18,19,26,27,33,26,25,28,14,16,14,12,22,18,19,15,13,18,19,22,17,15,21,14,13,17,12,10,14,8,8,12,12,14,13,9,7,9,10,7,3,13,11,4,8,6,3,4,2,2,1,3,0,1,2,0,0,1,4
2020-06-30,E01006095,Trafford 019C,LSOA,Females,902,190,544,168,9,10,21,15,16,10,7,13,11,7,11,14,12,9,10,15,15,12,12,7,3,3,3,7,3,2,5,6,6,8,10,11,7,9,16,15,15,12,19,17,10,19,14,12,13,19,16,17,18,18,12,8,12,10,10,14,14,8,13,11,7,14,9,10,13,12,10,8,5,9,12,13,16,13,8,7,8,5,5,4,4,5,4,1,4,3,2,1,0,1,8
2020-06-30,E01006095,Trafford 019C,LSOA,Males,896,200,564,132,6,6,9,11,14,19,8,8,10,19,22,16,19,11,14,8,10,7,14,8,8,8,12,8,4,9,5,7,6,8,12,13,10,15,9,10,16,13,12,12,16,8,15,10,12,15,20,20,8,22,13,14,15,17,12,12,12,14,16,8,9,13,11,8,8,7,4,10,5,3,6,11,11,6,4,7,6,6,6,7,5,2,7,7,5,0,0,3,2,1,1
2020-06-30,E01006095,Trafford 019C,LSOA,Persons,1798,390,1108,300,15,16,30,26,30,29,15,21,21,26,33,30,31,20,24,23,25,19,26,15,11,11,15,15,7,11,10,13,12,16,22,24,17,24,25,25,31,25,31,29,26,27,29,22,25,34,36,37,26,40,25,22,27,27,22,26,26,22,29,19,16,27,20,18,21,19,14,18,10,12,18,24,27,19,12,14,14,11,11,11,9,7,11,8,9,3,2,4,2,2,9
2020-06-30,E01006097,Trafford 015A,LSOA,Females,917,146,543,228,4,3,6,8,7,11,12,11,11,17,14,8,13,9,5,7,11,5,6,4,7,9,10,9,15,13,15,7,18,11,10,13,16,11,15,8,9,8,10,14,17,18,24,22,10,11,9,12,12,9,10,5,11,10,11,9,6,12,12,5,11,14,11,11,7,5,6,9,6,8,11,6,9,7,10,10,12,13,6,11,14,10,7,7,9,7,5,6,8,7,19
2020-06-30,E01006097,Trafford 015A,LSOA,Males,1033,208,580,245,3,16,10,17,16,17,5,9,17,26,11,15,17,7,15,7,9,7,8,4,3,8,8,19,14,20,19,17,11,19,9,6,11,9,18,20,14,10,10,15,18,20,14,9,12,18,13,13,19,11,12,13,10,12,14,9,10,8,5,12,8,8,4,11,9,17,8,19,15,6,11,10,8,12,5,11,7,6,10,9,16,8,12,11,3,5,5,7,3,3,18
