pharmacy_name,address,postcode,opening_hours_monday,opening_hours_tuesday,opening_hours_wednesday,opening_hours_thursday,opening_hours_friday,opening_hours_saturday,opening_hours_sunday,organisation_data_service_code,health_and_wellbeing_board,ward_code,ward_name,la_code,la_name
A1 Pharmacy,"491 Radcliffe Road, Darcy Lever, Bolton",BL3 1SX,"08:30-13:00,14:00-17:30","08:30-13:00,14:00-17:30","08:30-13:00,14:00-17:30","08:30-13:00,14:00-17:30","08:30-13:00,14:00-17:30",09:00-12:30,CLOSED,FM664,Bolton,E05014831,Little Lever & Darcy Lever,E08000001,Bolton
Asda Pharmacy,"Manchester Road, Bolton",BL3 2QS,"09:00-12:30,13:00-16:30,17:00-21:00","09:00-12:30,13:00-16:30,17:00-21:00","09:00-12:30,13:00-16:30,17:00-21:00","09:00-12:30,13:00-16:30,17:00-21:00","09:00-12:30,13:00-16:30,17:00-21:00","09:00-12:30,13:00-16:30,17:00-21:00",11:00-17:00,FFP01,Bolton,E05014824,Great Lever,E08000001,Bolton
Asda Pharmacy,"Moss Bank Way, Bolton, Lancashire",BL1 8QG,"09:00-12:30,13:00-16:30,17:00-21:00","09:00-12:30,13:00-16:30,17:00-21:00","09:00-12:30,13:00-16:30,17:00-21:00","09:00-12:30,13:00-16:30,17:00-21:00","09:00-12:30,13:00-16:30,17:00-21:00","09:00-12:30,13:00-16:30,17:00-21:00",11:00-17:00,FFW20,Bolton,E05014818,Astley Bridge,E08000001,Bolton
Asda Pharmacy,"Asda Stores, Brackley Street, Farnworth, Bolton",BL4 9DT,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,10:00-16:00,FRX12,Bolton,E05014823,Farnworth South,E08000001,Bolton
Asda Pharmacy,"Asda S/Store,The Linkway, Middlebrook Retail Park, Hornwich, Bolton",BL6 6JA,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,11:00-17:00,FVW56,Bolton,E05014828,Horwich South & Blackrod,E08000001,Bolton
Asif Iqbal Pharmacy Ltd,"70 St Helens Road, Bolton",BL3 3NP,"09:00-13:00,14:00-18:30","09:00-13:00,14:00-18:30",09:00-13:00,"09:00-13:00,14:00-18:30","09:00-13:00,14:00-18:30",CLOSED,CLOSED,FXY77,Bolton,E05014833,Rumworth,E08000001,Bolton
Bolton Pharmacy,"303 Plodder Lane, Farnworth, Bolton",BL4 0BR,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00",CLOSED,CLOSED,FV449,Bolton,E05014823,Farnworth South,E08000001,Bolton
Boots,"The Shipgates Centre, Mealhouse Lane, Bolton",BL1 1DF,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:45,11:00-15:00,FJ737,Bolton,E05014832,Queens Park & Central,E08000001,Bolton
Boots,"Unit 8b, Market Place, Bolton",BL1 2AL,09:00-17:30,09:00-17:30,09:00-17:30,09:00-20:00,09:00-17:30,10:00-14:00,CLOSED,FNY43,Bolton,E05014832,Queens Park & Central,E08000001,Bolton
Boots,"Unit 2, The Linkway, Middlebrook Retail Park, Horwich, Bolton",BL6 6JA,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-14:00,10:30-16:00,FWC39,Bolton,E05014828,Horwich South & Blackrod,E08000001,Bolton
Boots,"Trinity Street Retail Pk, Unit 5, Trinity Street, Bolton",BL3 6DH,08:30-00:00,08:30-00:00,08:30-00:00,08:30-00:00,08:00-00:00,08:00-00:00,10:30-16:30,FWG32,Bolton,E05014832,Queens Park & Central,E08000001,Bolton
Care Connect Pharmacy,"68 Higher Swan Lane, Bolton",BL3 3AT,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,CLOSED,CLOSED,FXJ72,Bolton,E05014824,Great Lever,E08000001,Bolton
Cohens Chemist,"49 Thicketford Road, Bolton, Lancashire",BL2 2LS,"09:00-12:30,13:30-18:00","09:00-12:30,13:30-18:00","09:00-12:30,13:30-18:00","09:00-12:30,13:30-18:00","09:00-12:30,13:30-18:00",CLOSED,CLOSED,FAY70,Bolton,E05014835,Tonge with the Haulgh,E08000001,Bolton
Cohens Chemist,"193 Bolton Road, Kearsley, Bolton",BL4 9BX,08:30-18:00,08:30-18:00,08:30-17:00,08:30-18:00,08:30-18:00,CLOSED,CLOSED,FFK43,Bolton,E05014830,Kearsley,E08000001,Bolton
Cohens Chemist,"Waters Meeting Health Ctr, Waters Meeting Road, Bolton",BL1 8SW,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FGE12,Bolton,E05014825,Halliwell,E08000001,Bolton
Cohens Chemist,"171 Crescent Road, Great Lever, Bolton, Lancashire",BL3 2JS,"09:00-13:00,14:00-18:30","09:00-13:00,14:00-18:30",09:00-12:30,"09:00-13:00,14:00-18:30","09:00-13:00,14:00-18:30",09:00-11:30,CLOSED,FGY44,Bolton,E05014824,Great Lever,E08000001,Bolton
Cohens Chemist,"Halliwell Surg Pharmacy, Lindfield Drive, Bolton",BL1 3RG,08:30-18:00,08:30-18:00,08:30-17:30,08:30-18:00,08:30-18:00,CLOSED,CLOSED,FHL70,Bolton,E05014825,Halliwell,E08000001,Bolton
Cohens Chemist,"Breightmet Health Centre, Breightmet Fold Lane, Bolton, Lancashire",BL2 6NT,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,14:00-21:00,10:00-22:00,FL760,Bolton,E05014820,Breightmet,E08000001,Bolton
Cohens Chemist,"Egerton/Dunscar Hlth Ctre, Darwen Road, Bromley Cross, Bolton",BL7 9RG,"08:45-13:00,14:00-18:30","08:45-13:00,14:00-18:30","08:45-13:00,14:00-18:30","08:45-13:00,14:00-18:30","08:45-13:00,14:00-18:30",CLOSED,CLOSED,FLQ64,Bolton,E05014821,Bromley Cross,E08000001,Bolton
Cohens Chemist,"118 High Street, Little Lever, Bolton",BL3 1LR,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FNE63,Bolton,E05014831,Little Lever & Darcy Lever,E08000001,Bolton
Cohens Chemist,"31 Kentmere Road, Breightmet, Bolton, Lancashire",BL2 5JG,"09:00-13:00,14:00-17:30","09:00-13:00,14:00-17:30","09:00-13:00,14:00-17:30","09:00-13:00,14:00-17:30","09:00-13:00,14:00-17:30",09:00-11:30,CLOSED,FQG67,Bolton,E05014820,Breightmet,E08000001,Bolton
Cohens Chemist,"Crompton Health Centre, Crompton Way, Bolton",BL1 8UP,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,CLOSED,CLOSED,FR216,Bolton,E05014835,Tonge with the Haulgh,E08000001,Bolton
Cohens Chemist,"576-578 Blackburn Road, Astely Bridge, Bolton",BL1 7AL,"09:00-13:00,14:00-18:00","09:00-12:00,13:00-18:00","09:00-12:00,13:00-18:00","09:00-12:00,13:00-18:00","09:00-12:00,13:00-18:00",09:00-13:00,CLOSED,FRF83,Bolton,E05014818,Astley Bridge,E08000001,Bolton
Cohens Chemist,"1 Market Street, Little Lever, Bolton",BL3 1HH,09:00-18:00,09:00-18:00,09:00-14:00,09:00-18:00,09:00-18:00,CLOSED,CLOSED,FRJ11,Bolton,E05014831,Little Lever & Darcy Lever,E08000001,Bolton
Cohens Chemist,"281 Rishton Lane, Great Leaver, Bolton",BL3 2EH,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00",09:00-13:00,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00",09:00-13:00,CLOSED,FV815,Bolton,E05014824,Great Lever,E08000001,Bolton
Cohens Chemist,"10 The Hillock, Harwood, Bolton, Lancashire",BL2 3HP,"09:00-13:00,13:30-17:30","09:00-13:00,13:30-17:30","09:00-13:00,13:30-17:30","09:00-13:00,13:30-17:30","09:00-13:00,13:30-17:30",CLOSED,CLOSED,FXD23,Bolton,E05014819,Bradshaw,E08000001,Bolton
Cohens Direct,"Cohens Group, Lynstock Hse,Lynstock Way, Bolton",BL6 4SA,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,CLOSED,CLOSED,FHV38,Bolton,E05014828,Horwich South & Blackrod,E08000001,Bolton
