period,area_code,area_name,geography,sex,age_group,usual_residents
1991-04-21,E08000001,Bolton,Local authority,Males,Aged 15 to 19 years,9131
1991-04-21,E08000001,Bolton,Local authority,Males,Aged 20 to 24 years,9627
1991-04-21,E08000001,Bolton,Local authority,Males,Aged 25 to 29 years,9755
1991-04-21,E08000001,Bolton,Local authority,Males,Aged 30 to 34 years,8941
1991-04-21,E08000001,Bolton,Local authority,Males,Aged 35 to 39 years,8567
1991-04-21,E08000001,Bolton,Local authority,Males,Aged 40 to 44 years,9695
1991-04-21,E08000001,Bolton,Local authority,Males,Aged 45 to 49 years,8310
1991-04-21,E08000001,Bolton,Local authority,Males,Aged 50 to 54 years,7089
1991-04-21,E08000001,Bolton,Local authority,Males,Aged 55 to 59 years,6203
1991-04-21,E08000001,Bolton,Local authority,Males,Aged 60 to 64 years,5860
1991-04-21,E08000001,Bolton,Local authority,Males,Aged 65 to 69 years,5900
1991-04-21,E08000001,Bolton,Local authority,Males,Aged 70 to 74 years,4125
1991-04-21,E08000001,Bolton,Local authority,Males,Aged 75 to 79 years,3014
1991-04-21,E08000001,Bolton,Local authority,Males,Aged 80 to 84 years,1632
1991-04-21,E08000001,Bolton,Local authority,Males,Aged 85 years and over,776
1991-04-21,E08000001,Bolton,Local authority,Persons,All ages,258584
1991-04-21,E08000001,Bolton,Local authority,Persons,Aged 4 years and under,18399
1991-04-21,E08000001,Bolton,Local authority,Persons,Aged 5 to 9 years,17677
1991-04-21,E08000001,Bolton,Local authority,Persons,Aged 10 to 14 years,16429
1991-04-21,E08000001,Bolton,Local authority,Persons,Aged 15 to 19 years,17826
1991-04-21,E08000001,Bolton,Local authority,Persons,Aged 20 to 24 years,19574
1991-04-21,E08000001,Bolton,Local authority,Persons,Aged 25 to 29 years,19767
1991-04-21,E08000001,Bolton,Local authority,Persons,Aged 30 to 34 years,18201
1991-04-21,E08000001,Bolton,Local authority,Persons,Aged 35 to 39 years,16904
1991-04-21,E08000001,Bolton,Local authority,Persons,Aged 40 to 44 years,19280
1991-04-21,E08000001,Bolton,Local authority,Persons,Aged 45 to 49 years,16167
1991-04-21,E08000001,Bolton,Local authority,Persons,Aged 50 to 54 years,13987
1991-04-21,E08000001,Bolton,Local authority,Persons,Aged 55 to 59 years,12473
1991-04-21,E08000001,Bolton,Local authority,Persons,Aged 60 to 64 years,12288
1991-04-21,E08000001,Bolton,Local authority,Persons,Aged 65 to 69 years,12831
1991-04-21,E08000001,Bolton,Local authority,Persons,Aged 70 to 74 years,9830
1991-04-21,E08000001,Bolton,Local authority,Persons,Aged 75 to 79 years,8120
1991-04-21,E08000001,Bolton,Local authority,Persons,Aged 80 to 84 years,5309
1991-04-21,E08000001,Bolton,Local authority,Persons,Aged 85 years and over,3522
2001-04-29,E08000001,Bolton,Local authority,Females,All ages,133935
2001-04-29,E08000001,Bolton,Local authority,Females,Aged 4 years and under,8160
2001-04-29,E08000001,Bolton,Local authority,Females,Aged 5 to 9 years,8742
2001-04-29,E08000001,Bolton,Local authority,Females,Aged 10 to 14 years,9255
2001-04-29,E08000001,Bolton,Local authority,Females,Aged 15 to 19 years,8067
2001-04-29,E08000001,Bolton,Local authority,Females,Aged 20 to 24 years,7506
2001-04-29,E08000001,Bolton,Local authority,Females,Aged 25 to 29 years,8759
2001-04-29,E08000001,Bolton,Local authority,Females,Aged 30 to 34 years,10153
2001-04-29,E08000001,Bolton,Local authority,Females,Aged 35 to 39 years,10272
2001-04-29,E08000001,Bolton,Local authority,Females,Aged 40 to 44 years,9081
2001-04-29,E08000001,Bolton,Local authority,Females,Aged 45 to 49 years,7994
2001-04-29,E08000001,Bolton,Local authority,Females,Aged 50 to 54 years,9191
2001-04-29,E08000001,Bolton,Local authority,Females,Aged 55 to 59 years,7458
2001-04-29,E08000001,Bolton,Local authority,Females,Aged 60 to 64 years,6396
2001-04-29,E08000001,Bolton,Local authority,Females,Aged 65 to 69 years,5580
2001-04-29,E08000001,Bolton,Local authority,Females,Aged 70 to 74 years,5365
2001-04-29,E08000001,Bolton,Local authority,Females,Aged 75 to 79 years,5117
2001-04-29,E08000001,Bolton,Local authority,Females,Aged 80 to 84 years,3490
2001-04-29,E08000001,Bolton,Local authority,Females,Aged 85 years and over,3349
2001-04-29,E08000001,Bolton,Local authority,Males,All ages,127100
2001-04-29,E08000001,Bolton,Local authority,Males,Aged 4 years and under,8620
2001-04-29,E08000001,Bolton,Local authority,Males,Aged 5 to 9 years,9073
2001-04-29,E08000001,Bolton,Local authority,Males,Aged 10 to 14 years,9124
2001-04-29,E08000001,Bolton,Local authority,Males,Aged 15 to 19 years,8798
2001-04-29,E08000001,Bolton,Local authority,Males,Aged 20 to 24 years,7317
2001-04-29,E08000001,Bolton,Local authority,Males,Aged 25 to 29 years,8722
2001-04-29,E08000001,Bolton,Local authority,Males,Aged 30 to 34 years,9807
2001-04-29,E08000001,Bolton,Local authority,Males,Aged 35 to 39 years,9795
2001-04-29,E08000001,Bolton,Local authority,Males,Aged 40 to 44 years,8606
2001-04-29,E08000001,Bolton,Local authority,Males,Aged 45 to 49 years,8167
2001-04-29,E08000001,Bolton,Local authority,Males,Aged 50 to 54 years,9085
2001-04-29,E08000001,Bolton,Local authority,Males,Aged 55 to 59 years,7678
2001-04-29,E08000001,Bolton,Local authority,Males,Aged 60 to 64 years,6271
2001-04-29,E08000001,Bolton,Local authority,Males,Aged 65 to 69 years,5145
2001-04-29,E08000001,Bolton,Local authority,Males,Aged 70 to 74 years,4305
2001-04-29,E08000001,Bolton,Local authority,Males,Aged 75 to 79 years,3616
2001-04-29,E08000001,Bolton,Local authority,Males,Aged 80 to 84 years,1832
2001-04-29,E08000001,Bolton,Local authority,Males,Aged 85 years and over,1139
2001-04-29,E08000001,Bolton,Local authority,Persons,All ages,261035
2001-04-29,E08000001,Bolton,Local authority,Persons,Aged 4 years and under,16780
2001-04-29,E08000001,Bolton,Local authority,Persons,Aged 5 to 9 years,17815
2001-04-29,E08000001,Bolton,Local authority,Persons,Aged 10 to 14 years,18379
2001-04-29,E08000001,Bolton,Local authority,Persons,Aged 15 to 19 years,16865
2001-04-29,E08000001,Bolton,Local authority,Persons,Aged 20 to 24 years,14823
2001-04-29,E08000001,Bolton,Local authority,Persons,Aged 25 to 29 years,17481
2001-04-29,E08000001,Bolton,Local authority,Persons,Aged 30 to 34 years,19960
2001-04-29,E08000001,Bolton,Local authority,Persons,Aged 35 to 39 years,20067
2001-04-29,E08000001,Bolton,Local authority,Persons,Aged 40 to 44 years,17687
2001-04-29,E08000001,Bolton,Local authority,Persons,Aged 45 to 49 years,16161
2001-04-29,E08000001,Bolton,Local authority,Persons,Aged 50 to 54 years,18276
2001-04-29,E08000001,Bolton,Local authority,Persons,Aged 55 to 59 years,15136
2001-04-29,E08000001,Bolton,Local authority,Persons,Aged 60 to 64 years,12667
2001-04-29,E08000001,Bolton,Local authority,Persons,Aged 65 to 69 years,10725
2001-04-29,E08000001,Bolton,Local authority,Persons,Aged 70 to 74 years,9670
