period,area_code,area_name,geography,sex,age_group,usual_residents
1981-04-05,E08000009,Trafford,Local authority,Females,All ages,114101
1981-04-05,E08000009,Trafford,Local authority,Females,Aged 4 years and under,6200
1981-04-05,E08000009,Trafford,Local authority,Females,Aged 5 to 9 years,6952
1981-04-05,E08000009,Trafford,Local authority,Females,Aged 10 to 14 years,8981
1981-04-05,E08000009,Trafford,Local authority,Females,Aged 15 to 19 years,9790
1981-04-05,E08000009,Trafford,Local authority,Females,Aged 20 to 24 years,8048
1981-04-05,E08000009,Trafford,Local authority,Females,Aged 25 to 29 years,7207
1981-04-05,E08000009,Trafford,Local authority,Females,Aged 30 to 34 years,8069
1981-04-05,E08000009,Trafford,Local authority,Females,Aged 35 to 39 years,6921
1981-04-05,E08000009,Trafford,Local authority,Females,Aged 40 to 44 years,6692
1981-04-05,E08000009,Trafford,Local authority,Females,Aged 45 to 49 years,6406
1981-04-05,E08000009,Trafford,Local authority,Females,Aged 50 to 54 years,6708
1981-04-05,E08000009,Trafford,Local authority,Females,Aged 55 to 59 years,6771
1981-04-05,E08000009,Trafford,Local authority,Females,Aged 60 to 64 years,5937
1981-04-05,E08000009,Trafford,Local authority,Females,Aged 65 to 69 years,5770
1981-04-05,E08000009,Trafford,Local authority,Females,Aged 70 to 74 years,5391
1981-04-05,E08000009,Trafford,Local authority,Females,Aged 75 to 79 years,4052
1981-04-05,E08000009,Trafford,Local authority,Females,Aged 80 to 84 years,2592
1981-04-05,E08000009,Trafford,Local authority,Females,Aged 85 years and over,1609
1981-04-05,E08000009,Trafford,Local authority,Males,All ages,106901
1981-04-05,E08000009,Trafford,Local authority,Males,Aged 4 years and under,6382
1981-04-05,E08000009,Trafford,Local authority,Males,Aged 5 to 9 years,7325
1981-04-05,E08000009,Trafford,Local authority,Males,Aged 10 to 14 years,9465
1981-04-05,E08000009,Trafford,Local authority,Males,Aged 15 to 19 years,10109
1981-04-05,E08000009,Trafford,Local authority,Males,Aged 20 to 24 years,8381
1981-04-05,E08000009,Trafford,Local authority,Males,Aged 25 to 29 years,7187
1981-04-05,E08000009,Trafford,Local authority,Males,Aged 30 to 34 years,8147
1981-04-05,E08000009,Trafford,Local authority,Males,Aged 35 to 39 years,6685
1981-04-05,E08000009,Trafford,Local authority,Males,Aged 40 to 44 years,6546
1981-04-05,E08000009,Trafford,Local authority,Males,Aged 45 to 49 years,6442
1981-04-05,E08000009,Trafford,Local authority,Males,Aged 50 to 54 years,6443
1981-04-05,E08000009,Trafford,Local authority,Males,Aged 55 to 59 years,6450
1981-04-05,E08000009,Trafford,Local authority,Males,Aged 60 to 64 years,5417
1981-04-05,E08000009,Trafford,Local authority,Males,Aged 65 to 69 years,4620
1981-04-05,E08000009,Trafford,Local authority,Males,Aged 70 to 74 years,3686
1981-04-05,E08000009,Trafford,Local authority,Males,Aged 75 to 79 years,2209
1981-04-05,E08000009,Trafford,Local authority,Males,Aged 80 to 84 years,977
1981-04-05,E08000009,Trafford,Local authority,Males,Aged 85 years and over,433
1981-04-05,E08000009,Trafford,Local authority,Persons,All ages,221002
1981-04-05,E08000009,Trafford,Local authority,Persons,Aged 4 years and under,12582
1981-04-05,E08000009,Trafford,Local authority,Persons,Aged 5 to 9 years,14277
1981-04-05,E08000009,Trafford,Local authority,Persons,Aged 10 to 14 years,18446
1981-04-05,E08000009,Trafford,Local authority,Persons,Aged 15 to 19 years,19899
1981-04-05,E08000009,Trafford,Local authority,Persons,Aged 20 to 24 years,16429
1981-04-05,E08000009,Trafford,Local authority,Persons,Aged 25 to 29 years,14394
1981-04-05,E08000009,Trafford,Local authority,Persons,Aged 30 to 34 years,16216
1981-04-05,E08000009,Trafford,Local authority,Persons,Aged 35 to 39 years,13606
1981-04-05,E08000009,Trafford,Local authority,Persons,Aged 40 to 44 years,13238
1981-04-05,E08000009,Trafford,Local authority,Persons,Aged 45 to 49 years,12848
1981-04-05,E08000009,Trafford,Local authority,Persons,Aged 50 to 54 years,13151
1981-04-05,E08000009,Trafford,Local authority,Persons,Aged 55 to 59 years,13221
1981-04-05,E08000009,Trafford,Local authority,Persons,Aged 60 to 64 years,11354
1981-04-05,E08000009,Trafford,Local authority,Persons,Aged 65 to 69 years,10390
1981-04-05,E08000009,Trafford,Local authority,Persons,Aged 70 to 74 years,9077
1981-04-05,E08000009,Trafford,Local authority,Persons,Aged 75 to 79 years,6261
1981-04-05,E08000009,Trafford,Local authority,Persons,Aged 80 to 84 years,3569
1981-04-05,E08000009,Trafford,Local authority,Persons,Aged 85 years and over,2042
1991-04-21,E08000009,Trafford,Local authority,Females,All ages,110252
1991-04-21,E08000009,Trafford,Local authority,Females,Aged 4 years and under,6773
1991-04-21,E08000009,Trafford,Local authority,Females,Aged 5 to 9 years,6661
1991-04-21,E08000009,Trafford,Local authority,Females,Aged 10 to 14 years,6411
1991-04-21,E08000009,Trafford,Local authority,Females,Aged 15 to 19 years,6820
1991-04-21,E08000009,Trafford,Local authority,Females,Aged 20 to 24 years,7583
1991-04-21,E08000009,Trafford,Local authority,Females,Aged 25 to 29 years,8451
1991-04-21,E08000009,Trafford,Local authority,Females,Aged 30 to 34 years,7921
1991-04-21,E08000009,Trafford,Local authority,Females,Aged 35 to 39 years,7141
1991-04-21,E08000009,Trafford,Local authority,Females,Aged 40 to 44 years,7876
1991-04-21,E08000009,Trafford,Local authority,Females,Aged 45 to 49 years,6577
1991-04-21,E08000009,Trafford,Local authority,Females,Aged 50 to 54 years,6101
1991-04-21,E08000009,Trafford,Local authority,Females,Aged 55 to 59 years,5679
1991-04-21,E08000009,Trafford,Local authority,Females,Aged 60 to 64 years,5773
1991-04-21,E08000009,Trafford,Local authority,Females,Aged 65 to 69 years,5683
1991-04-21,E08000009,Trafford,Local authority,Females,Aged 70 to 74 years,4706
1991-04-21,E08000009,Trafford,Local authority,Females,Aged 75 to 79 years,4308
1991-04-21,E08000009,Trafford,Local authority,Females,Aged 80 to 84 years,3234
1991-04-21,E08000009,Trafford,Local authority,Females,Aged 85 years and over,2554
1991-04-21,E08000009,Trafford,Local authority,Males,All ages,102479
1991-04-21,E08000009,Trafford,Local authority,Males,Aged 4 years and under,7166
1991-04-21,E08000009,Trafford,Local authority,Males,Aged 5 to 9 years,6952
1991-04-21,E08000009,Trafford,Local authority,Males,Aged 10 to 14 years,6520
1991-04-21,E08000009,Trafford,Local authority,Males,Aged 15 to 19 years,7101
1991-04-21,E08000009,Trafford,Local authority,Males,Aged 20 to 24 years,7515
1991-04-21,E08000009,Trafford,Local authority,Males,Aged 25 to 29 years,7987
1991-04-21,E08000009,Trafford,Local authority,Males,Aged 30 to 34 years,7780
1991-04-21,E08000009,Trafford,Local authority,Males,Aged 35 to 39 years,7102
1991-04-21,E08000009,Trafford,Local authority,Males,Aged 40 to 44 years,7764
1991-04-21,E08000009,Trafford,Local authority,Males,Aged 45 to 49 years,6322
1991-04-21,E08000009,Trafford,Local authority,Males,Aged 50 to 54 years,5961
1991-04-21,E08000009,Trafford,Local authority,Males,Aged 55 to 59 years,5610
1991-04-21,E08000009,Trafford,Local authority,Males,Aged 60 to 64 years,5259
1991-04-21,E08000009,Trafford,Local authority,Males,Aged 65 to 69 years,4876
