period,area_code,area_name,geography,sex,age_group,usual_residents
2021-03-21,E08000002,Bury,Local authority,Males,All ages,95100
2021-03-21,E08000002,Bury,Local authority,Males,Aged 4 years and under,5800
2021-03-21,E08000002,Bury,Local authority,Males,Aged 5 to 9 years,6400
2021-03-21,E08000002,Bury,Local authority,Males,Aged 10 to 14 years,6500
2021-03-21,E08000002,Bury,Local authority,Males,Aged 15 to 19 years,5900
2021-03-21,E08000002,Bury,Local authority,Males,Aged 20 to 24 years,4900
2021-03-21,E08000002,Bury,Local authority,Males,Aged 25 to 29 years,5600
2021-03-21,E08000002,Bury,Local authority,Males,Aged 30 to 34 years,6400
2021-03-21,E08000002,Bury,Local authority,Males,Aged 35 to 39 years,6400
2021-03-21,E08000002,Bury,Local authority,Males,Aged 40 to 44 years,5900
2021-03-21,E08000002,Bury,Local authority,Males,Aged 45 to 49 years,6200
2021-03-21,E08000002,Bury,Local authority,Males,Aged 50 to 54 years,6600
2021-03-21,E08000002,Bury,Local authority,Males,Aged 55 to 59 years,6700
2021-03-21,E08000002,Bury,Local authority,Males,Aged 60 to 64 years,5700
2021-03-21,E08000002,Bury,Local authority,Males,Aged 65 to 69 years,4500
2021-03-21,E08000002,Bury,Local authority,Males,Aged 70 to 74 years,4800
2021-03-21,E08000002,Bury,Local authority,Males,Aged 75 to 79 years,3200
2021-03-21,E08000002,Bury,Local authority,Males,Aged 80 to 84 years,2100
2021-03-21,E08000002,Bury,Local authority,Males,Aged 85 to 89 years,1000
2021-03-21,E08000002,Bury,Local authority,Males,Aged 90 years and over,400
2021-03-21,E08000002,Bury,Local authority,Persons,All ages,193800
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 4 years and under,11200
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 5 to 9 years,12500
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 10 to 14 years,12800
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 15 to 19 years,11200
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 20 to 24 years,9600
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 25 to 29 years,11500
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 30 to 34 years,13500
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 35 to 39 years,13400
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 40 to 44 years,12100
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 45 to 49 years,12500
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 50 to 54 years,13400
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 55 to 59 years,13500
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 60 to 64 years,11300
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 65 to 69 years,9400
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 70 to 74 years,10000
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 75 to 79 years,7000
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 80 to 84 years,4800
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 85 to 89 years,2800
