area_code,area_name,geography,period,indicator,measure,unit,value
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,152
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,38
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,6
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,2
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,1150
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,927
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,450
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,354
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,142
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,52
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,14
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,2
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,1336
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1073
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,462
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,391
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,90
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,27
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,8
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,2
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,808
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1059
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,491
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,468
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,109
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,18
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,3
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,2
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,1254
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1059
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,560
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,424
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,168
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,73
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,22
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,21
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,1155
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1167
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,565
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,600
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,133
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,28
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,3
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,2
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,827
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,857
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,525
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,398
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,150
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,24
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,6
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,0
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,987
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1088
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,554
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,577
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,121
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,32
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,5
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,2
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,1658
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1322
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,587
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,581
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,157
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,34
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,8
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,3
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,777
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1057
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,516
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,561
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,173
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,50
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,11
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,3
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,1011
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1031
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,590
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,429
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,196
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,66
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,12
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,11
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,887
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,941
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,661
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,537
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,163
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,42
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,13
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,7
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,1147
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1049
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,727
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,596
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,207
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,53
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,13
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,10
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,807
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1029
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,635
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,665
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,167
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,48
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,9
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,2
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,642
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1062
