area_code,area_name,geography,period,indicator,measure,unit,value
E01006095,Trafford 019C,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,1473.7
E01006096,Trafford 020C,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,4461.1
E01006097,Trafford 015A,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,4106.4
E01006098,Trafford 014A,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,5257.6
E01006099,Trafford 014B,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,4228.7
E01006100,Trafford 020D,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,5428.7
E01006101,Trafford 021A,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,3376.2
E01006102,Trafford 018A,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,5600.3
E01006103,Trafford 020E,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,6529.1
E01006104,Trafford 017A,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,3063.4
E01006105,Trafford 017B,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2632.7
E01006106,Trafford 017C,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2636.9
E01006107,Trafford 017D,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,159.7
E01006108,Trafford 017E,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,6356.7
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,6020.9
E01006110,Trafford 001B,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,15377
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,16048.8
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,10534.7
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,9579.9
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,7388.6
E01006115,Trafford 004C,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,7918.6
