area_code,area_name,geography,period,indicator,measure,unit,sex,age_group,value
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 60 to 64 years,12928
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 65 to 69 years,12537
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 70 to 74 years,10647
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 75 to 79 years,7514
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 80 to 84 years,4079
E08000001,Bolton,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 85 years and over,2328
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,All ages,132958
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 4 years and under,9050
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 5 to 9 years,8472
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 10 to 14 years,7982
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 15 to 19 years,8695
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 20 to 24 years,9947
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 25 to 29 years,10012
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 30 to 34 years,9260
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 35 to 39 years,8337
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 40 to 44 years,9585
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 45 to 49 years,7857
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 50 to 54 years,6898
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 55 to 59 years,6270
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 60 to 64 years,6428
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 65 to 69 years,6931
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 70 to 74 years,5705
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 75 to 79 years,5106
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 80 to 84 years,3677
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 85 years and over,2746
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,All ages,125626
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 4 years and under,9349
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 5 to 9 years,9205
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 10 to 14 years,8447
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 15 to 19 years,9131
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 20 to 24 years,9627
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 25 to 29 years,9755
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 30 to 34 years,8941
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 35 to 39 years,8567
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 40 to 44 years,9695
