area_code,area_name,geography,period,indicator,measure,unit,value
E01006147,Trafford 012A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6675.9
E01006149,Trafford 012B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6613.6
E01006150,Trafford 012C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,5747.2
E01006154,Trafford 012D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4251.6
E01006165,Trafford 012E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,2398.7
E01006166,Trafford 013A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,5115.4
E01006169,Trafford 013B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,5153.3
E01006170,Trafford 013C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,1132.6
E01006171,Trafford 013D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6449.8
E01006098,Trafford 014A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,5257.6
E01006099,Trafford 014B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4228.7
E01006164,Trafford 014C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,1718.4
E01006174,Trafford 014D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6208.3
E01006178,Trafford 014E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4741.1
E01006097,Trafford 015A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4106.4
E01006160,Trafford 015B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,5124.5
E01006161,Trafford 015C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4868
E01006162,Trafford 015D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,5042
E01006163,Trafford 015E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,7081.6
E01006148,Trafford 016A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4798
E01006151,Trafford 016B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,3725.3
E01006152,Trafford 016C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,2910.2
E01006153,Trafford 016D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,5134.8
E01006172,Trafford 016E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4520.1
E01006104,Trafford 017A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,3063.4
E01006105,Trafford 017B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,2632.7
E01006106,Trafford 017C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,2636.9
E01006107,Trafford 017D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,159.7
E01006108,Trafford 017E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6356.7
E01006102,Trafford 018A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,5600.3
E01006173,Trafford 018B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,7016.7
E01006175,Trafford 018C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6791.6
E01006176,Trafford 018D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,1252.2
E01006177,Trafford 018E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,7001.3
E01006091,Trafford 019A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4285.7
E01006092,Trafford 019B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,2336.7
E01006095,Trafford 019C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,1473.7
E01006167,Trafford 019D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,5946.6
E01006168,Trafford 019E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,5196.4
E01006090,Trafford 020A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,5663.6
E01006094,Trafford 020B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6247.1
E01006096,Trafford 020C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4461.1
E01006100,Trafford 020D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,5428.7
E01006103,Trafford 020E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6529.1
E01006101,Trafford 021A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,3376.2
E01006190,Trafford 021B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4484.3
E01006195,Trafford 021C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6466.1
E01006196,Trafford 021D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6371.8
E01006210,Trafford 021E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4449.7
E01006204,Trafford 022A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4281.2
E01006206,Trafford 022B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,5978.9
E01006207,Trafford 022C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6452.6
E01006208,Trafford 022D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,3527.4
E01006211,Trafford 022E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4085.6
E01006093,Trafford 023A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6149.8
E01006191,Trafford 023B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4692.3
E01006192,Trafford 023C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,1760.1
E01006205,Trafford 023D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,5285.5
E01006209,Trafford 023E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,2173
E01006078,Trafford 024A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6905.3
E01006080,Trafford 024B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6379.3
E01006089,Trafford 024C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4308
E01006193,Trafford 024D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,5107.4
E01006194,Trafford 024E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4892.3
E01006074,Trafford 025A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,1447.7
E01006075,Trafford 025B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,2865.9
E01006076,Trafford 025C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,2641.1
E01006079,Trafford 025D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,4081.1
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,77.6
E01006083,Trafford 026A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,2601.7
E01006084,Trafford 026B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,3831.9
E01006088,Trafford 026C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,7521.9
E01006139,Trafford 026D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6222
E01006140,Trafford 026E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,2654.9
E01006077,Trafford 027A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,6218.8
E01006081,Trafford 027B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,1014.6
E01006082,Trafford 027C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,1696.1
E01006085,Trafford 027D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,3687.2
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,1568.8
E01006134,Trafford 028A,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,1270.7
E01006135,Trafford 028B,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,1953.4
E01006136,Trafford 028C,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,1343.4
E01006137,Trafford 028D,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,1038.2
E01006138,Trafford 028E,Lower-layer Super Output Area,2021-03-21,Usual residents per square kilometre,Count,Persons,804.9
