area_code,area_name,geography,period,indicator,measure,unit,age,sex,value
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged under 1 year,All persons,147
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged under 1 year,Female,64
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged under 1 year,Male,83
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 1 year,All persons,160
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 1 year,Female,78
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 1 year,Male,82
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 2 years,All persons,170
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 2 years,Female,80
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 2 years,Male,90
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 3 years,All persons,135
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 3 years,Female,55
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 3 years,Male,80
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 4 years,All persons,155
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 4 years,Female,71
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 4 years,Male,84
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 5 years,All persons,152
E02001259,Trafford 001,Middle-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 5 years,Female,68
