area_code,area_name,geography,period,indicator,measure,unit,age,sex,value
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 14 years,All persons,14
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 14 years,Female,8
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 14 years,Male,6
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 15 years,All persons,14
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 15 years,Female,10
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 15 years,Male,4
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 16 years,All persons,17
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 16 years,Female,10
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 16 years,Male,7
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 17 years,All persons,12
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 17 years,Female,4
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 17 years,Male,8
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 18 years,All persons,17
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 18 years,Female,13
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 18 years,Male,4
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 19 years,All persons,11
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 19 years,Female,4
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 19 years,Male,7
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 20 years,All persons,14
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 20 years,Female,8
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 20 years,Male,6
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 21 years,All persons,7
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 21 years,Female,3
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 21 years,Male,4
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 22 years,All persons,13
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 22 years,Female,9
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 22 years,Male,4
