area_code,area_name,geography,period,indicator,measure,unit,sex,age_group,value
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 54 years,2008
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 55 years,2019
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 56 years,2063
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 57 years,1919
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 58 years,1843
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 59 years,1857
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 60 years,1697
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 61 years,1656
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 62 years,1624
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 63 years,1553
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 64 years,1599
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 65 years,1378
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 66 years,1485
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 67 years,1421
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 68 years,1392
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 69 years,1340
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 70 years,1338
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 71 years,1476
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 72 years,1386
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 73 years,1644
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 74 years,1593
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 75 years,1128
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 76 years,1184
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 77 years,1072
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 78 years,1046
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 79 years,944
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 80 years,834
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 81 years,833
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 82 years,789
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 83 years,725
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 84 years,626
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 85 years,571
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 86 years,521
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 87 years,413
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 88 years,413
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 89 years,370
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 90 years and over,1398
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged under 1 year,1790
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 1 year,1893
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 2 years,1820
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 3 years,1832
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 4 years,2034
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 5 years,1926
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 6 years,2099
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 7 years,2085
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 8 years,2146
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 9 years,2202
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 10 years,2149
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 11 years,2137
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 12 years,2204
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 13 years,2168
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 14 years,2085
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 15 years,2088
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 16 years,2021
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 17 years,2039
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 18 years,1835
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 19 years,1654
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 20 years,1622
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 21 years,1655
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 22 years,1699
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 23 years,1802
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 24 years,1744
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 25 years,1625
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 26 years,1645
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 27 years,1721
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 28 years,1723
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 29 years,1771
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 30 years,1880
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 31 years,1804
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 32 years,1996
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 33 years,1857
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 34 years,1742
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 35 years,2012
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 36 years,2017
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 37 years,1876
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 38 years,1959
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 39 years,1764
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 40 years,1931
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 41 years,2008
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 42 years,1794
