area_code,area_name,geography,period,indicator,measure,unit,age,sex,value
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged under 1 year,All persons,152
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged under 1 year,Female,85
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged under 1 year,Male,67
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 1 year,All persons,142
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 1 year,Female,64
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 1 year,Male,78
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 2 years,All persons,140
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 2 years,Female,67
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 2 years,Male,73
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 3 years,All persons,153
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 3 years,Female,71
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 3 years,Male,82
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 4 years,All persons,171
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 4 years,Female,88
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 4 years,Male,83
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 5 years,All persons,178
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 5 years,Female,97
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 5 years,Male,81
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 6 years,All persons,194
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 6 years,Female,100
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 6 years,Male,94
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 7 years,All persons,177
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 7 years,Female,86
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 7 years,Male,91
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 8 years,All persons,193
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 8 years,Female,104
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 8 years,Male,89
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 9 years,All persons,203
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 9 years,Female,101
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 9 years,Male,102
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 10 years,All persons,207
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 10 years,Female,105
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 10 years,Male,102
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 11 years,All persons,179
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 11 years,Female,92
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 11 years,Male,87
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 12 years,All persons,205
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 12 years,Female,102
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 12 years,Male,103
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 13 years,All persons,166
E05000819,Altrincham,Electoral ward,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 13 years,Female,78
