period,area_code,area_name,geography,sex,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
2024-06-30,E08000009,Trafford,Local authority,Persons,241025,50230,148280,42515,2169,2313,2474,2663,2809,3159,3119,3310,3481,3419,3578,3554,3650,3735,3378,3419,3334,3173,2892,1918,1734,1804,2436,2476,2765,2811,2717,2797,2621,2607,2667,2739,2986,3053,3082,3230,3260,3349,3519,3689,3706,3640,3666,3860,3708,3615,3376,3227,3112,3261,3140,3099,3325,3309,3272,3074,3096,3041,3080,3091,3061,2943,2741,2631,2547,2435,2390,2256,2174,2102,2018,1935,1948,1949,1943,1883,2033,2058,1526,1526,1532,1386,1119,1031,1022,1053,902,809,697,597,2191
2024-06-30,E08000009,Trafford,Local authority,Females,123369,24464,75531,23374,1030,1123,1195,1255,1362,1579,1514,1665,1732,1659,1739,1736,1765,1823,1638,1649,1638,1523,1389,854,767,782,1211,1255,1388,1404,1336,1370,1364,1280,1343,1369,1513,1646,1663,1730,1716,1857,1834,1936,1970,1881,1942,2033,1926,1883,1722,1642,1632,1627,1574,1567,1711,1685,1667,1514,1548,1566,1596,1552,1574,1499,1381,1386,1285,1239,1225,1131,1088,1107,1045,1041,1012,1038,1074,982,1073,1127,871,876,886,801,643,613,637,600,529,486,428,354,1468
2024-06-30,E08000009,Trafford,Local authority,Males,117656,25766,72749,19141,1139,1190,1279,1408,1447,1580,1605,1645,1749,1760,1839,1818,1885,1912,1740,1770,1696,1650,1503,1064,967,1022,1225,1221,1377,1407,1381,1427,1257,1327,1324,1370,1473,1407,1419,1500,1544,1492,1685,1753,1736,1759,1724,1827,1782,1732,1654,1585,1480,1634,1566,1532,1614,1624,1605,1560,1548,1475,1484,1539,1487,1444,1360,1245,1262,1196,1165,1125,1086,995,973,894,936,911,869,901,960,931,655,650,646,585,476,418,385,453,373,323,269,243,723
