period,area_code,area_name,geography,sex,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
2024-06-30,E00030771,E00030771,OA,Persons,357,85,216,56,1,2,4,6,7,5,6,4,8,1,13,4,8,5,7,4,5,7,4,2,2,1,4,3,1,7,1,8,3,1,5,2,3,4,1,3,6,8,8,2,5,4,7,11,5,3,2,3,6,4,7,5,4,6,3,5,3,2,4,3,8,8,7,4,6,2,5,8,4,2,1,0,3,2,0,6,4,1,4,1,1,0,3,2,2,0,2,1,0,1,1
2024-06-30,E00030771,E00030771,OA,Females,170,44,102,24,1,0,2,4,4,2,4,2,5,0,6,3,3,2,5,1,0,5,0,1,0,0,1,0,0,2,1,5,1,1,4,1,3,1,1,2,2,4,5,0,3,2,4,6,2,2,2,1,3,2,3,2,2,3,1,1,2,1,2,0,5,5,3,2,3,1,3,4,3,0,0,0,0,2,0,2,1,0,2,0,0,0,3,1,1,0,1,0,0,0,0
2024-06-30,E00030771,E00030771,OA,Males,187,41,114,32,0,2,2,2,3,3,2,2,3,1,7,1,5,3,2,3,5,2,4,1,2,1,3,3,1,5,0,3,2,0,1,1,0,3,0,1,4,4,3,2,2,2,3,5,3,1,0,2,3,2,4,3,2,3,2,4,1,1,2,3,3,3,4,2,3,1,2,4,1,2,1,0,3,0,0,4,3,1,2,1,1,0,0,1,1,0,1,1,0,1,1
2024-06-30,E00030772,E00030772,OA,Persons,307,86,197,24,2,4,6,5,1,9,1,8,6,4,5,10,8,6,8,3,1,4,1,2,2,1,2,1,1,1,0,3,4,3,6,8,2,5,8,6,7,10,7,9,7,4,7,7,7,7,7,4,4,6,4,2,6,1,5,3,4,4,2,4,0,2,1,2,3,1,3,0,1,2,1,1,2,1,0,0,0,1,0,0,0,0,2,4,1,0,1,0,2,1,0
2024-06-30,E00030772,E00030772,OA,Females,156,44,99,13,2,2,3,4,1,5,0,4,3,3,2,3,5,3,3,1,1,3,0,1,1,1,1,0,0,1,0,1,1,1,3,5,2,2,8,3,4,2,6,3,2,0,2,3,5,2,3,2,2,5,2,2,4,0,3,0,3,1,2,4,0,0,0,0,2,1,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0
2024-06-30,E00030772,E00030772,OA,Males,151,42,98,11,0,2,3,1,0,4,1,4,3,1,3,7,3,3,5,2,0,1,1,1,1,0,1,1,1,0,0,2,3,2,3,3,0,3,0,3,3,8,1,6,5,4,5,4,2,5,4,2,2,1,2,0,2,1,2,3,1,3,0,0,0,2,1,2,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,2,0,0
2024-06-30,E00030773,E00030773,OA,Persons,269,51,128,90,3,5,1,5,0,6,1,0,3,0,7,0,11,4,4,1,5,5,0,1,2,0,4,0,2,1,0,0,3,2,4,3,4,2,1,1,3,2,1,2,1,1,1,6,1,1,3,1,7,5,11,7,4,4,1,4,2,7,1,2,0,3,1,3,3,3,2,8,3,2,5,5,4,2,2,3,7,3,2,6,7,2,2,3,1,1,5,3,1,2,6
2024-06-30,E00030773,E00030773,OA,Females,141,30,64,47,3,0,0,3,0,2,1,0,1,0,5,0,10,2,3,0,2,3,0,1,0,0,2,0,0,1,0,0,2,1,2,1,2,0,1,0,2,1,1,0,1,0,1,5,0,0,3,1,3,3,4,3,2,3,0,3,0,5,1,0,0,0,1,1,2,1,2,5,0,2,3,3,0,1,2,2,3,2,2,4,3,1,2,1,1,0,2,1,0,0,4
2024-06-30,E00030773,E00030773,OA,Males,128,21,64,43,0,5,1,2,0,4,0,0,2,0,2,0,1,2,1,1,3,2,0,0,2,0,2,0,2,0,0,0,1,1,2,2,2,2,0,1,1,1,0,2,0,1,0,1,1,1,0,0,4,2,7,4,2,1,1,1,2,2,0,2,0,3,0,2,1,2,0,3,3,0,2,2,4,1,0,1,4,1,0,2,4,1,0,2,0,1,3,2,1,2,2
2024-06-30,E00030774,E00030774,OA,Persons,306,65,215,26,1,3,9,2,4,2,2,6,6,2,1,9,3,7,3,5,5,4,1,7,2,1,4,3,3,1,6,11,3,5,8,10,7,12,2,2,6,4,4,2,7,5,10,4,7,10,3,7,1,6,2,4,7,2,1,4,3,2,3,4,2,1,2,3,2,1,1,2,3,3,4,2,0,1,1,0,2,1,1,2,0,0,0,1,0,0,1,0,0,0,0
2024-06-30,E00030774,E00030774,OA,Females,154,35,107,12,0,0,8,1,2,1,0,5,4,1,1,3,1,4,3,1,4,4,0,3,2,1,1,2,2,1,4,7,2,2,6,5,2,4,1,2,3,2,1,0,3,3,4,3,3,7,1,3,1,3,1,1,3,2,0,2,0,1,0,1,0,1,1,2,0,0,1,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
2024-06-30,E00030774,E00030774,OA,Males,152,30,108,14,1,3,1,1,2,1,2,1,2,1,0,6,2,3,0,4,1,0,1,4,0,0,3,1,1,0,2,4,1,3,2,5,5,8,1,0,3,2,3,2,4,2,6,1,4,3,2,4,0,3,1,3,4,0,1,2,3,1,3,3,2,0,1,1,2,1,0,0,2,2,3,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2024-06-30,E00030775,E00030775,OA,Persons,203,42,118,43,3,4,1,1,2,5,8,1,2,2,2,3,0,3,0,5,1,3,3,1,0,3,2,2,1,1,3,2,3,2,5,5,3,5,2,1,0,3,3,3,4,5,3,3,3,4,2,5,0,3,1,3,2,3,3,1,2,1,3,2,2,3,1,0,2,2,0,3,0,4,1,1,1,1,4,0,2,3,0,2,1,2,2,0,1,1,1,2,2,1,6
2024-06-30,E00030775,E00030775,OA,Females,103,21,56,26,2,4,0,0,0,3,5,1,1,1,0,2,0,2,0,0,1,2,3,1,0,1,1,0,0,1,3,1,2,0,2,1,1,5,0,0,0,1,3,1,3,3,0,1,1,2,0,4,0,0,0,1,1,2,0,1,1,0,1,0,0,2,1,0,2,0,0,1,0,1,0,1,1,0,4,0,0,2,0,1,1,1,1,0,1,1,1,2,1,0,6
2024-06-30,E00030775,E00030775,OA,Males,100,21,62,17,1,0,1,1,2,2,3,0,1,1,2,1,0,1,0,5,0,1,0,0,0,2,1,2,1,0,0,1,1,2,3,4,2,0,2,1,0,2,0,2,1,2,3,2,2,2,2,1,0,3,1,2,1,1,3,0,1,1,2,2,2,1,0,0,0,2,0,2,0,3,1,0,0,1,0,0,2,1,0,1,0,1,1,0,0,0,0,0,1,1,0
2024-06-30,E00030776,E00030776,OA,Persons,288,63,196,29,1,3,4,1,4,3,2,2,2,7,10,3,6,6,1,8,1,3,3,1,1,3,2,3,7,4,5,6,9,5,6,7,5,10,4,6,0,3,3,2,5,11,7,7,5,5,7,4,3,4,7,3,1,0,0,1,1,1,5,2,7,4,4,1,2,1,2,2,2,1,2,1,2,0,0,2,2,1,2,0,1,0,2,2,1,1,0,0,1,1,0
2024-06-30,E00030776,E00030776,OA,Females,159,34,108,17,0,1,2,0,2,2,1,1,1,5,6,2,4,4,0,3,1,1,2,0,0,0,0,1,4,3,3,3,8,3,3,4,2,6,1,3,0,1,0,1,3,6,3,6,2,3,2,4,3,3,4,3,0,0,0,0,1,1,3,1,3,3,2,1,1,0,2,2,2,1,0,0,0,0,0,2,2,0,1,0,1,0,2,0,0,0,0,0,1,1,0
2024-06-30,E00030776,E00030776,OA,Males,129,29,88,12,1,2,2,1,2,1,1,1,1,2,4,1,2,2,1,5,0,2,1,1,1,3,2,2,3,1,2,3,1,2,3,3,3,4,3,3,0,2,3,1,2,5,4,1,3,2,5,0,0,1,3,0,1,0,0,1,0,0,2,1,4,1,2,0,1,1,0,0,0,0,2,1,2,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0
2024-06-30,E00030777,E00030777,OA,Persons,355,67,242,46,3,3,2,7,3,2,5,5,7,2,6,6,5,6,3,2,4,2,0,3,1,2,5,5,4,7,4,2,10,11,12,10,9,9,5,4,5,4,5,8,5,4,5,8,8,5,1,7,6,8,3,0,6,6,5,3,5,3,1,4,3,3,5,5,2,3,6,2,0,2,1,7,2,3,2,2,1,3,2,1,2,2,1,0,2,0,0,0,0,0,2
