ward_code,ward_name,year,vacant_seats,candidate,party,votes,ballot_papers_issued,spoiled_ballots,electorate,elected,party_gain
E05000830,Hale Barns,2019,1,TWINEY Barbara Ruth,Labour and Co-operative Party,378,2817,8,7362,FALSE,na
E05000831,Hale Central,2019,1,FRASS Will,Liberal Democrats,555,2973,29,7394,FALSE,na
E05000831,Hale Central,2019,1,LEICESTER Stephen Edward,Green Party,512,2973,29,7394,FALSE,na
E05000831,Hale Central,2019,1,SLATER Benjamin Duncan,Labour Party,447,2973,29,7394,FALSE,na
E05000831,Hale Central,2019,1,YOUNG Patricia Beatrix,Conservative Party,1430,2973,29,7394,TRUE,FALSE
E05000832,Longford,2019,1,DUFFIELD Anne Christine,Labour Party,2150,3242,32,9098,TRUE,FALSE
E05000832,Longford,2019,1,FRYER Anna Corrina,Liberal Democrats,318,3242,32,9098,FALSE,na
E05000832,Longford,2019,1,MIYA Adam Ahmad,Conservative Party,336,3242,32,9098,FALSE,na
E05000832,Longford,2019,1,WESTBROOK Margaret Emily,Green Party,406,3242,32,9098,FALSE,na
E05000833,Priory,2019,1,GRIME Kevin,UK Independence Party,199,3109,11,8052,FALSE,na
E05000833,Priory,2019,1,MARKS Louis James,Conservative Party,679,3109,11,8052,FALSE,na
E05000833,Priory,2019,1,ROBERTSON-BROWN Nicholas Jonathan,Green Party,404,3109,11,8052,FALSE,na
E05000833,Priory,2019,1,STEPHENSON Briony Ruth,Liberal Democrats,305,3109,11,8052,FALSE,na
E05000833,Priory,2019,1,WESTERN Andrew Howard,Labour Party,1511,3109,11,8052,TRUE,FALSE
E05000834,St Mary's,2019,1,AXFORD Jill Margaret,Labour Party,920,3126,13,8611,FALSE,na
E05000834,St Mary's,2019,1,BUNTING Dan,Conservative Party,1527,3126,13,8611,TRUE,FALSE
E05000834,St Mary's,2019,1,MASON Kathy,UK Independence Party,184,3126,13,8611,FALSE,na
E05000834,St Mary's,2019,1,MCGLASHAN James,Green Party,2943126,13,8611,FALSE,na
E05000834,St Mary's,2019,1,SMITH Alison Margaret,Liberal Democrats,188,3126,13,8611,FALSE,na
E05000835,Sale Moor,2019,1,BENNETT Joanne Mary,Labour and Co-operative Party,1347,2601,32,7549,TRUE,FALSE
E05000835,Sale Moor,2019,1,LEICESTER Jane Frances,Green Party,355,2601,32,7549,FALSE,na
E05000835,Sale Moor,2019,1,LEIGH Matt,Conservative Party,664,2601,32,7549,FALSE,na
E05000835,Sale Moor,2019,1,WRIGHT Simon Andrew,Liberal Democrats,203,2601,32,7549,FALSE,na
E05000836,Stretford,2019,1,ADSHEAD Stephen Anthony,Labour Party,1843,2804,12,7843,TRUE,FALSE
