AREFNO,date,year,month,day,hour,mode,output_time,collision_severity,casualty_severity,number_vehicles,number_casualties,sex,ageband,light_conditions,speed_limit,area_name,lon,lat
2024061393664,2024-01-01,2024,Jan,Mon,12,Powered 2 Wheeler,12:03:00,Slight,Slight,2,1,Male,16-20,Daylight,30,Tameside,-2.123356307022915,53.45507523784409
2024061393715,2024-01-01,2024,Jan,Mon,16,Pedestrian,16:55:00,Serious,Serious,1,1,Male,56-65,Dark,30,Manchester,-2.1668961212246924,53.45983109590954
2024061393716,2024-01-01,2024,Jan,Mon,18,Car,18:30:00,Slight,Slight,2,3,Male,21-25,Dark,30,Manchester,-2.2252254949825714,53.50216975416141
2024061393716,2024-01-01,2024,Jan,Mon,18,Taxi or private hire,18:30:00,Slight,Slight,2,3,Male,36-45,Dark,30,Manchester,-2.2252254949825714,53.50216975416141
2024061393716,2024-01-01,2024,Jan,Mon,18,Taxi or private hire,18:30:00,Slight,Slight,2,3,Male,16-20,Dark,30,Manchester,-2.2252254949825714,53.50216975416141
2024061393739,2024-01-01,2024,Jan,Mon,19,Car,19:22:00,Fatal,Slight,1,3,Male,16-20,Dark,30,Rochdale,-2.1714147924302107,53.620311796185966
2024061393739,2024-01-01,2024,Jan,Mon,19,Car,19:22:00,Fatal,Serious,1,3,Male,16-20,Dark,30,Rochdale,-2.1714147924302107,53.620311796185966
2024061393739,2024-01-01,2024,Jan,Mon,19,Car,19:22:00,Fatal,Fatal,1,3,Male,16-20,Dark,30,Rochdale,-2.1714147924302107,53.620311796185966
2024061393759,2024-01-01,2024,Jan,Mon,11,Pedal Cycle,11:50:00,Serious,Serious,2,1,Male,46-55,Daylight,30,Manchester,-2.249123472562358,53.49234287191631
2024061393769,2024-01-02,2024,Jan,Tue,6,Car,06:50:00,Slight,Slight,1,1,Female,21-25,Dark,70,Bolton,-2.390438135617548,53.539360562587056
2024061393893,2024-01-01,2024,Jan,Mon,21,Car,21:30:00,Slight,Slight,2,1,Male,21-25,Dark,70,Wigan,-2.6939596100305803,53.580867951107074
2024061394067,2024-01-02,2024,Jan,Tue,18,Pedestrian,18:35:00,Slight,Slight,1,1,Male,16-20,Dark,30,Trafford,-2.339539954301599,53.446674189802636
2024061394078,2024-01-02,2024,Jan,Tue,17,Car,17:46:00,Slight,Slight,3,1,Male,21-25,Dark,20,Oldham,-2.1390235613860216,53.530407960923945
2024061394124,2024-01-03,2024,Jan,Wed,1,Car,01:55:00,Serious,Serious,1,1,Male,36-45,Dark,30,Tameside,-2.131934083556466,53.477393398663644
2024061394476,2024-01-03,2024,Jan,Wed,17,Car,17:15:00,Serious,Serious,2,1,Male,26-35,Dark,30,Manchester,-2.25648483799115,53.44341197718705
2024061394577,2024-01-04,2024,Jan,Thu,6,Pedestrian,06:50:00,Serious,Serious,1,1,Male,36-45,Dark,30,Salford,-2.33499729864882,53.5217677475374
2024061394898,2024-01-04,2024,Jan,Thu,16,Car,16:57:00,Slight,Slight,3,1,Female,46-55,Dark,30,Trafford,-2.3555486518253494,53.46695063184072
2024061394923,2024-01-04,2024,Jan,Thu,18,Car,18:00:00,Serious,Serious,1,1,Female,66-75,Dark,30,Stockport,-2.1554294710409643,53.41307936279962
2024061394928,2024-01-04,2024,Jan,Thu,14,Pedestrian,14:50:00,Serious,Serious,1,1,Male,16-20,Daylight,30,Stockport,-2.1595421958995193,53.40654824175052
2024061394938,2024-01-04,2024,Jan,Thu,17,Pedestrian,17:28:00,Slight,Slight,1,1,Female,16-20,Dark,30,Oldham,-2.1146616879415854,53.531107982842286
2024061394963,2024-01-04,2024,Jan,Thu,13,Car,13:30:00,Slight,Slight,1,1,Female,66-75,Daylight,20,Manchester,-2.253913781734148,53.47423901881944
2024061395210,2024-01-01,2024,Jan,Mon,0,Taxi or private hire,00:44:00,Slight,Slight,2,2,Female,21-25,Dark,20,Manchester,-2.234937789427048,53.42375348704761
2024061395210,2024-01-01,2024,Jan,Mon,0,Taxi or private hire,00:44:00,Slight,Slight,2,2,Male,26-35,Dark,20,Manchester,-2.234937789427048,53.42375348704761
2024061395250,2024-01-05,2024,Jan,Fri,12,Pedestrian,12:00:00,Serious,Serious,1,1,Male,0-5,Daylight,20,Oldham,-2.136727901920537,53.52492770649131
2024061395305,2024-01-05,2024,Jan,Fri,18,Powered 2 Wheeler,18:00:00,Serious,Serious,2,1,Male,36-45,Dark,30,Bolton,-2.5158588758173206,53.54672297440866
2024061395350,2024-01-01,2024,Jan,Mon,21,Car,21:00:00,Slight,Slight,1,1,Male,46-55,Dark,70,Rochdale,-2.100386459653148,53.605858612938874
2024061395384,2024-01-01,2024,Jan,Mon,10,Car,10:30:00,Slight,Slight,2,2,Male,46-55,Daylight,60,Stockport,-2.1263383590703677,53.42479883824939
