"Accident Index","Year","VehicleReferenceNumber","CasualtyNumber","CasualtyClass","Sex","AgeBandOfCasualty","CasualtySeverity","PedLocation","PedMovement","CarPassenger","BusPassenger","PedInjWork","CasTypeCode"
"100259992010",2010,3,1,1,1,7,3,0,0,0,0,0,9
"100259992010",2010,4,2,1,1,6,3,0,0,0,0,0,9
"100259992010",2010,4,3,2,1,2,3,0,0,2,0,0,9
"100259992010",2010,4,4,2,2,1,3,0,0,2,0,0,9
"100262012010",2010,1,1,1,1,4,3,0,0,0,0,0,9
"100262522010",2010,1,1,2,2,6,3,0,0,1,0,0,9
"100263772010",2010,1,1,3,1,2,3,8,9,0,0,0,0
"100264422010",2010,2,1,2,1,6,3,0,0,2,0,0,9
"100264582010",2010,1,1,3,1,6,3,9,5,0,0,0,0
"100267642010",2010,2,1,1,2,4,3,0,0,0,0,0,9
"100267642010",2010,2,2,2,1,5,3,0,0,1,0,0,9
"100267772010",2010,1,1,1,1,10,3,0,0,0,0,0,8
"100268212010",2010,1,1,1,1,8,3,0,0,0,0,0,9
"100268212010",2010,2,2,1,1,10,3,0,0,0,0,0,9
"100268822010",2010,1,1,3,2,11,3,8,1,0,0,0,0
"100269132010",2010,1,1,2,2,4,3,0,0,1,0,0,9
"100269132010",2010,2,2,1,2,7,3,0,0,0,0,0,9
"100269472010",2010,2,1,1,2,5,3,0,0,0,0,0,9
"100269752010",2010,2,1,1,2,5,3,0,0,0,0,0,9
"100269812010",2010,2,1,1,1,9,3,0,0,0,0,0,5
"100270262010",2010,1,1,1,2,5,3,0,0,0,0,0,9
"100270572010",2010,1,1,1,2,8,3,0,0,0,0,0,9
"100270662010",2010,2,1,1,1,4,3,0,0,0,0,0,3
"100270862010",2010,2,1,1,2,7,3,0,0,0,0,0,9
"100271482010",2010,1,1,1,1,7,3,0,0,0,0,0,9
"100271602010",2010,2,1,1,1,9,3,0,0,0,0,0,9
"100272212010",2010,2,1,1,2,5,3,0,0,0,0,0,9
"100272312010",2010,2,1,2,2,6,3,0,0,0,3,0,11
