AREFNO,date,month,day,hour,mode,severity,light,sex,ageband,area_name,long,lat
201606A010356,2016-01-04,Jan,Mon,8,Pedal Cycle,Slight,Daylight,Male,40-44,Manchester,-2.229669,53.480015
201606A010462,2016-01-06,Jan,Wed,23,Taxi,Slight,Dark,Male,60-64,Manchester,-2.236048,53.486294
201606A010480,2016-01-05,Jan,Tue,8,Pedestrian,Slight,Daylight,Male,5-9,Manchester,-2.229408,53.504204
201606A010489,2016-01-05,Jan,Tue,10,Car,Slight,Daylight,Male,70-74,Manchester,-2.214872,53.524707
201606A010493,2016-01-05,Jan,Tue,17,Other Vehicle,Slight,Dark,Male,40-44,Manchester,-2.249014,53.492443
201606A010493,2016-01-05,Jan,Tue,17,Other Vehicle,Slight,Dark,Male,30-34,Manchester,-2.249014,53.492443
201606A010519,2016-01-04,Jan,Mon,18,Car,Slight,Dark,Female,35-39,Manchester,-2.215114,53.521911
201606A010549,2016-01-05,Jan,Tue,8,Car,Slight,Daylight,Female,35-39,Manchester,-2.22612,53.486997
201606A010551,2016-01-02,Jan,Sat,18,Powered 2 Wheeler,Slight,Dark,Male,50-54,Manchester,-2.247988,53.525793
201606A010557,2016-01-01,Jan,Fri,2,Car,Slight,Dark,Male,25-29,Manchester,-2.207212,53.51601
201606A010582,2016-01-06,Jan,Wed,21,Pedestrian,Slight,Dark,Female,30-34,Manchester,-2.237891,53.479037
201606A010584,2016-01-07,Jan,Thu,5,Pedal Cycle,Slight,Dark,Male,55-59,Manchester,-2.21781,53.476999
201606A010605,2016-01-01,Jan,Fri,16,Car,Slight,Daylight,Male,25-29,Manchester,-2.21926,53.495225
201606A010605,2016-01-01,Jan,Fri,16,Car,Slight,Daylight,Male,20-24,Manchester,-2.21926,53.495225
201606A010608,2016-01-07,Jan,Thu,18,Pedal Cycle,Serious,Dark,Male,35-39,Manchester,-2.237717,53.47484
201606A010672,2016-01-08,Jan,Fri,17,Pedestrian,Slight,Dark,Male,55-59,Manchester,-2.236683,53.478662
201606A010731,2016-01-08,Jan,Fri,12,Pedestrian,Slight,Daylight,Female,20-24,Manchester,-2.237415,53.48293
201606A010928,2016-01-11,Jan,Mon,10,Pedal Cycle,Serious,Daylight,Male,40-44,Manchester,-2.238058,53.473976
201606A011085,2016-01-11,Jan,Mon,4,Powered 2 Wheeler,Serious,Dark,Male,45-49,Manchester,-2.182766,53.484761
