date,count,rate,wd15cd,wd15nm,lad15cd,lad15nm
2015-01-01,165,2.6,E05000726,Failsworth West,E08000004,Oldham
2015-01-01,240,3.5,E05000727,Hollinwood,E08000004,Oldham
2015-01-01,270,3.2,E05000728,Medlock Vale,E08000004,Oldham
2015-01-01,100,1.7,E05000729,Royton North,E08000004,Oldham
2015-01-01,110,1.6,E05000730,Royton South,E08000004,Oldham
2015-01-01,75,1.2,E05000731,Saddleworth North,E08000004,Oldham
2015-01-01,55,0.9,E05000732,Saddleworth South,E08000004,Oldham
2015-01-01,85,1.2,E05000733,Saddleworth West and Lees,E08000004,Oldham
2015-01-01,190,2.5,E05000734,St James',E08000004,Oldham
2015-01-01,395,4.4,E05000735,St Mary's,E08000004,Oldham
2015-01-01,125,2,E05000736,Shaw,E08000004,Oldham
2015-01-01,270,3.4,E05000737,Waterhead,E08000004,Oldham
2015-01-01,330,4.1,E05000738,Werneth,E08000004,Oldham
2015-01-01,215,3.3,E05000739,Balderstone and Kirkholt,E08000005,Rochdale
2015-01-01,75,1.4,E05000740,Bamford,E08000005,Rochdale
2015-01-01,120,1.9,E05000741,Castleton,E08000005,Rochdale
2015-01-01,370,5.2,E05000742,Central Rochdale,E08000005,Rochdale
2015-01-01,120,1.8,E05000743,East Middleton,E08000005,Rochdale
2015-01-01,100,1.5,E05000744,Healey,E08000005,Rochdale
2015-01-01,215,2.8,E05000745,Hopwood Hall,E08000005,Rochdale
2015-01-01,225,2.9,E05000746,Kingsway,E08000005,Rochdale
2015-01-01,70,1.2,E05000747,Littleborough Lakeside,E08000005,Rochdale
2015-01-01,325,4.3,E05000748,Milkstone and Deeplish,E08000005,Rochdale
2015-01-01,60,0.9,E05000749,Milnrow and Newhey,E08000005,Rochdale
2015-01-01,30,0.5,E05000750,Norden,E08000005,Rochdale
2015-01-01,170,2.6,E05000751,North Heywood,E08000005,Rochdale
2015-01-01,145,2.1,E05000752,North Middleton,E08000005,Rochdale
2015-01-01,235,3.3,E05000753,Smallbridge and Firgrove,E08000005,Rochdale
2015-01-01,100,1.6,E05000754,South Middleton,E08000005,Rochdale
2015-01-01,180,2.6,E05000755,Spotland and Falinge,E08000005,Rochdale
2015-01-01,55,0.8,E05000756,Wardle and West Littleborough,E08000005,Rochdale
2015-01-01,200,2.8,E05000757,West Heywood,E08000005,Rochdale
2015-01-01,245,3.3,E05000758,West Middleton,E08000005,Rochdale
2015-01-01,255,3.1,E05000759,Barton,E08000006,Salford
2015-01-01,50,0.8,E05000760,Boothstown and Ellenbrook,E08000006,Salford
2015-01-01,480,5,E05000761,Broughton,E08000006,Salford
2015-01-01,100,1.4,E05000762,Cadishead,E08000006,Salford
2015-01-01,75,1.2,E05000763,Claremont,E08000006,Salford
2015-01-01,160,2.1,E05000764,Eccles,E08000006,Salford
2015-01-01,100,1.7,E05000765,Irlam,E08000006,Salford
2015-01-01,270,2.6,E05000766,Irwell Riverside,E08000006,Salford
2015-01-01,160,2.1,E05000767,Kersal,E08000006,Salford
2015-01-01,370,3.9,E05000768,Langworthy,E08000006,Salford
2015-01-01,405,4.8,E05000769,Little Hulton,E08000006,Salford
2015-01-01,275,1.9,E05000770,Ordsall,E08000006,Salford
2015-01-01,165,1.8,E05000771,Pendlebury,E08000006,Salford
2015-01-01,185,2.6,E05000772,Swinton North,E08000006,Salford
2015-01-01,160,2.2,E05000773,Swinton South,E08000006,Salford
2015-01-01,270,3.5,E05000774,Walkden North,E08000006,Salford
2015-01-01,90,1.4,E05000775,Walkden South,E08000006,Salford
2015-01-01,200,2.4,E05000776,Weaste and Seedley,E08000006,Salford
2015-01-01,235,2.9,E05000777,Winton,E08000006,Salford
2015-01-01,30,0.5,E05000778,Worsley,E08000006,Salford
