date,area_code,area_name,measure,value
2014-01-01,E47000001,Greater Manchester,Claimant count,67035
2014-01-01,E08000001,Bolton,Claimant count,7470
2014-01-01,E08000002,Bury,Claimant count,3880
2014-01-01,E08000003,Manchester,Claimant count,16125
2014-01-01,E08000004,Oldham,Claimant count,5925
2014-01-01,E08000005,Rochdale,Claimant count,5420
2014-01-01,E08000006,Salford,Claimant count,6400
2014-01-01,E08000007,Stockport,Claimant count,5105
2014-01-01,E08000008,Tameside,Claimant count,5540
2014-01-01,E08000009,Trafford,Claimant count,3530
2014-01-01,E08000010,Wigan,Claimant count,7635
2014-01-01,E05000650,Astley Bridge (Bolton),Claimant count,200
2014-01-01,E05000651,Bradshaw (Bolton),Claimant count,195
2014-01-01,E05000652,Breightmet (Bolton),Claimant count,430
2014-01-01,E05000653,Bromley Cross (Bolton),Claimant count,110
2014-01-01,E05000654,Crompton (Bolton),Claimant count,640
2014-01-01,E05000655,Farnworth (Bolton),Claimant count,645
2014-01-01,E05000656,Great Lever (Bolton),Claimant count,640
2014-01-01,E05000657,Halliwell (Bolton),Claimant count,815
2014-01-01,E05000658,Harper Green (Bolton),Claimant count,425
2014-01-01,E05000659,Heaton and Lostock (Bolton),Claimant count,110
2014-01-01,E05000661,Horwich North East (Bolton),Claimant count,220
2014-01-01,E05000660,Horwich and Blackrod (Bolton),Claimant count,170
2014-01-01,E05000662,Hulton (Bolton),Claimant count,330
2014-01-01,E05000663,Kearsley (Bolton),Claimant count,310
2014-01-01,E05000664,Little Lever and Darcy Lever (Bolton),Claimant count,210
2014-01-01,E05000665,Rumworth (Bolton),Claimant count,790
2014-01-01,E05000666,Smithills (Bolton),Claimant count,360
2014-01-01,E05000667,Tonge with the Haulgh (Bolton),Claimant count,515
2014-01-01,E05000668,Westhoughton North and Chew Moor (Bolton),Claimant count,140
2014-01-01,E05000669,Westhoughton South (Bolton),Claimant count,220
2014-01-01,E05000670,Besses (Bury),Claimant count,305
2014-01-01,E05000671,Church (Bury),Claimant count,150
2014-01-01,E05000672,East (Bury),Claimant count,440
2014-01-01,E05000673,Elton (Bury),Claimant count,200
2014-01-01,E05000674,Holyrood (Bury),Claimant count,215
2014-01-01,E05000675,Moorside (Bury),Claimant count,460
2014-01-01,E05000676,North Manor (Bury),Claimant count,50
2014-01-01,E05000677,Pilkington Park (Bury),Claimant count,110
