date,count,rate,cauth15cd,cauth15nm
2015-01-01,43970,2.5,E47000001,Greater Manchester
2015-02-01,45965,2.6,E47000001,Greater Manchester
2015-03-01,45290,2.6,E47000001,Greater Manchester
2015-04-01,45810,2.6,E47000001,Greater Manchester
2015-05-01,45220,2.6,E47000001,Greater Manchester
2015-06-01,43910,2.5,E47000001,Greater Manchester
2015-07-01,44195,2.5,E47000001,Greater Manchester
2015-08-01,44355,2.5,E47000001,Greater Manchester
2015-09-01,44455,2.5,E47000001,Greater Manchester
2015-10-01,44765,2.5,E47000001,Greater Manchester
2015-11-01,43625,2.5,E47000001,Greater Manchester
2015-12-01,43200,2.4,E47000001,Greater Manchester
2016-01-01,44675,2.5,E47000001,Greater Manchester
2016-02-01,46820,2.6,E47000001,Greater Manchester
2016-03-01,47550,2.7,E47000001,Greater Manchester
2016-04-01,47340,2.7,E47000001,Greater Manchester
2016-05-01,47385,2.7,E47000001,Greater Manchester
2016-06-01,46290,2.6,E47000001,Greater Manchester
2016-07-01,46110,2.6,E47000001,Greater Manchester
2016-08-01,46665,2.6,E47000001,Greater Manchester
2016-09-01,46620,2.6,E47000001,Greater Manchester
2016-10-01,45980,2.6,E47000001,Greater Manchester
2016-11-01,45065,2.5,E47000001,Greater Manchester
2016-12-01,43785,2.5,E47000001,Greater Manchester
2017-01-01,44105,2.5,E47000001,Greater Manchester
2017-02-01,45890,2.6,E47000001,Greater Manchester
2017-03-01,47055,2.6,E47000001,Greater Manchester
2017-04-01,47720,2.7,E47000001,Greater Manchester
2017-05-01,47340,2.7,E47000001,Greater Manchester
2017-06-01,46775,2.6,E47000001,Greater Manchester
2017-07-01,46185,2.6,E47000001,Greater Manchester
2017-08-01,46770,2.6,E47000001,Greater Manchester
2017-09-01,46855,2.6,E47000001,Greater Manchester
2017-10-01,46220,2.6,E47000001,Greater Manchester
