date,count,rate,lad15cd,lad15nm,cauth15cd,cauth15nm
2015-05-01,4200,3,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2015-05-01,3805,2.8,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2015-05-01,4285,2.7,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2015-05-01,3375,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2015-05-01,3670,2.6,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2015-05-01,2275,1.6,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2015-05-01,5105,2.5,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2015-06-01,5045,2.9,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2015-06-01,2760,2.4,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2015-06-01,10215,2.7,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2015-06-01,4050,2.8,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2015-06-01,3660,2.7,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2015-06-01,4115,2.5,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2015-06-01,3360,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2015-06-01,3580,2.6,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2015-06-01,2215,1.5,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2015-06-01,4905,2.4,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2015-07-01,5040,2.9,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2015-07-01,2835,2.4,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2015-07-01,10150,2.7,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2015-07-01,4090,2.9,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2015-07-01,3630,2.7,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2015-07-01,4120,2.6,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2015-07-01,3395,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2015-07-01,3665,2.6,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2015-07-01,2260,1.6,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2015-07-01,5010,2.5,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2015-08-01,5080,2.9,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2015-08-01,2780,2.4,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2015-08-01,10105,2.7,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2015-08-01,4140,2.9,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2015-08-01,3640,2.7,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2015-08-01,4145,2.6,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2015-08-01,3415,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2015-08-01,3630,2.6,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2015-08-01,2305,1.6,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2015-08-01,5120,2.5,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2015-09-01,5050,2.9,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2015-09-01,2785,2.4,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2015-09-01,10125,2.7,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2015-09-01,4150,2.9,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
