area_code,area_name,category,year,quarter,effective_date,vehicle_count
E08000001,Bolton,All licensed cars,2020,4,2020-12-31,125018
E08000002,Bury,All licensed cars,2020,4,2020-12-31,106422
E08000003,Manchester,All licensed cars,2020,4,2020-12-31,161572
E08000004,Oldham,All licensed cars,2020,4,2020-12-31,94057
E08000005,Rochdale,All licensed cars,2020,4,2020-12-31,92823
E08000006,Salford,All licensed cars,2020,4,2020-12-31,95256
E08000007,Stockport,All licensed cars,2020,4,2020-12-31,345596
E08000008,Tameside,All licensed cars,2020,4,2020-12-31,99324
E08000009,Trafford,All licensed cars,2020,4,2020-12-31,111669
E08000010,Wigan,All licensed cars,2020,4,2020-12-31,154488
E08000001,Bolton,All licensed cars,2019,4,2019-12-31,125027
E08000002,Bury,All licensed cars,2019,4,2019-12-31,109629
E08000003,Manchester,All licensed cars,2019,4,2019-12-31,159352
E08000004,Oldham,All licensed cars,2019,4,2019-12-31,93338
E08000005,Rochdale,All licensed cars,2019,4,2019-12-31,92199
E08000006,Salford,All licensed cars,2019,4,2019-12-31,94705
E08000007,Stockport,All licensed cars,2019,4,2019-12-31,147080
E08000008,Tameside,All licensed cars,2019,4,2019-12-31,99352
E08000009,Trafford,All licensed cars,2019,4,2019-12-31,112901
E08000010,Wigan,All licensed cars,2019,4,2019-12-31,154196
E08000001,Bolton,All licensed cars,2018,4,2018-12-31,122309
E08000002,Bury,All licensed cars,2018,4,2018-12-31,108412
E08000003,Manchester,All licensed cars,2018,4,2018-12-31,154394
E08000004,Oldham,All licensed cars,2018,4,2018-12-31,91006
E08000005,Rochdale,All licensed cars,2018,4,2018-12-31,89892
E08000006,Salford,All licensed cars,2018,4,2018-12-31,92330
E08000007,Stockport,All licensed cars,2018,4,2018-12-31,145295
E08000008,Tameside,All licensed cars,2018,4,2018-12-31,97607
E08000009,Trafford,All licensed cars,2018,4,2018-12-31,112102
E08000010,Wigan,All licensed cars,2018,4,2018-12-31,151346
E08000001,Bolton,All licensed cars,2017,4,2017-12-31,120605
E08000002,Bury,All licensed cars,2017,4,2017-12-31,104552
E08000003,Manchester,All licensed cars,2017,4,2017-12-31,149974
E08000004,Oldham,All licensed cars,2017,4,2017-12-31,89250
E08000005,Rochdale,All licensed cars,2017,4,2017-12-31,88421
E08000006,Salford,All licensed cars,2017,4,2017-12-31,90530
E08000007,Stockport,All licensed cars,2017,4,2017-12-31,144384
E08000008,Tameside,All licensed cars,2017,4,2017-12-31,96224
E08000009,Trafford,All licensed cars,2017,4,2017-12-31,111634
E08000010,Wigan,All licensed cars,2017,4,2017-12-31,149135
E08000001,Bolton,All licensed cars,2016,4,2016-12-31,119242
E08000002,Bury,All licensed cars,2016,4,2016-12-31,100418
