area_code,area_name,median_price,min_price,max_price,transactions
E01005117,Manchester 048E,127000,63000,252500,16
E01005397,Oldham 009A,127000,39999,190000,22
E01005499,Rochdale 006C,127000,56000,1800000,26
E01004782,Bolton 009C,127500,75000,218000,14
E01005070,Manchester 051B,127500,124500,152000,3
E01006012,Tameside 017C,127500,77370,225000,23
E01006030,Tameside 028C,127500,90000,274995,23
E01032915,Salford 028I,127750,99000,175000,12
E01004933,Bolton 035A,128000,67500,615000,29
E01004948,Bury 009B,128000,66000,225000,25
E01005327,Oldham 017A,128000,89995,250000,37
E01005964,Tameside 019B,128000,50000,290000,31
E01006245,Wigan 023D,128000,56000,360000,55
E01005403,Oldham 005D,128250,84000,350000,34
E01006218,Wigan 024D,128495,40000,195000,60
E01005439,Oldham 030E,128500,49000,240000,26
E01006370,Wigan 006A,128500,47000,490000,24
E01006403,Wigan 021G,128500,75000,211000,24
E01006020,Tameside 018E,129000,80000,295000,18
E01005281,Manchester 026B,129250,58000,405000,14
E01032914,Salford 028H,129250,60000,195000,60
E01004955,Bury 007B,129500,40000,240000,16
E01005506,Rochdale 020D,129500,73000,320000,14
E01005711,Salford 007A,129500,66500,217500,32
E01006286,Wigan 016E,129500,88500,210000,16
E01005828,Stockport 024D,129750,93000,155000,4
E01005087,Manchester 050A,129950,86000,151000,11
E01005889,Stockport 001C,129950,99500,212500,21
E01005374,Oldham 034C,129975,61000,212500,20
E01005377,Oldham 030A,129995,95000,186995,65
E01006033,Tameside 020C,129995,64500,238000,25
E01005053,Bury 006E,130000,60000,575000,30
E01005071,Manchester 048A,130000,62000,175000,17
E01005222,Manchester 031D,130000,73000,190000,34
E01005236,Manchester 022D,130000,50000,194000,21
E01005314,Manchester 053B,130000,100000,194250,9
E01005510,Rochdale 019A,130000,85000,167000,15
E01005546,Rochdale 024C,130000,59995,325000,16
E01005604,Salford 027B,130000,82500,215000,23
E01005915,Stockport 007B,130000,90000,199000,19
E01005997,Tameside 010D,130000,55000,172000,12
E01006019,Tameside 018D,130000,67000,320800,19
E01006021,Tameside 016D,130000,60000,192500,29
E01006052,Tameside 027D,130000,53000,399950,15
E01006053,Tameside 001A,130000,80000,533000,33
E01006065,Tameside 008C,130000,73000,162000,7
E01006216,Wigan 026C,130000,44000,240000,29
E01006266,Wigan 032C,130000,56000,240000,26
E01006279,Wigan 019B,130000,59000,247000,32
E01006407,Wigan 020B,130000,37500,157000,17
E01033669,Manchester 015G,130000,82000,157000,7
E01005074,Manchester 051C,130250,80000,190000,10
E01005387,Oldham 018A,130475,39995,310000,36
E01004889,Bolton 004D,130500,85500,370100,20
E01005028,Bury 011C,130500,85000,155000,16
E01005113,Manchester 047C,131000,45000,225000,18
E01005723,Salford 021F,131000,69950,167500,13
E01005725,Salford 019A,131225,96000,158000,8
E01005547,Rochdale 024D,131250,50000,269950,29
E01005977,Tameside 026C,131250,95000,237000,16
E01006039,Tameside 028D,131250,64000,225000,10
E01006303,Wigan 040B,131250,45000,230000,22
E01005817,Stockport 016C,131437,80000,180000,30
E01005059,Bury 013C,131475,72000,550000,34
E01005015,Bury 001B,131500,79000,317500,22
E01005402,Oldham 009D,131500,67500,255000,29
E01005870,Stockport 015A,131500,91250,192000,26
E01005247,Manchester 005A,132000,65000,205000,11
E01005250,Manchester 005D,132000,34975,189995,20
E01005511,Rochdale 019B,132000,60000,257000,20
E01006032,Tameside 020B,132000,95200,158000,11
E01006070,Tameside 015C,132000,82500,335000,30
E01004882,Bolton 007C,132500,64500,225000,22
E01004891,Bolton 028A,132500,45000,320000,28
E01005288,Manchester 025E,132500,95000,180000,12
E01005454,Oldham 012C,132500,62050,215000,23
E01005816,Stockport 016B,132500,100000,316000,35
E01005921,Stockport 003E,132500,64000,218000,29
E01006043,Tameside 030B,132500,95000,262000,19
E01005010,Bury 018B,132750,76000,358000,22
E01005220,Manchester 031B,132975,80000,232000,38
E01005372,Oldham 034A,132975,55000,210000,20
E01004899,Bolton 030C,133250,60000,275000,28
E01005519,Rochdale 002A,133320,45000,325000,33
E01005086,Manchester 049B,133500,80000,233000,14
E01006000,Tameside 010E,133750,40500,199950,14
E01005208,Manchester 019A,134000,98000,217000,40
E01005533,Rochdale 024A,134000,40000,345000,27
E01004790,Bolton 002B,134200,82500,693500,20
E01004978,Bury 004C,134250,71000,415000,30
E01005514,Rochdale 019E,134995,57500,245000,47
E01006027,Tameside 027B,134995,61000,169995,56
E01004900,Bolton 030D,135000,78000,252000,23
E01005051,Bury 003E,135000,85000,470000,32
E01005075,Manchester 051D,135000,58000,350000,19
E01005196,Manchester 023B,135000,112500,167000,13
E01005200,Manchester 027C,135000,83500,199950,55
E01005478,Rochdale 017C,135000,62000,177500,23
E01005617,Salford 030B,135000,50000,212000,21
E01005630,Salford 021B,135000,68005,265000,25
E01005730,Salford 025B,135000,50000,187000,25
E01005745,Stockport 005A,135000,86500,372500,21
E01005887,Stockport 002A,135000,85000,310000,25
E01005971,Tameside 025A,135000,85000,185000,38
E01005264,Manchester 044C,135250,117000,157000,7
E01005524,Rochdale 021A,135500,90000,480000,21
E01005633,Salford 020C,135500,86000,162500,16
E01005726,Salford 019B,135500,59000,210000,26
E01005395,Oldham 004C,135975,75000,270000,18
E01004925,Bolton 008E,136000,72000,320000,31
E01004963,Bury 006A,136000,67500,212000,20
E01005166,Manchester 008E,136000,57000,210100,14
E01005290,Manchester 052A,136000,90000,160000,9
E01005326,Oldham 022B,136000,65000,225000,5
E01005390,Oldham 004A,136000,85000,242000,26
E01006054,Tameside 001B,136000,70000,275000,29
E01006376,Wigan 028A,136000,89950,205000,21
E01032559,Oldham 007F,136000,67500,249950,35
E01005974,Tameside 021C,136250,76000,220000,22
E01006013,Tameside 018B,136250,93000,250000,16
E01005002,Bury 014D,136475,62500,169000,22
E01004961,Bury 005A,136500,70000,292500,15
E01005254,Manchester 005F,136500,68000,210000,24
E01005643,Salford 029E,136750,50000,200000,30
E01005751,Stockport 009E,136750,97500,185000,30
E01006287,Wigan 017D,136750,75000,237500,14
E01004922,Bolton 015E,137000,40000,355950,53
E01005628,Salford 018D,137000,88000,330000,27
E01005688,Salford 006B,137000,80000,185000,20
E01005963,Tameside 019A,137000,107000,245000,25
E01006401,Wigan 021E,137000,114000,243000,17
E01005178,Manchester 030A,137500,33500,262500,30
E01006249,Wigan 031B,137500,34000,575000,25
E01006285,Wigan 019E,137500,83000,440000,25
E01032907,Salford 022H,137500,100500,210000,45
E01005548,Rochdale 024E,137950,71000,475000,15
E01004783,Bolton 009D,138000,75000,400000,25
E01005231,Manchester 022C,138000,84500,235000,10
E01005345,Oldham 028C,138000,85000,200000,24
E01005727,Salford 019C,138000,70000,350000,31
E01006255,Wigan 005C,138000,73000,190000,25
E01006408,Wigan 020C,138000,64252,229950,23
E01005492,Rochdale 006B,138250,61250,260000,26
E01005068,Manchester 051A,138500,77500,155000,12
E01005388,Oldham 018B,138500,88250,265000,22
E01005640,Salford 029B,138500,110000,159995,16
E01006002,Tameside 011C,138500,80000,215000,13
E01033685,Manchester 003F,138500,67000,190000,24
E01005892,Stockport 003B,138750,90000,240000,24
E01004781,Bolton 007B,139000,62000,320000,33
E01005597,Rochdale 002C,139000,69000,297500,50
E01005667,Salford 028B,139000,75000,205000,21
E01005871,Stockport 015B,139000,53500,280000,38
E01005919,Stockport 002E,139000,119950,218000,16
