area_code,area_name,median_price,min_price,max_price,transactions
E05000863,Winstanley,157000,62e3,418500,180
E05000798,Reddish South,158000,56250,632e3,249
E05000781,Bredbury and Woodley,160000,48e3,425e3,235
E05000787,Davenport and Cale Green,160000,5e4,55e4,269
E05000740,Bamford,161000,32e3,12e5,179
E05000806,Denton West,161000,7e4,33e4,216
E05000818,Stalybridge South,161000,5e4,59e4,175
E05000813,Hyde Werneth,162750,52e3,692e3,196
E05000681,Ramsbottom,165000,6e4,862500,212
E05000691,Brooklands,165000,45e3,665e3,216
E05000855,Lowton East,165000,45e3,713e3,221
E05000763,Claremont,165500,45e3,425e3,176
E05000707,Levenshulme,166000,39e3,54e4,212
E05000858,Shevington with Lower Ground,167000,3e4,45e4,200
E05000770,Ordsall,169850,6e4,27e5,1152
E05000761,Broughton,170000,6e4,42e4,107
E05000688,Ardwick,172500,59900,245e3,141
E05000687,Ancoats and Clayton,174500,45e3,525e3,331
E05000712,Northenden,175000,7e4,63e4,197
E05000843,Astley Mosley Common,175000,55500,58e4,257
E05000856,Orrell,175000,67500,596e3,233
E05000803,Audenshaw,175475,5e4,344950,266
E05000829,Gorse Hill,176875,82500,382500,176
E05000671,Church,177000,56631,457750,151
E05000782,Bredbury Green and Romiley,179100,55e3,76e4,189
E05000686,Unsworth,180000,64e3,425e3,129
E05000832,Longford,181000,43750,586e3,157
E05000651,Bradshaw,181750,78e3,775e3,184
E05000701,Fallowfield,184975,33500,52e4,96
E05000653,Bromley Cross,185000,77500,8e5,258
E05000674,Holyrood,185000,33250,57e4,209
E05000692,Burnage,187500,22636,445e3,155
E05000717,Withington,188750,53e3,56e4,122
E05000706,Hulme,189091,36859,471142,376
E05000754,South Middleton,190000,5e4,618e3,168
E05000750,Norden,191000,52500,18e5,176
E05000713,Old Moat,195000,90500,695e3,141
E05000677,Pilkington Park,200000,45e3,16e5,192
E05000796,Offerton,200000,55e3,49e4,194
E05000836,Stretford,202500,74e3,395e3,136
E05000683,St Mary's,206175,58e3,6e5,180
E05000825,Clifford,206300,102e3,439e3,100
E05000775,Walkden South,207995,1150,56e4,339
E05000833,Priory,208250,69880,875e3,246
E05000697,City Centre,209225,39950,1225e3,596
E05000676,North Manor,210000,56500,985e3,166
E05000764,Eccles,210000,49e3,115e4,255
E05000789,Hazel Grove,210500,62500,56e4,306
E05000684,Sedgley,215000,58750,825e3,215
E05000785,Cheadle Hulme North,216500,8e4,55e4,212
E05000859,Standish with Langtree,216995,42500,565e3,332
E05000827,Davyhulme West,221750,1e5,732e3,182
E05000731,Saddleworth North,225000,85e3,875e3,187
E05000760,Boothstown and Ellenbrook,225000,6e4,62e4,189
E05000732,Saddleworth South,229000,4e4,19e5,190
E05000826,Davyhulme East,230000,117e3,54e4,123
E05000838,Urmston,236000,92e3,67e4,181
E05000828,Flixton,236750,64e3,677500,190
E05000659,Heaton and Lostock,240000,35e3,275e4,247
E05000835,Sale Moor,243750,86500,905e3,154
E05000790,Heald Green,245000,67e3,53e4,207
E05000799,Stepping Hill,245000,59500,62e4,321
E05000716,Whalley Range,248725,18e3,75e4,200
E05000696,Chorlton Park,248750,25e3,91e4,268
E05000834,St Mary's,252600,63500,1875e3,160
E05000795,Marple South and High Lane,255000,5e4,76e4,215
E05000819,Altrincham,257750,53500,265e4,375
E05000792,Heatons South,262500,65e3,819225,231
E05000778,Worsley,267000,95e3,1085e3,212
E05000822,Broadheath,268000,45e3,629950,258
E05000784,Cheadle and Gatley,270000,46e3,1e6,309
E05000700,Didsbury West,275000,87500,15e5,281
E05000820,Ashton upon Mersey,275000,89950,88e4,186
E05000839,Village,275000,8e4,85e4,149
E05000786,Cheadle Hulme South,277500,8e4,1027500,227
E05000791,Heatons North,284995,66e3,87e4,253
E05000794,Marple North,291500,79950,95e4,200
E05000695,Chorlton,295000,6e4,94e4,211
E05000699,Didsbury East,296500,66699,1467330,264
E05000779,Bramhall North,310000,113e3,138e4,213
E05000823,Brooklands,316000,75e3,8e5,161
E05000837,Timperley,335000,9e4,775e3,167
E05000831,Hale Central,425000,81e3,35e5,199
E05000780,Bramhall South and Woodford,450000,115e3,12e5,207
E05000830,Hale Barns,560500,135e3,68e5,162
E05000821,Bowdon,577500,107500,32e5,168
