name,address,postcode,area_code,area_name
Altrincham,"Robert House, 80 Manchester Road, Altrincham",WA14 4PU,E08000009,Trafford
Stretford,"Arndale House, Chester Road, Stretford, Manchester",M32 9ED,E08000009,Trafford
