lsoa11cd,lsoa11nm,lad16nm,total_pop,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E01004773,Bolton 003D,Bolton,2282,23,24,33,27,29,28,26,29,24,30,18,28,24,14,16,31,36,28,33,25,25,38,53,64,46,61,52,43,55,66,34,35,37,31,38,29,27,20,32,28,27,26,23,33,33,27,30,26,26,35,27,28,38,28,25,22,38,17,30,20,20,12,21,13,16,11,12,14,13,14,16,11,16,14,17,13,14,21,12,15,11,8,9,8,4,9,2,4,4,6,23
E01004809,Bolton 003E,Bolton,1801,14,16,14,8,22,19,14,30,15,20,19,19,29,11,18,20,16,24,29,15,11,21,16,18,23,23,32,33,28,29,34,22,25,24,21,17,17,14,12,13,23,18,13,24,26,32,33,28,27,26,23,34,40,30,31,27,18,15,13,24,21,28,19,20,17,25,22,29,22,30,10,22,17,15,18,15,12,18,12,12,9,10,8,17,7,4,8,11,4,6,23
E01004777,Bolton 004A,Bolton,1599,13,19,17,21,20,18,12,26,12,17,15,14,12,13,17,18,25,16,26,19,25,24,18,22,25,15,19,22,19,20,21,21,20,19,30,25,29,17,20,14,20,20,20,21,24,21,23,30,31,20,28,29,27,20,21,22,25,18,18,21,10,14,12,18,14,11,10,13,21,23,13,12,18,12,9,7,14,10,8,8,14,15,6,6,8,13,8,5,4,3,26
E01004881,Bolton 004B,Bolton,1478,13,16,11,14,13,15,17,14,11,17,25,22,15,19,16,6,5,4,4,7,10,8,8,17,32,24,33,26,19,14,21,20,22,19,17,18,23,15,7,11,17,18,13,16,20,18,20,16,12,17,15,17,19,21,26,19,18,17,15,18,15,7,17,18,24,18,13,22,17,22,16,21,20,22,15,12,10,12,18,14,13,15,11,15,19,8,9,13,5,10,47
E01004888,Bolton 004C,Bolton,1297,8,13,9,16,15,15,11,10,10,13,7,7,12,14,15,21,26,20,23,10,15,12,17,20,12,15,15,13,11,15,10,10,10,14,20,16,20,14,15,13,11,18,14,11,10,26,27,22,24,25,29,26,32,30,21,25,21,28,15,24,14,19,17,7,17,13,19,20,22,17,12,14,16,11,14,10,4,2,6,2,1,3,4,1,6,6,6,4,1,3,5
E01004889,Bolton 004D,Bolton,1483,20,12,18,17,22,19,13,16,20,25,21,16,18,20,18,20,24,29,22,15,19,16,18,15,24,12,16,21,18,13,10,14,14,19,21,19,18,12,17,14,16,16,14,21,28,33,25,25,30,28,36,18,22,17,16,18,13,18,20,16,19,14,13,11,18,14,11,19,13,30,13,21,15,15,8,15,4,4,6,5,9,10,7,6,7,5,3,4,3,3,13
E01004890,Bolton 004E,Bolton,1382,11,15,12,13,8,21,15,11,14,12,12,14,19,10,15,10,9,12,13,14,17,23,17,17,17,14,19,19,21,18,20,21,23,22,20,21,16,22,21,15,14,12,13,13,16,20,18,30,30,21,26,27,19,24,21,19,18,20,19,15,9,11,14,13,15,19,14,13,33,16,19,10,12,10,14,7,6,14,10,7,7,9,7,11,6,6,8,6,3,3,12
E01004766,Bolton 005A,Bolton,1630,16,12,12,16,11,19,20,8,18,12,22,21,22,25,11,20,12,18,19,14,24,24,29,28,27,20,30,20,13,19,30,18,30,17,14,22,24,24,27,16,16,18,14,16,19,32,18,30,32,20,36,18,14,24,27,24,21,19,20,18,12,18,17,17,10,27,19,16,12,21,13,21,13,16,12,7,17,19,15,10,16,14,7,5,7,10,8,9,7,3,12
E01004767,Bolton 005B,Bolton,1766,21,25,23,22,17,21,17,24,26,19,27,11,11,11,19,16,17,17,15,22,27,21,29,23,37,29,29,35,32,24,22,39,37,22,27,25,20,23,26,21,17,27,23,26,15,24,23,18,21,33,22,22,15,17,33,23,26,18,16,20,18,10,17,20,9,17,28,15,18,20,17,13,8,23,16,7,10,10,13,14,12,12,6,9,11,9,4,6,5,6,15
E01004772,Bolton 005C,Bolton,1742,17,24,27,23,27,30,25,26,27,26,31,31,25,21,29,25,25,42,18,22,19,20,26,26,16,19,20,15,27,16,32,19,33,28,23,26,23,19,19,27,24,21,24,27,28,24,30,27,17,25,27,30,24,19,19,20,23,20,17,25,11,15,16,12,17,22,16,14,19,14,8,12,14,11,9,15,13,13,9,6,5,2,1,2,3,4,1,2,0,3,8
E01004774,Bolton 005D,Bolton,1738,14,21,22,21,18,23,24,27,24,19,20,19,16,16,17,24,24,28,29,27,19,21,26,23,28,26,24,25,28,30,24,28,20,22,16,26,26,18,26,25,23,30,28,31,28,27,27,27,21,28,34,29,30,23,32,27,14,25,11,19,20,16,15,18,18,9,12,10,9,17,13,17,15,13,14,8,7,5,9,8,5,9,6,5,5,9,3,1,3,2,9
E01004824,Bolton 005E,Bolton,1684,38,23,28,37,32,24,28,31,24,32,35,25,24,28,27,24,26,40,22,26,24,21,26,25,28,24,23,22,19,22,18,30,29,23,31,21,24,26,29,23,19,32,28,21,22,20,29,20,28,18,18,11,12,20,12,16,21,17,10,21,15,14,28,25,19,9,12,11,6,5,7,6,3,7,3,1,3,7,5,3,5,4,4,2,4,3,4,3,2,0,7
E01004784,Bolton 006A,Bolton,1245,16,10,9,14,15,9,14,16,9,8,16,13,17,13,14,17,15,14,9,15,13,11,8,11,6,6,7,12,12,11,11,15,8,11,11,13,9,11,11,9,11,18,11,21,17,19,15,16,19,12,20,16,17,11,24,20,17,23,16,14,17,17,26,19,18,21,16,25,21,28,15,22,25,36,11,18,18,20,12,10,6,8,5,6,5,1,2,1,1,1,8
E01004785,Bolton 006B,Bolton,1506,16,18,14,20,22,23,15,20,19,21,22,26,18,16,13,23,23,18,12,8,11,7,10,10,14,14,14,13,12,10,9,18,17,12,14,21,21,22,17,23,20,14,15,21,14,23,16,25,18,20,24,29,22,28,26,18,9,13,23,11,20,10,16,19,25,27,17,17,24,27,19,13,23,17,14,17,14,16,15,14,5,20,20,13,8,5,3,6,6,3,8
E01004786,Bolton 006C,Bolton,1403,8,7,18,10,13,15,19,13,9,15,10,12,14,14,20,15,16,16,16,15,11,15,11,12,8,11,9,10,13,14,22,15,17,13,14,8,9,7,7,12,17,13,20,15,21,21,17,21,18,26,24,22,22,19,22,24,19,12,20,27,12,19,14,20,19,15,18,21,25,31,12,26,25,17,25,22,22,13,20,11,12,13,9,9,11,9,9,1,4,9,17
E01004789,Bolton 006D,Bolton,1476,20,10,16,20,28,9,14,13,10,13,20,11,16,13,20,8,16,13,15,4,7,9,16,10,8,14,16,8,23,19,13,15,15,12,13,15,18,15,14,20,14,16,19,17,18,18,18,17,14,24,29,29,20,28,22,25,20,20,17,18,20,26,15,17,13,24,26,21,28,30,24,18,24,19,19,12,18,18,16,11,15,13,11,10,13,7,8,4,2,3,19
E01004791,Bolton 006E,Bolton,1205,10,10,15,8,12,9,14,8,18,11,11,12,11,14,12,9,7,9,6,6,11,12,7,11,10,12,4,15,7,13,15,13,14,13,13,6,7,7,8,13,16,14,11,18,13,23,19,19,16,19,16,16,20,11,16,18,15,16,16,20,13,19,9,15,14,14,20,22,22,19,16,19,19,21,11,18,20,18,22,16,12,11,9,13,11,11,11,5,6,3,11
E01004792,Bolton 006F,Bolton,1441,12,8,12,4,7,7,17,15,12,19,7,12,13,6,12,16,14,14,14,12,11,14,6,6,11,9,8,5,6,15,3,11,7,5,11,10,12,13,11,18,11,13,13,8,30,26,21,19,22,26,19,21,22,25,12,23,22,18,21,36,28,12,21,19,18,28,26,38,34,44,26,21,15,24,23,22,19,23,30,18,22,23,9,10,10,13,11,7,7,0,7
