atco_code,common_name,street,area_code,area_name,lon,lat
1800SJ47601,Abington Road,Marsland Road,E08000009,Trafford,-2.36572,53.41671
1800SJ03561,Ackers Farm,Carrington Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ03571,Ackers Farm,Carrington Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ48171,Ackers Lane,Manchester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48181,Ackers Lane,Manchester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48151,Addison Road,Manchester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48201,Addison Road,Manchester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48141,Air Products,Manchester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48211,Air Products,Manchester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ12081,Akzo Nobel,Barton Dock Rd,E08000009,Trafford,-2.36572,53.41671
1800SJ11481,Alan Drive,Arthog Road,E08000009,Trafford,-2.36572,53.41671
1800SJ11321,Alan Drive,Arthog Road,E08000009,Trafford,-2.36572,53.41671
1800SJ47231,Alexandra Road,Marsland Road,E08000009,Trafford,-2.36572,53.41671
1800SJ47571,Alexandra Road,Marsland Road,E08000009,Trafford,-2.36572,53.41671
1800SJ41361,All Saints Church,Hale Road,E08000009,Trafford,-2.36572,53.41671
1800SJ41371,All Saints Church,Hale Road,E08000009,Trafford,-2.36572,53.41671
1800SJH2931,Altrincham College of Arts,Green Lane,E08000009,Trafford,-2.36572,53.41671
1800SJH2861,Altrincham Grammar School for Boys,Marlborough Rd,E08000009,Trafford,-2.36572,53.41671
1800SJH2871,Altrincham Grammar School for Boys,Marlborough Rd,E08000009,Trafford,-2.36572,53.41671
1800SJH2881,Altrincham Grammar School For Girls,Higher Downs,E08000009,Trafford,-2.36572,53.41671
1800SJH2891,Altrincham Grammar School for Girls,Higher Downs,E08000009,Trafford,-2.36572,53.41671
1800SJ01741,Altrincham Railway Station,Station Appr/Ch,E08000009,Trafford,-2.36572,53.41671
1800SJ09371,Arderne Road,Riddings Road,E08000009,Trafford,-2.36572,53.41671
