area_code,area_name,geography,period,indicator,measure,unit,value
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,6
E02001268,Trafford 010,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,5621
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1643
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,106
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,41
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,4
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,6561
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1825
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,137
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,54
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,7
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,6526
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1426
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,125
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,45
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,0
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,5048
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1658
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,144
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,49
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,7
E02001272,Trafford 014,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,6166
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1932
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,151
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,63
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,5
E02001273,Trafford 015,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,7384
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1519
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,145
