area_code,area_name,geography,period,indicator,veteran_status,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,"Identifies all usual residents aged 16 and over who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular or reserves, or Merchant Mariners who have seen duty on legally defined military operations.",Previously served in UK regular armed forces,Count,Persons,186
E05000819,Altrincham,Electoral ward,2021-03-21,"Identifies all usual residents aged 16 and over who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular or reserves, or Merchant Mariners who have seen duty on legally defined military operations.",Previously served in UK reserve armed forces,Count,Persons,57
E05000819,Altrincham,Electoral ward,2021-03-21,"Identifies all usual residents aged 16 and over who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular or reserves, or Merchant Mariners who have seen duty on legally defined military operations.",Previously served in both regular and reserve UK armed forces,Count,Persons,15
E05000819,Altrincham,Electoral ward,2021-03-21,"Identifies all usual residents aged 16 and over who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular or reserves, or Merchant Mariners who have seen duty on legally defined military operations.",Has not previously served in any UK armed forces,Count,Persons,9897
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Identifies all usual residents aged 16 and over who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular or reserves, or Merchant Mariners who have seen duty on legally defined military operations.",Previously served in UK regular armed forces,Count,Persons,179
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Identifies all usual residents aged 16 and over who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular or reserves, or Merchant Mariners who have seen duty on legally defined military operations.",Previously served in UK reserve armed forces,Count,Persons,67
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Identifies all usual residents aged 16 and over who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular or reserves, or Merchant Mariners who have seen duty on legally defined military operations.",Previously served in both regular and reserve UK armed forces,Count,Persons,9
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,"Identifies all usual residents aged 16 and over who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular or reserves, or Merchant Mariners who have seen duty on legally defined military operations.",Has not previously served in any UK armed forces,Count,Persons,7969
E05000821,Bowdon,Electoral ward,2021-03-21,"Identifies all usual residents aged 16 and over who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular or reserves, or Merchant Mariners who have seen duty on legally defined military operations.",Previously served in UK regular armed forces,Count,Persons,171
E05000821,Bowdon,Electoral ward,2021-03-21,"Identifies all usual residents aged 16 and over who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular or reserves, or Merchant Mariners who have seen duty on legally defined military operations.",Previously served in UK reserve armed forces,Count,Persons,58
E05000821,Bowdon,Electoral ward,2021-03-21,"Identifies all usual residents aged 16 and over who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular or reserves, or Merchant Mariners who have seen duty on legally defined military operations.",Previously served in both regular and reserve UK armed forces,Count,Persons,10
