name,address,postcode,telephone,unique_reference_number,lon,lat
Partington Children's Centre,"Central Road, Partington, Manchester",M31 4FL,0161-912-2122,22329,-2.4254325757651936,53.41768051190904
Stretford Children's Centre,"9 Poplar Road, Stretford",M32 9AN,0161-912-5020,22963,-2.3139313617292667,53.44084781165804
