Location,Address1,Address2,Address3,Postcode,Notes,Latitude,Longitude,date_modified
St. Teresa's RC Primary School,St Teresa's Road,Firswood,Stretford,M16 0GQ,Scheme: Funded by (http://www.handonheart.org) Hand on Heart Charity and THT,53.452275,-2.283372,2017-01
St. Vincent's Catholic Junior and Infant School,Orchard Road,Altrincham,Cheshire,WA15 8EY,Scheme: Funded by (http://www.handonheart.org) Hand on Heart Charity,53.390205,-2.343074,2017-01
St. Vincent's RC Primary School,Osborne Road,Altrincham,Cheshire,WA15 8EU,NA,53.389788,-2.344484,2017-01
Stamford Park,Stamford Park Road,Altrincham,NA,WA15 9EZ,NA,53.383193,-2.337319,2017-01
Stretford Custody Suite,Talbot Road,Stretford,NA,M32 0XB,NA,53.457663,-2.289096,2017-01
Stretford High School Community Language College,Great Stone road,Stretford,Manchester,M32 0XA,Scheme: Funded by (http://www.handonheart.org) Hand on Heart Charity,53.457221,-2.293706,2017-01
Stretford Mall,Chester Road,Stretford,Manchester,M32 9BD,Scheme: Funded by Councillor Butt's Mayoral Charity,53.445223,-2.310817,2017-01
Stretford Sports Village,Stretford Leisure Centre,Greatstone Road,NA,M32 0ZS,NA,53.458347,-2.292675,2017-01
The Delamere Medical practice,Delamere centre,Delamere Ave,"Stretford, Manchester",M32 0DF,NA,53.450904,-2.307365,2017-01
The Village Surgery,Grove Lane,Altrincham,NA,WA15 6PH,NA,53.397511,-2.324876,2017-01
Thermo Fisher Scientific,1 Saint Georges Court,Altrincham,NA,WA14 5TP,NA,53.398236,-2.368691,2017-01
Think Money Group,Think Park,Mosley Road,"Trafford Park, Manchester",M17 1FQ,NA,53.459026,-2.315391,2017-01
Timperly Health Care Centre,169 Grove Lane,Timperly,NA,WA15 6PH,NA,53.397618,-2.324709,2017-01
Total Fitness - Altrincham,Denmark Street,Altrincham,NA,WA14 2DE,NA,53.384543,-2.350588,2017-01
Total Fitness - Altrincham,Denmark Street,Altrincham,NA,WA14 2DE,NA,53.384737,-2.351117,2017-01
Total Fitness - Altrincham,Denmark Street,Altrincham,NA,WA14 2DE,NA,53.385014,-2.350319,2017-01
Trafford Centre,Urmston,Manchester,NA,M17 8AA,NA,53.463345,-2.345208,2017-01
Trafford Centre,Urmston,Manchester,NA,M17 8AA,NA,53.464357,-2.345925,2017-01
Trafford Centre,Urmston,Manchester,NA,M17 8AA,NA,53.464882,-2.349311,2017-01
Trafford Centre,Urmston,Manchester,NA,M17 8AA,NA,53.464973,-2.346348,2017-01
Trafford Centre,Urmston,Manchester,NA,M17 8AA,NA,53.465358,-2.348853,2017-01
Trafford Centre,Urmston,Manchester,NA,M17 8AA,NA,53.465561,-2.347691,2017-01
Trafford Centre,Urmston,Manchester,NA,M17 8AA,NA,53.465826,-2.348327,2017-01
Trafford Centre,Urmston,Manchester,NA,M17 8AA,NA,53.46622,-2.348653,2017-01
Trafford Centre,Urmston,Manchester,NA,M17 8AA,NA,53.466528,-2.347394,2017-01
Trafford Centre,Urmston,Manchester,NA,M17 8AA,NA,53.46653,-2.34944,2017-01
Trafford Centre,Urmston,Manchester,NA,M17 8AA,NA,53.466583,-2.350688,2017-01
Trafford Centre,Urmston,Manchester,NA,M17 8AA,NA,53.466761,-2.351832,2017-01
Trafford College,Trafford College,Manchester Road,"Altrincham, Cheshire",WA14 5PQ,NA,53.405485,-2.349545,2017-01
Trafford College (Talbot Centre),Talbot Road,Manchester,NA,M32 0XH,Purchased by Trafford College. Located behind reception at the main entrance.,53.457091,-2.290487,2017-01
Trafford Health Centre,Trafford General Hospital,Moorside Road,"Urmston, Manchester",M41 5SL,NA,53.454076,-2.370679,2017-01
Trafford Shopmobility - Altrincham,19 Regent Road,Altrincham,NA,WA14 1RY,Scheme: Funded by Councillor Butt's Mayoral Charity,53.385934,-2.35267,2017-01
Trafford Town Hall,Talbot Road,Stretford,NA,M32 0TH,NA,53.459016,-2.287483,2017-01
Urmston Grammar School,Newton Road,Urmston,Manchester,M41 5UG,Scheme: Funded by (http://www.handonheart.org) Hand on Heart Charity,53.450564,-2.361042,2017-01
Urmston Infants School,Wycliffe Road,Urmston,NA,M41 5AH,Scheme: Funded by (http://www.handonheart.org) Hand on Heart Charity,53.45007,-2.359528,2017-01
Urmston Junior School,Hereford Grove,Urmston,NA,M41 5AJ,Scheme: Funded by (http://www.handonheart.org) Hand on Heart Charity,53.449697,-2.35943,2017-01
Urmston Leisure Centre,Urmston Leisure Centre,Bowfell Road,Urmston,M41 5RR,NA,53.450426,-2.370919,2017-01
Urmston Masonic Hall,Westbourne Road,Urmston,Manchester,M41 0XP,NA,53.449915,-2.349849,2017-01
Warehouse Project,Victoria Warehouse,Trafford Wharf Rd,Manchester,M17 1AB,NA,53.464388,-2.285305,2017-01
Washway Road Medical Centre,67 Washway Road,Sale,NA,M33 7SS,NA,53.422417,-2.328151,2017-01
Well Green Primary School,Briony Avenue,Hale,NA,WA15 8QA,Scheme: Funded by (http://www.handonheart.org) Hand on Heart Charity,53.37667,-2.316239,2017-01
Wellacre Academy,Urmston Irlam Road,Flixton,Manchester,M41 6AP,Scheme: Funded by (http://www.handonheart.org) Hand on Heart Charity,53.447739,-2.395769,2017-01
Wellfield Junior School,Dumber Lane,Sale,NA,M33 5QX,NA,53.43061,-2.339427,2017-01
Wellgreen Lodge - Trafford Housing Trust,Wellfield Lane,Altrincham,NA,WA15 8NW,Scheme: Funded by Councillor Butt's Mayoral Charity,53.381826,-2.314383,2017-01
Wellington School,Wellington Road,Altrincham,Timperley,WA15 7RH,NA,53.394002,-2.332912,2017-01
Wellington School,Wellington Road,Altrincham,Timperley,WA15 7RH,NA,53.394133,-2.334901,2017-01
West Timperly Medical Centre,21 Dawson Road,Altrincham,NA,WA14 5PF,NA,53.402733,-2.353087,2017-01
Willows Primary School,Victoria Road,Timperly,Altrincham,WA15 6PP,Scheme: Funded by (http://www.handonheart.org) Hand on Heart Charity,53.396218,-2.330461,2017-01
Woodheys Primary School,Meadway,Sale,Altrincham,M33 4PG,NA,53.413876,-2.346671,2017-01
