AREFNO,date,month,day,hour,mode,severity,light,sex,ageband,area_name,text,easting,northing,lng,lat
100270652017,2017-02-04,Feb,Sat,21,Car,Slight,Dark,Male,26-35,Bolton,At 21:00 on Saturday 04 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,374442,405248,-2.387153977897083,53.543245254858554
100270662017,2017-02-11,Feb,Sat,18,Pedal Cycle,Slight,Dark,Male,6-10,Bolton,At 18:50 on Saturday 11 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,370755,408958,-2.443139525099216,53.57639773516186
100270682017,2017-02-01,Feb,Wed,21,Car,Slight,Dark,Female,16-20,Bolton,At 21:36 on Wednesday 01 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,365196,405794,-2.526736177158857,53.547619333094666
100270682017,2017-02-01,Feb,Wed,21,Car,Slight,Dark,Male,56-65,Bolton,At 21:36 on Wednesday 01 February 2017 a slight collision occured involving  2 vehicle(s) and  2 casualtie(s).,365196,405794,-2.526736177158857,53.547619333094666
100270682017,2017-02-01,Feb,Wed,21,Car,Serious,Dark,Female,56-65,Bolton,At 21:36 on Wednesday 01 February 2017 a serious collision occured involving  2 vehicle(s) and  3 casualtie(s).,365196,405794,-2.526736177158857,53.547619333094666
100270922017,2017-02-05,Feb,Sun,18,Pedal Cycle,Slight,Dark,Male,36-45,Bolton,At 18:25 on Sunday 05 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,364721,410469,-2.5344343307476382,53.589606012618255
100271082017,2017-02-06,Feb,Mon,10,Powered 2 Wheeler,Slight,Daylight,Male,16-20,Bolton,At 10:30 on Monday 06 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,372238,408332,-2.4206875726985784,53.570852122089654
100271092017,2017-02-07,Feb,Tue,17,Car,Slight,Dark,Male,26-35,Bolton,At 17:26 on Tuesday 07 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,363358,411933,-2.5551967681347447,53.6026704263359
100271192017,2017-02-18,Feb,Sat,14,Pedestrian,Serious,Daylight,Female,56-65,Bolton,At 14:00 on Saturday 18 February 2017 a serious collision occured involving  1 vehicle(s) and  1 casualtie(s).,364129,404002,-2.5426325642499243,53.531440905087116
100271242017,2017-02-07,Feb,Tue,17,Powered 2 Wheeler,Slight,Dark,Male,16-20,Bolton,At 17:13 on Tuesday 07 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,370353,409985,-2.449308385461624,53.5856057634792
100271282017,2017-02-06,Feb,Mon,16,Pedestrian,Slight,Dark,Female,16-20,Bolton,At 16:50 on Monday 06 February 2017 a slight collision occured involving  1 vehicle(s) and  1 casualtie(s).,371413,409184,-2.4332232899293254,53.57846544552462
100272862017,2017-03-10,Mar,Fri,8,Powered 2 Wheeler,Serious,Daylight,Male,21-25,Bolton,At 08:00 on Friday 10 March 2017 a serious collision occured involving  2 vehicle(s) and  1 casualtie(s).,373130,412291,-2.407560891631327,53.6064824219184
100272942017,2017-03-10,Mar,Fri,9,Pedestrian,Serious,Daylight,Female,26-35,Bolton,At 09:05 on Friday 10 March 2017 a serious collision occured involving  2 vehicle(s) and  1 casualtie(s).,370198,411193,-2.4517655336945565,53.59645443280908
100272982017,2017-02-14,Feb,Tue,12,Pedestrian,Serious,Daylight,Female,56-65,Bolton,At 12:00 on Tuesday 14 February 2017 a serious collision occured involving  1 vehicle(s) and  1 casualtie(s).,370772,410928,-2.4430680465759753,53.59410506063868
100273172017,2017-02-17,Feb,Fri,0,Car,Slight,Dark,Male,66-75,Bolton,At 00:50 on Friday 17 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,363560,409274,-2.5518327549506155,53.578785861320114
100273172017,2017-02-17,Feb,Fri,0,Car,Slight,Dark,Female,56-65,Bolton,At 00:50 on Friday 17 February 2017 a slight collision occured involving  2 vehicle(s) and  2 casualtie(s).,363560,409274,-2.5518327549506155,53.578785861320114
100273242017,2017-02-16,Feb,Thu,12,Pedal Cycle,Slight,Daylight,Male,16-20,Bolton,At 12:30 on Thursday 16 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,373405,406260,-2.402888852242254,53.55228950806861
100273492017,2017-02-10,Feb,Fri,8,Pedal Cycle,Slight,Daylight,Male,66-75,Bolton,At 08:55 on Friday 10 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,371630,408407,-2.4298751415157662,53.571493568924375
100273802017,2017-02-01,Feb,Wed,12,Car,Slight,Daylight,Male,56-65,Bolton,At 12:35 on Wednesday 01 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,371953,413564,-2.42546349838564,53.617862194520356
100273802017,2017-02-01,Feb,Wed,12,Car,Slight,Daylight,Female,66-75,Bolton,At 12:35 on Wednesday 01 February 2017 a slight collision occured involving  2 vehicle(s) and  2 casualtie(s).,371953,413564,-2.42546349838564,53.617862194520356
100274442017,2017-02-07,Feb,Tue,12,Pedestrian,Slight,Dark,Female,26-35,Bolton,At 12:50 on Tuesday 07 February 2017 a slight collision occured involving  1 vehicle(s) and  1 casualtie(s).,373180,405720,-2.4062383346384033,53.54742443742558
100275162017,2017-02-10,Feb,Fri,13,Powered 2 Wheeler,Slight,Daylight,Male,36-45,Bolton,At 13:40 on Friday 10 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,370893,407050,-2.4408769768920946,53.55925626809128
100275202017,2017-02-11,Feb,Sat,17,Pedestrian,Slight,Daylight,Male,66-75,Bolton,At 17:15 on Saturday 11 February 2017 a slight collision occured involving  1 vehicle(s) and  1 casualtie(s).,370320,407041,-2.4495259621164784,53.55914316296431
100275202017,2017-02-11,Feb,Sat,17,Pedestrian,Slight,Daylight,Female,66-75,Bolton,At 17:15 on Saturday 11 February 2017 a slight collision occured involving  1 vehicle(s) and  2 casualtie(s).,370320,407041,-2.4495259621164784,53.55914316296431
100275732017,2017-02-19,Feb,Sun,21,Car,Slight,Dark,Female,46-55,Bolton,At 21:35 on Sunday 19 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,365358,407134,-2.5244403460854303,53.55967392980263
100276482017,2017-02-16,Feb,Thu,20,Pedestrian,Slight,Dark,Male,56-65,Bolton,At 20:40 on Thursday 16 February 2017 a slight collision occured involving  1 vehicle(s) and  1 casualtie(s).,365201,405771,-2.526658152535651,53.54741294263635
100276592017,2017-02-17,Feb,Fri,16,Car,Slight,Daylight,Male,66-75,Bolton,At 16:00 on Friday 17 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,372221,409933,-2.4210873274900475,53.58524107725659
100276592017,2017-02-17,Feb,Fri,16,Car,Slight,Daylight,Female,36-45,Bolton,At 16:00 on Friday 17 February 2017 a slight collision occured involving  2 vehicle(s) and  2 casualtie(s).,372221,409933,-2.4210873274900475,53.58524107725659
100276832017,2017-02-22,Feb,Wed,20,Pedestrian,Slight,Dark,Male,56-65,Bolton,At 20:28 on Wednesday 22 February 2017 a slight collision occured involving  1 vehicle(s) and  1 casualtie(s).,374675,409406,-2.3839764983430576,53.580629152323276
100276902017,2017-02-24,Feb,Fri,10,Powered 2 Wheeler,Slight,Daylight,Male,26-35,Bolton,At 10:35 on Friday 24 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,371548,408803,-2.431149577818241,53.575048374236786
100276922017,2017-02-24,Feb,Fri,9,Car,Slight,Daylight,Male,21-25,Bolton,At 09:20 on Friday 24 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,371298,408777,-2.4349225193701574,53.57480101199044
100276932017,2017-02-24,Feb,Fri,18,Car,Slight,Dark,Male,26-35,Bolton,At 18:00 on Friday 24 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,372772,409306,-2.412709519010924,53.57963459122835
100276992017,2017-02-21,Feb,Tue,19,Car,Slight,Dark,Female,26-35,Bolton,At 19:30 on Tuesday 21 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,364181,408626,-2.542379552861352,53.573004621401736
100276992017,2017-02-21,Feb,Tue,19,Car,Slight,Dark,Female,21-25,Bolton,At 19:30 on Tuesday 21 February 2017 a slight collision occured involving  2 vehicle(s) and  2 casualtie(s).,364181,408626,-2.542379552861352,53.573004621401736
100277402017,2017-02-23,Feb,Thu,7,Powered 2 Wheeler,Serious,Dark,Male,26-35,Bolton,At 07:13 on Thursday 23 February 2017 a serious collision occured involving  1 vehicle(s) and  1 casualtie(s).,372812,409303,-2.412105134916219,53.5796097107796
100277402017,2017-02-23,Feb,Thu,7,Pedestrian,Slight,Dark,Female,36-45,Bolton,At 07:13 on Thursday 23 February 2017 a slight collision occured involving  1 vehicle(s) and  2 casualtie(s).,372812,409303,-2.412105134916219,53.5796097107796
100277452017,2017-02-23,Feb,Thu,18,Car,Slight,Dark,Male,0-5,Bolton,At 18:10 on Thursday 23 February 2017 a slight collision occured involving  2 vehicle(s) and  2 casualtie(s).,372079,407197,-2.4229865972861395,53.56064220144054
100277452017,2017-02-23,Feb,Thu,18,Car,Slight,Dark,Male,26-35,Bolton,At 18:10 on Thursday 23 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,372079,407197,-2.4229865972861395,53.56064220144054
100277492017,2017-02-24,Feb,Fri,19,Pedal Cycle,Slight,Dark,Male,36-45,Bolton,At 19:30 on Friday 24 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,370233,408395,-2.4509687938999156,53.57130800701004
100277572017,2017-02-21,Feb,Tue,16,Other Vehicle,Slight,Dark,Male,46-55,Bolton,At 16:50 on Tuesday 21 February 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,374962,407174,-2.3794620456132427,53.56058155335202
100279492017,2017-03-03,Mar,Fri,14,Car,Slight,Daylight,Female,46-55,Bolton,At 14:35 on Friday 03 March 2017 a slight collision occured involving  3 vehicle(s) and  1 casualtie(s).,363913,408703,-2.5464353830280024,53.573678263905066
100279502017,2017-02-28,Feb,Tue,9,Car,Slight,Daylight,Female,21-25,Bolton,At 09:43 on Tuesday 28 February 2017 a slight collision occured involving  1 vehicle(s) and  1 casualtie(s).,364034,408719,-2.544610055966028,53.573830405843545
100279622017,2017-03-02,Mar,Thu,8,Pedestrian,Slight,Daylight,Female,11-15,Bolton,At 08:45 on Thursday 02 March 2017 a slight collision occured involving  1 vehicle(s) and  1 casualtie(s).,373997,410676,-2.3943229339233647,53.592010666308724
100279882017,2017-03-05,Mar,Sun,0,Car,Slight,Dark,Male,26-35,Bolton,At 00:25 on Sunday 05 March 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,373523,409670,-2.4013981348184856,53.582944858178436
100279882017,2017-03-05,Mar,Sun,0,Car,Slight,Dark,Male,16-20,Bolton,At 00:25 on Sunday 05 March 2017 a slight collision occured involving  2 vehicle(s) and  2 casualtie(s).,373523,409670,-2.4013981348184856,53.582944858178436
100279882017,2017-03-05,Mar,Sun,0,Car,Slight,Dark,Male,16-20,Bolton,At 00:25 on Sunday 05 March 2017 a slight collision occured involving  2 vehicle(s) and  3 casualtie(s).,373523,409670,-2.4013981348184856,53.582944858178436
100279882017,2017-03-05,Mar,Sun,0,Car,Slight,Dark,Male,16-20,Bolton,At 00:25 on Sunday 05 March 2017 a slight collision occured involving  2 vehicle(s) and  4 casualtie(s).,373523,409670,-2.4013981348184856,53.582944858178436
100279892017,2017-03-04,Mar,Sat,11,Goods Vehicle,Slight,Daylight,Male,56-65,Bolton,At 11:33 on Saturday 04 March 2017 a slight collision occured involving  3 vehicle(s) and  1 casualtie(s).,360313,412530,-2.6012855166154107,53.60781369984353
100279892017,2017-03-04,Mar,Sat,11,Goods Vehicle,Slight,Daylight,Female,56-65,Bolton,At 11:33 on Saturday 04 March 2017 a slight collision occured involving  3 vehicle(s) and  2 casualtie(s).,360313,412530,-2.6012855166154107,53.60781369984353
100280032017,2017-03-07,Mar,Tue,13,Pedestrian,Slight,Dark,Male,26-35,Bolton,At 13:45 on Tuesday 07 March 2017 a slight collision occured involving  1 vehicle(s) and  1 casualtie(s).,372695,405681,-2.413554328175983,53.54704880052266
100280192017,2017-03-01,Mar,Wed,8,Car,Slight,Daylight,Female,26-35,Bolton,At 08:00 on Wednesday 01 March 2017 a slight collision occured involving  3 vehicle(s) and  1 casualtie(s).,367515,406541,-2.4918169571180213,53.55448245358261
100280442017,2017-03-01,Mar,Wed,8,Car,Slight,Daylight,Female,36-45,Bolton,At 08:52 on Wednesday 01 March 2017 a slight collision occured involving  3 vehicle(s) and  1 casualtie(s).,369707,407001,-2.4587757056645345,53.55874848799234
100280442017,2017-03-01,Mar,Wed,8,Taxi,Slight,Daylight,Male,36-45,Bolton,At 08:52 on Wednesday 01 March 2017 a slight collision occured involving  3 vehicle(s) and  2 casualtie(s).,369707,407001,-2.4587757056645345,53.55874848799234
100280672017,2017-03-26,Mar,Sun,15,Pedal Cycle,Serious,Daylight,Male,66-75,Bolton,At 15:25 on Sunday 26 March 2017 a serious collision occured involving  2 vehicle(s) and  1 casualtie(s).,371061,408305,-2.4384576051930362,53.570545588751116
100280802017,2017-03-03,Mar,Fri,22,Car,Slight,Dark,Male,21-25,Bolton,At 22:24 on Friday 03 March 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,372041,408718,-2.4236969533633714,53.57431100515863
100280802017,2017-03-03,Mar,Fri,22,Car,Slight,Dark,Male,36-45,Bolton,At 22:24 on Friday 03 March 2017 a slight collision occured involving  2 vehicle(s) and  2 casualtie(s).,372041,408718,-2.4236969533633714,53.57431100515863
100280812017,2017-03-03,Mar,Fri,19,Pedestrian,Slight,Dark,Male,11-15,Bolton,At 19:50 on Friday 03 March 2017 a slight collision occured involving  3 vehicle(s) and  1 casualtie(s).,370039,409744,-2.454028155464811,53.58342174166428
