name,local_authority_code,establishment_number,unique_reference_number,type,gender,lowest_admission_age,highest_admission_age,capacity,resource_provision,religion,trust_type,sponsoring_trust,percent_fsm,ofsted_rating,website,postcode,lon,lat
Woodhouse Primary School,358,2061,106332,Local authority maintained schools,Mixed,3,11,210,Not applicable,Does not apply,Not applicable,NA,7.8,Good,www.woodhouseprimaryschool.co.uk,M41 7WW,-2.3713634422661625,53.45811172657782
Kingsway Primary School,358,2063,106334,Local authority maintained schools,Mixed,3,11,216,Not applicable,Does not apply,Not applicable,NA,33.5,Good,www.kingswayprimary.co.uk,M41 0SP,-2.3413158541179415,53.457841860983
St Matthew's CofE Primary School,358,3005,106337,Local authority maintained schools,Mixed,3,11,235,NA,Church of England,Not applicable,NA,30.2,Good,www.stmatthews.trafford.sch.uk/,M32 9AN,-2.3158697175892327,53.440357310716
Bowdon CofE Primary School,358,3301,106338,Local authority maintained schools,Mixed,4,11,630,Not applicable,Church of England,Not applicable,NA,3.7,Outstanding,www.bowdoncs.org.uk/,WA14 3EX,-2.3563095762933837,53.372550325557995
St Hugh's Catholic Primary School,358,3304,106340,Local authority maintained schools,Mixed,3,11,682,NA,Roman Catholic,Not applicable,NA,7.8,Outstanding,www.sthughstimperley.org,WA15 6TQ,-2.335110234118457,53.40229218764538
Altrincham CofE (Aided) Primary School,358,3305,106341,Local authority maintained schools,Mixed,3,11,350,Not applicable,Church of England,Not applicable,NA,24.1,Good,www.altrinchamceprimaryschool.co.uk,WA14 4DS,-2.3532700456306674,53.39028495239897
St Anne's CofE Primary School,358,3307,106343,Local authority maintained schools,Mixed,3,11,256,Not applicable,Church of England,Not applicable,NA,22.9,Good,www.st-annes.trafford.sch.uk/,M33 3ES,-2.308588762330567,53.42031391532524
St Mary's CofE Primary School,358,3308,106344,Local authority maintained schools,Mixed,3,11,240,NA,Church of England,Not applicable,NA,2.7,Good,www.st-marys.trafford.sch.uk/,M33 6SA,-2.3323347222078996,53.42440286934697
Holy Family Catholic Primary School,358,3309,106345,Local authority maintained schools,Mixed,3,11,210,NA,Roman Catholic,Not applicable,NA,14.4,Good,www.holyfamilysalemoor.co.uk,M33 2JA,-2.2991444163125143,53.421048059821345
Our Lady of Lourdes Catholic School,358,3310,106346,Local authority maintained schools,Mixed,3,11,210,NA,Roman Catholic,Not applicable,NA,43.2,Good,www.ourladyoflourdes-primary.trafford.sch.uk,M31 4PJ,-2.4370265970591847,53.41851051349819
All Saints' Catholic Primary School,358,3311,106347,Local authority maintained schools,Mixed,3,11,209,Resourced provision,Roman Catholic,Not applicable,NA,16.2,Good,www.allsaints.trafford.sch.uk,M33 5NW,-2.351785092500696,53.43080990301625
St Mary's CofE Primary School,358,3313,106349,Local authority maintained schools,Mixed,3,11,210,NA,Church of England,Not applicable,NA,13.8,Good,www.stmarysprimarydavyhulme.co.uk/,M41 5TJ,-2.364749523878009,53.456073742122015
St Michael's CofE (Aided) Primary School,358,3314,106350,Local authority maintained schools,Mixed,3,11,218,Not applicable,Church of England,Not applicable,NA,6.1,Good,www.smpsflixton.co.uk,M41 6JB,-2.3816965420081724,53.44319412299812
English Martyrs' RC Primary School,358,3318,106352,Local authority maintained schools,Mixed,3,11,230,NA,Roman Catholic,Not applicable,NA,4.4,Good,https://englishmartyrs.trafford.sch.uk,M41 5AH,-2.3585896027395714,53.4488656242829
St Hugh of Lincoln RC Primary School,358,3319,106353,Local authority maintained schools,Mixed,3,11,315,NA,Roman Catholic,Not applicable,NA,21.8,Good,www.st-hughlincoln.trafford.sch.uk/,M32 9PD,-2.337347572408269,53.45310720168053
St Teresa's RC Primary School,358,3324,106355,Local authority maintained schools,Mixed,3,11,210,NA,Roman Catholic,Not applicable,NA,25.2,Good,http://www.saintteresas.com/,M16 0GQ,-2.283459652866242,53.451854097919735
St Monica's RC Primary School,358,3325,106356,Local authority maintained schools,Mixed,3,11,311,NA,Roman Catholic,Not applicable,NA,15.9,Good,www.stmonicasschoolflixton.org.uk/,M41 6QB,-2.3918471177170253,53.446837555507464
Our Lady of the Rosary RC Primary School,358,3327,106358,Local authority maintained schools,Mixed,3,11,210,NA,Roman Catholic,Not applicable,NA,5.1,Good,www.ourladyrosary.co.uk/,M41 7DS,-2.3607539008879104,53.457281355012626
St Margaret Ward Catholic Primary School,358,3330,106359,Local authority maintained schools,Mixed,3,11,210,NA,Roman Catholic,Not applicable,NA,25.9,Good,www.smwprimary.net,M33 4GY,-2.3563243321700855,53.413897920981626
St Alphonsus RC Primary School,358,3331,106360,Local authority maintained schools,Mixed,3,11,200,NA,Roman Catholic,Not applicable,NA,40.2,Outstanding,http://www.stalphonsus-trafford.co.uk,M16 7PT,-2.263595086019899,53.463530733075636
Lostock High School,358,4015,106365,Local authority maintained schools,Mixed,11,16,740,Resourced provision,Does not apply,Not applicable,NA,32.3,Good,www.lostock.trafford.sch.uk,M32 9PL,-2.330358259126767,53.454771645396875
Stretford Grammar School,358,4025,106368,Local authority maintained schools,Mixed,11,18,798,NA,None,Not supported by a trust,NA,10.8,Good,www.stretfordgrammar.com,M32 8JB,-2.298264788796133,53.443692401715914
Stretford High School,358,4028,106370,Local authority maintained schools,Mixed,11,16,959,NA,None,Not supported by a trust,NA,39.8,Good,http://stretfordhigh.com/,M32 0XA,-2.293706003890704,53.457204455256345
Sale High School,358,5402,106375,Local authority maintained schools,Mixed,11,16,1050,Resourced provision,None,Not supported by a trust,NA,25.7,Good,http://salehighschool.org.uk/,M33 3JR,-2.3047380809264166,53.41419360746527
Blessed Thomas Holford Catholic College,358,5403,106376,Local authority maintained schools,Mixed,11,18,1499,Not applicable,Roman Catholic,Not applicable,NA,11.9,Requires improvement,https://www.bthcc.org.uk/,WA15 8HT,-2.3409778363870792,53.38747132309851
Bowdon Preparatory School for Girls,358,6000,106377,Independent schools,Girls,3,11,375,NA,None,Not applicable,NA,NA,NA,www.bowdonprep.org.uk,WA14 2LT,-2.3534218292322997,53.38138576153886
Altrincham Preparatory School,358,6002,106379,Independent schools,Boys,2,11,380,NA,None,Not applicable,NA,NA,NA,www.altprep.co.uk,WA14 2RR,-2.3534804276933383,53.375758700160496
St Ambrose Prep School,358,6004,106381,Independent schools,Mixed,3,11,209,NA,Roman Catholic,Not applicable,NA,NA,NA,www.stambroseprep.co.uk,WA15 0HF,-2.3165355067966353,53.3699479317534
Forest Park Preparatory School,358,6005,106382,Independent schools,Mixed,3,11,166,NA,None,Not applicable,NA,NA,NA,www.forestparkprep.co.uk,M33 6NB,-2.3299080764684494,53.42390624222703
Hale Preparatory School,358,6006,106383,Independent schools,Mixed,4,11,224,NA,None,Not applicable,NA,NA,NA,www.haleprepschool.com,WA15 9AS,-2.3422708223000104,53.37997110515945
Forest School,358,6008,106385,Independent schools,Mixed,2,11,202,NA,None,Not applicable,NA,NA,NA,www.forestschool.co.uk,WA15 6LJ,-2.334464604335514,53.39668511154955
Abbotsford Preparatory School,358,6012,106386,Independent schools,Mixed,0,11,196,NA,None,Not applicable,NA,NA,NA,www.abbotsfordprepschool.co.uk,M41 5PR,-2.3721682234935697,53.448536435173445
Brentwood School,358,7001,106391,Special schools,Mixed,11,19,120,Not applicable,Does not apply,Not applicable,NA,38.2,Outstanding,https://www.brentwoodschoolandcollege.co.uk/,M33 4GY,-2.3581256505659214,53.413416134058906
Delamere School,358,7005,106394,Special schools,Mixed,2,11,110,Not applicable,Does not apply,Not applicable,NA,41.1,Outstanding,http://delamere.trafford.sch.uk,M41 6AP,-2.39673152404321,53.447495566109886
The Trafford and Stockport College Group,358,8000,130519,Colleges,Mixed,16,99,NA,NA,Does not apply,Not applicable,NA,NA,Good,www.trafford.ac.uk,WA14 5PQ,-2.3495452184780765,53.405468694008064
Trafford Alternative Education Provision,358,1103,131134,Local authority maintained schools,Mixed,5,16,NA,NA,Does not apply,Not applicable,NA,53.8,Good,https://traffordalternativeeducation.com,WA14 1SR,-2.3434574699848385,53.39852020581557
Egerton High School,358,7009,131885,Special schools,Mixed,11,18,NA,NA,Does not apply,Not applicable,NA,56.5,Good,www.egertonschool.co.uk,M41 7FZ,-2.343076362496009,53.45951766750951
St Ann's RC Primary School,358,2077,133284,Local authority maintained schools,Mixed,3,11,463,NA,Roman Catholic,Not applicable,NA,20.3,Good,www.stannsrcprimary.co.uk/,M32 8SH,-2.306231055694495,53.45025182900872
Afifah School,358,6018,134469,Independent schools,Mixed,2,16,296,NA,Muslim,Not applicable,NA,NA,Good,www.afifahschool.com,M16 9GN,-2.2626219538775376,53.46204977717231
St Vincent's Catholic Primary School,358,3332,136087,Local authority maintained schools,Mixed,4,11,639,NA,Roman Catholic,Not applicable,NA,2.9,Outstanding,www.stvincents.trafford.sch.uk/,WA15 8EY,-2.3421253716562296,53.389948897073225
Fairfield House School,358,6019,136239,Special schools,Mixed,8,25,12,Not applicable,None,Not applicable,NA,NA,Requires improvement,NA,M31 4NL,-2.430149078045665,53.41689058162876
Urmston Grammar Academy,358,5405,136297,Academies,Mixed,11,18,1097,NA,None,Supported by a single-academy trust,Urmston Grammar,7.7,Good,http://www.urmstongrammar.org.uk/,M41 5UG,-2.3610431291365086,53.45054807404403
Park Road Academy Primary School,358,2005,136376,Academies,Mixed,4,11,236,Not applicable,Does not apply,Supported by a single-academy trust,Park Road Academy Primary School,3,Outstanding,www.parkroadacademy.co.uk/,WA14 5AP,-2.3400440671940586,53.40612534855225
Wellington School,358,5400,136377,Academies,Mixed,11,18,1442,Resourced provision,None,Supported by a single-academy trust,Wellington School,9.4,Good,https://www.wellington-school.co.uk/,WA15 7RH,-2.3350155032286466,53.39406788100948
Wellacre Technology Academy,358,4016,136378,Academies,Boys,11,16,1032,NA,None,Supported by a single-academy trust,Wellacre Technology Academy Trust,18.5,Requires improvement,http://www.wellacre.org/,M41 6AP,-2.3949940578203623,53.44685415143109
