name,area_code,area_name,long,lat
Altrincham Interchange,E05015239,Altrincham,-2.347158856214275,53.38765124731658
Chassen Road,E05015246,Flixton,-2.3681727538116073,53.44617584886633
Flixton,E05015246,Flixton,-2.383508366713449,53.44377257226649
Hale,E05015248,Hale,-2.347490240649887,53.378499857101
Humphrey Park,E05015251,Lostock & Barton,-2.3277185594421455,53.452253146819075
Manchester United Football Ground,E05015247,Gorse Hill & Cornbrook,-2.2907280340707916,53.462182385275945
Navigation Road,E05015239,Altrincham,-2.3433295358496014,53.39570713975196
Trafford Park,E05015247,Gorse Hill & Cornbrook,-2.3116999269010066,53.454767886705795
Urmston,E05015259,Urmston,-2.353796483922658,53.44826870432208
