area_code,area_name,geography,period,indicator,highest_qualification,measure,unit,value
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,"Highest level of qualification held by usual residents aged 16 years and over. This is derived from the question asking people to indicate all qualifications held, or their nearest equivalent. This may include foreign qualifications where they were matched to the closest UK equivalent",Level 2 qualifications,Count,Persons,187
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,"Highest level of qualification held by usual residents aged 16 years and over. This is derived from the question asking people to indicate all qualifications held, or their nearest equivalent. This may include foreign qualifications where they were matched to the closest UK equivalent",Apprenticeship,Count,Persons,40
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,"Highest level of qualification held by usual residents aged 16 years and over. This is derived from the question asking people to indicate all qualifications held, or their nearest equivalent. This may include foreign qualifications where they were matched to the closest UK equivalent",Level 3 qualifications,Count,Persons,200
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,"Highest level of qualification held by usual residents aged 16 years and over. This is derived from the question asking people to indicate all qualifications held, or their nearest equivalent. This may include foreign qualifications where they were matched to the closest UK equivalent",Level 4 qualifications or above,Count,Persons,498
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,"Highest level of qualification held by usual residents aged 16 years and over. This is derived from the question asking people to indicate all qualifications held, or their nearest equivalent. This may include foreign qualifications where they were matched to the closest UK equivalent",Other qualifications,Count,Persons,59
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,"Highest level of qualification held by usual residents aged 16 years and over. This is derived from the question asking people to indicate all qualifications held, or their nearest equivalent. This may include foreign qualifications where they were matched to the closest UK equivalent",No qualifications,Count,Persons,218
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,"Highest level of qualification held by usual residents aged 16 years and over. This is derived from the question asking people to indicate all qualifications held, or their nearest equivalent. This may include foreign qualifications where they were matched to the closest UK equivalent",Level 1 and entry level qualifications,Count,Persons,104
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,"Highest level of qualification held by usual residents aged 16 years and over. This is derived from the question asking people to indicate all qualifications held, or their nearest equivalent. This may include foreign qualifications where they were matched to the closest UK equivalent",Level 2 qualifications,Count,Persons,174
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,"Highest level of qualification held by usual residents aged 16 years and over. This is derived from the question asking people to indicate all qualifications held, or their nearest equivalent. This may include foreign qualifications where they were matched to the closest UK equivalent",Apprenticeship,Count,Persons,33
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,"Highest level of qualification held by usual residents aged 16 years and over. This is derived from the question asking people to indicate all qualifications held, or their nearest equivalent. This may include foreign qualifications where they were matched to the closest UK equivalent",Level 3 qualifications,Count,Persons,250
