date,area_code,area_name,geography,gender,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
2017-06-30,E01006109,Trafford 001A,LSOA,Persons,1225,280,832,113,21,19,20,21,17,29,18,17,14,19,10,19,18,12,14,12,16,11,12,8,10,9,13,14,7,13,14,13,15,16,19,15,20,13,18,18,18,23,24,27,28,21,12,15,22,21,18,19,27,22,22,21,21,29,35,27,20,13,12,11,11,9,16,8,6,2,7,2,4,3,11,1,3,6,9,1,9,6,7,5,7,9,5,5,1,1,2,0,1,1,5
2017-06-30,E01006110,Trafford 001B,LSOA,Persons,1767,421,1176,170,25,29,21,29,34,22,22,22,29,29,37,31,33,16,25,17,29,35,29,11,15,18,20,14,23,17,16,19,25,26,31,30,32,29,25,37,42,36,30,33,39,34,27,33,30,30,26,19,14,26,15,21,26,25,29,15,18,21,21,12,19,16,13,18,7,8,10,3,4,8,10,9,13,7,1,6,5,5,7,9,6,6,6,12,1,6,1,8,6,3,10
2017-06-30,E01006111,Trafford 001C,LSOA,Persons,1804,531,1152,121,35,27,26,31,31,31,38,39,30,34,38,40,38,22,43,28,37,30,28,29,21,17,21,27,24,19,21,22,16,18,26,33,29,30,35,32,45,28,26,27,30,25,20,29,25,19,17,20,26,21,25,31,31,19,36,12,17,23,10,12,17,17,16,8,5,5,9,8,7,8,6,5,4,5,10,4,2,6,7,4,1,3,2,1,2,5,3,2,5,2,5
2017-06-30,E01006112,Trafford 001D,LSOA,Persons,1874,518,1207,149,34,30,26,28,26,38,37,39,42,34,39,36,27,26,27,29,38,32,28,29,20,17,30,25,16,30,29,25,35,32,34,31,32,28,39,27,30,29,37,19,21,24,21,16,20,25,32,29,23,23,27,25,27,19,16,20,20,17,13,12,18,24,18,14,11,11,7,4,7,5,4,4,9,2,4,6,5,8,5,10,4,6,11,8,7,4,8,2,3,0,5
2017-06-30,E01006185,Trafford 001E,LSOA,Persons,2343,443,1753,147,35,28,29,47,26,26,38,33,19,32,27,19,19,26,24,15,12,16,16,18,38,39,47,63,78,61,62,72,69,63,50,68,51,56,51,48,50,44,50,37,35,37,36,29,32,25,24,24,22,29,17,26,30,28,21,23,13,22,23,16,20,19,16,11,16,12,15,11,14,7,8,7,3,4,6,5,6,12,5,4,4,4,1,3,3,3,1,2,2,0,5
2017-06-30,E01006188,Trafford 001F,LSOA,Persons,1663,409,1145,109,20,30,31,28,28,24,18,22,23,26,33,23,35,22,26,20,12,25,27,15,17,21,18,16,24,27,27,30,30,36,36,31,37,32,29,34,41,31,25,32,23,27,23,31,19,28,24,32,21,23,29,20,19,22,17,12,21,14,22,10,13,8,7,16,11,6,6,6,4,9,7,2,2,3,6,2,3,6,6,6,4,8,1,5,1,0,2,1,2,0,11
2017-06-30,E01006116,Trafford 002A,LSOA,Persons,1388,319,821,248,12,25,16,25,20,19,27,24,18,32,17,26,18,13,9,18,7,17,21,13,10,15,14,15,15,13,9,11,10,22,16,23,11,16,24,12,20,18,19,17,18,22,25,17,21,17,19,20,30,19,24,26,14,15,14,15,20,23,15,10,14,23,9,10,13,8,12,12,11,16,21,12,13,17,16,15,8,10,4,8,7,6,9,7,6,8,1,3,5,1,12
2017-06-30,E01006117,Trafford 002B,LSOA,Persons,1693,338,1003,352,16,17,16,20,29,17,28,23,20,26,28,18,27,17,16,20,20,22,15,16,12,17,16,17,17,15,16,9,18,9,15,20,16,14,20,17,20,16,23,11,18,23,26,22,33,25,22,19,28,38,37,23,20,34,21,25,23,24,20,36,8,29,13,18,27,17,14,24,27,21,25,21,19,18,17,18,13,12,12,13,8,14,5,9,4,3,9,4,9,3,13
2017-06-30,E01006118,Trafford 002C,LSOA,Persons,1495,266,909,320,15,21,16,13,21,14,17,16,13,18,20,16,17,20,10,19,24,24,16,13,8,17,19,17,20,17,18,12,11,10,17,13,10,17,21,14,21,13,21,21,15,20,21,23,20,18,24,31,25,29,20,23,21,26,25,19,21,22,19,21,17,15,17,7,16,15,10,11,13,20,19,15,17,14,16,22,6,14,13,15,13,13,5,12,9,5,5,7,3,6,22
2017-06-30,E01006119,Trafford 002D,LSOA,Persons,1610,289,1021,300,7,12,13,22,12,21,16,19,20,13,19,23,22,23,27,20,23,27,25,11,6,12,13,15,16,17,20,12,18,12,12,17,13,13,10,22,25,17,20,23,25,19,17,28,22,28,31,20,30,31,25,23,23,22,22,24,24,35,37,38,20,25,27,19,7,16,16,17,28,23,17,17,10,22,12,18,7,16,7,3,16,13,12,9,5,3,1,2,1,1,8
2017-06-30,E01006121,Trafford 002E,LSOA,Persons,1520,285,931,304,14,13,13,16,18,21,18,15,21,26,20,22,15,22,19,12,25,25,21,20,10,11,15,21,21,18,15,11,18,24,16,22,19,13,16,9,17,16,18,17,16,13,19,22,19,23,28,24,27,27,15,23,13,24,29,20,26,15,17,24,22,18,20,12,17,19,15,32,21,26,28,15,20,14,18,10,8,17,9,8,3,10,10,3,2,4,1,2,3,2,4
2017-06-30,E01006141,Trafford 003A,LSOA,Persons,1675,405,1080,190,19,15,25,23,15,25,30,30,24,28,33,37,21,27,28,25,14,31,26,23,15,18,14,11,20,20,28,20,17,21,15,20,26,33,23,28,29,25,28,21,24,31,18,25,25,21,35,28,28,22,20,32,26,20,33,28,17,17,12,19,14,14,15,16,14,14,12,15,15,22,5,4,13,8,10,7,6,7,9,15,4,3,1,3,1,3,4,2,3,2,2
2017-06-30,E01006186,Trafford 003B,LSOA,Persons,2039,500,1351,188,31,36,30,29,27,42,33,29,29,37,39,31,32,20,29,26,19,23,24,24,29,24,23,21,28,39,42,40,38,35,33,49,27,45,41,32,39,36,25,31,31,29,22,26,39,24,18,34,37,34,22,27,21,24,30,21,18,26,22,16,11,12,13,10,17,8,13,6,9,7,15,10,8,9,7,7,9,6,8,2,11,9,10,8,6,2,2,3,2,0,11
2017-06-30,E01006187,Trafford 003C,LSOA,Persons,2567,588,1774,205,47,43,62,35,44,38,37,38,42,36,26,31,31,22,30,26,25,26,32,17,18,24,37,31,39,48,64,42,43,53,49,35,54,53,56,54,61,50,64,35,35,28,42,34,27,47,45,35,37,35,30,32,33,35,23,49,24,39,30,19,22,25,11,18,9,16,15,9,14,16,9,11,13,6,14,7,10,6,9,10,4,5,6,2,2,3,6,1,3,2,6
