date,area_code,area_name,geography,gender,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
2017-06-30,E08000009,Trafford,Local Authority,Females,120276,24479,73332,22465,1417,1470,1380,1562,1472,1568,1672,1626,1638,1648,1598,1578,1532,1460,1426,1432,1344,1425,1280,897,790,912,1026,1059,1118,1201,1301,1306,1275,1299,1352,1543,1657,1718,1597,1759,1887,1730,1844,1764,1636,1716,1712,1627,1763,1885,1826,1827,1769,1812,1787,1832,1854,1865,1760,1654,1576,1450,1437,1423,1291,1223,1245,1134,1144,1087,1157,1211,1138,1208,1270,1011,1031,1020,963,810,776,860,854,801,766,732,680,656,544,539,535,530,413,364,1509
2017-06-30,E08000009,Trafford,Local Authority,Males,115217,25569,71494,18154,1389,1491,1487,1584,1601,1792,1712,1686,1669,1752,1636,1686,1647,1481,1516,1440,1374,1451,1442,1041,1017,955,1164,1306,1230,1307,1346,1172,1287,1437,1316,1388,1476,1533,1553,1514,1696,1610,1632,1588,1613,1526,1666,1647,1665,1779,1744,1678,1755,1676,1602,1700,1715,1717,1735,1632,1444,1475,1427,1412,1326,1277,1191,1164,1093,1097,1095,1084,1099,1209,1163,905,856,896,820,684,627,659,680,632,564,562,465,463,417,379,329,315,260,213,681
2017-06-30,E08000009,Trafford,Local Authority,Persons,235493,50048,144826,40619,2806,2961,2867,3146,3073,3360,3384,3312,3307,3400,3234,3264,3179,2941,2942,2872,2718,2876,2722,1938,1807,1867,2190,2365,2348,2508,2647,2478,2562,2736,2668,2931,3133,3251,3150,3273,3583,3340,3476,3352,3249,3242,3378,3274,3428,3664,3570,3505,3524,3488,3389,3532,3569,3582,3495,3286,3020,2925,2864,2835,2617,2500,2436,2298,2237,2184,2252,2295,2237,2417,2433,1916,1887,1916,1783,1494,1403,1519,1534,1433,1330,1294,1145,1119,961,918,864,845,673,577,2190
