area_code,area_name,geography,period,indicator,national_identity,measure,unit,value
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Southern Asian: Afghan,Frequency,Persons,427
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Southern Asian: Bangladeshi,Frequency,Persons,114
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Southern Asian: Indian,Frequency,Persons,1830
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Southern Asian: Pakistani,Frequency,Persons,5105
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Southern Asian: Sri Lankan,Frequency,Persons,147
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Southern Asian: Other Southern Asian,Frequency,Persons,63
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: South-East Asian: Filipino,Frequency,Persons,100
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: South-East Asian: Malaysian,Frequency,Persons,59
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: South-East Asian: Singaporean,Frequency,Persons,8
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: South-East Asian: Other South-East Asian,Frequency,Persons,126
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Central Asian,Frequency,Persons,4
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Middle Eastern and Asian: Asian not otherwise specified,Frequency,Persons,207
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: American and Caribbean: North American: Canadian,Frequency,Persons,45
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: American and Caribbean: North American: US Citizen,Frequency,Persons,119
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: American and Caribbean: North American: Other North American,Frequency,Persons,1
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: American and Caribbean: Central American,Frequency,Persons,65
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: American and Caribbean: South American,Frequency,Persons,130
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: American and Caribbean: Caribbean: Jamaican,Frequency,Persons,28
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: American and Caribbean: Caribbean: Other Caribbean,Frequency,Persons,36
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Antarctican and Oceanian: Australasian: Australian,Frequency,Persons,40
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Antarctican and Oceanian: Australasian: New Zealander,Frequency,Persons,17
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Antarctican and Oceanian: Australasian: Other Australasian,Frequency,Persons,0
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Antarctican and Oceanian: Other Oceanian,Frequency,Persons,5
E08000001,Bolton,Local authority,2021-03-21,National identity,Other identity only: Other,Frequency,Persons,279
E08000002,Bury,Local authority,2021-03-21,National identity,UK identity: British only identity,Frequency,Persons,115132
E08000002,Bury,Local authority,2021-03-21,National identity,UK identity: English only identity,Frequency,Persons,31004
E08000002,Bury,Local authority,2021-03-21,National identity,UK identity: English and British only identity,Frequency,Persons,29582
E08000002,Bury,Local authority,2021-03-21,National identity,UK identity:  Welsh only identity,Frequency,Persons,421
