area_code,area_name,geography,period,indicator,national_identity,measure,unit,value
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,National identity,Other identity only,Count,Persons,274
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,56
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,National identity,Non-UK identity only,Count,Persons,280
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,57
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,National identity,British only identity,Count,Persons,1481
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,National identity,English only identity,Count,Persons,65
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,National identity,English and British only identity,Count,Persons,123
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,National identity,Welsh only identity,Count,Persons,2
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,National identity,Welsh and British only identity,Count,Persons,1
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,National identity,Scottish only identity,Count,Persons,4
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,National identity,Scottish and British only identity,Count,Persons,2
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish only identity,Count,Persons,1
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,0
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,National identity,Cornish only identity,Count,Persons,1
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,2
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,National identity,Irish only identity,Count,Persons,17
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,6
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,National identity,Other identity only,Count,Persons,295
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,50
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,National identity,Non-UK identity only,Count,Persons,312
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,56
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,National identity,British only identity,Count,Persons,1284
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,National identity,English only identity,Count,Persons,73
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,National identity,English and British only identity,Count,Persons,173
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,National identity,Welsh only identity,Count,Persons,18
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,National identity,Welsh and British only identity,Count,Persons,4
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,National identity,Scottish only identity,Count,Persons,11
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,National identity,Scottish and British only identity,Count,Persons,2
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish only identity,Count,Persons,4
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,2
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,National identity,Cornish only identity,Count,Persons,1
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,6
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,National identity,Irish only identity,Count,Persons,16
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,5
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,National identity,Other identity only,Count,Persons,335
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,59
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,National identity,Non-UK identity only,Count,Persons,351
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,64
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,National identity,British only identity,Count,Persons,653
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,National identity,English only identity,Count,Persons,71
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,National identity,English and British only identity,Count,Persons,112
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,National identity,Welsh only identity,Count,Persons,16
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,National identity,Welsh and British only identity,Count,Persons,2
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,National identity,Scottish only identity,Count,Persons,5
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,National identity,Scottish and British only identity,Count,Persons,3
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish only identity,Count,Persons,3
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,1
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,National identity,Cornish only identity,Count,Persons,0
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,1
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,National identity,Irish only identity,Count,Persons,7
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,1
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,National identity,Other identity only,Count,Persons,322
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,41
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,National identity,Non-UK identity only,Count,Persons,329
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,42
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,National identity,British only identity,Count,Persons,1008
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,National identity,English only identity,Count,Persons,94
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,National identity,English and British only identity,Count,Persons,110
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,National identity,Welsh only identity,Count,Persons,2
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,National identity,Welsh and British only identity,Count,Persons,2
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,National identity,Scottish only identity,Count,Persons,11
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,National identity,Scottish and British only identity,Count,Persons,7
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish only identity,Count,Persons,2
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,4
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,National identity,Cornish only identity,Count,Persons,0
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,2
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,National identity,Irish only identity,Count,Persons,22
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,2
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,National identity,Other identity only,Count,Persons,329
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,52
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,National identity,Non-UK identity only,Count,Persons,351
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,54
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,National identity,British only identity,Count,Persons,811
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,National identity,English only identity,Count,Persons,227
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,National identity,English and British only identity,Count,Persons,218
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,National identity,Welsh only identity,Count,Persons,2
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,National identity,Welsh and British only identity,Count,Persons,0
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,National identity,Scottish only identity,Count,Persons,4
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,National identity,Scottish and British only identity,Count,Persons,0
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish only identity,Count,Persons,2
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,0
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,National identity,Cornish only identity,Count,Persons,0
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,0
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,National identity,Irish only identity,Count,Persons,15
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,2
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,National identity,Other identity only,Count,Persons,27
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,20
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,National identity,Non-UK identity only,Count,Persons,42
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,22
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,National identity,British only identity,Count,Persons,1064
