area_code,area_name,geography,period,indicator,national_identity,measure,unit,value
E05000821,Bowdon,Electoral ward,2021-03-21,National identity,English only identity,Count,Persons,1054
E05000821,Bowdon,Electoral ward,2021-03-21,National identity,English and British only identity,Count,Persons,1240
E05000821,Bowdon,Electoral ward,2021-03-21,National identity,Welsh only identity,Count,Persons,32
E05000821,Bowdon,Electoral ward,2021-03-21,National identity,Welsh and British only identity,Count,Persons,22
E05000821,Bowdon,Electoral ward,2021-03-21,National identity,Scottish only identity,Count,Persons,53
E05000821,Bowdon,Electoral ward,2021-03-21,National identity,Scottish and British only identity,Count,Persons,23
E05000821,Bowdon,Electoral ward,2021-03-21,National identity,Northern Irish only identity,Count,Persons,23
E05000821,Bowdon,Electoral ward,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,9
E05000821,Bowdon,Electoral ward,2021-03-21,National identity,Cornish only identity,Count,Persons,0
E05000821,Bowdon,Electoral ward,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E05000821,Bowdon,Electoral ward,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,18
E05000821,Bowdon,Electoral ward,2021-03-21,National identity,Irish only identity,Count,Persons,122
E05000821,Bowdon,Electoral ward,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,23
E05000821,Bowdon,Electoral ward,2021-03-21,National identity,Other identity only,Count,Persons,457
E05000821,Bowdon,Electoral ward,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,136
E05000821,Bowdon,Electoral ward,2021-03-21,National identity,Non-UK identity only,Count,Persons,579
E05000821,Bowdon,Electoral ward,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,159
E05000822,Broadheath,Electoral ward,2021-03-21,National identity,British only identity,Count,Persons,8776
E05000822,Broadheath,Electoral ward,2021-03-21,National identity,English only identity,Count,Persons,1753
E05000822,Broadheath,Electoral ward,2021-03-21,National identity,English and British only identity,Count,Persons,1735
E05000822,Broadheath,Electoral ward,2021-03-21,National identity,Welsh only identity,Count,Persons,35
E05000822,Broadheath,Electoral ward,2021-03-21,National identity,Welsh and British only identity,Count,Persons,23
E05000822,Broadheath,Electoral ward,2021-03-21,National identity,Scottish only identity,Count,Persons,66
E05000822,Broadheath,Electoral ward,2021-03-21,National identity,Scottish and British only identity,Count,Persons,29
E05000822,Broadheath,Electoral ward,2021-03-21,National identity,Northern Irish only identity,Count,Persons,21
E05000822,Broadheath,Electoral ward,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,11
E05000822,Broadheath,Electoral ward,2021-03-21,National identity,Cornish only identity,Count,Persons,1
E05000822,Broadheath,Electoral ward,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E05000822,Broadheath,Electoral ward,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,15
E05000822,Broadheath,Electoral ward,2021-03-21,National identity,Irish only identity,Count,Persons,142
E05000822,Broadheath,Electoral ward,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,34
E05000822,Broadheath,Electoral ward,2021-03-21,National identity,Other identity only,Count,Persons,1165
E05000822,Broadheath,Electoral ward,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,478
E05000822,Broadheath,Electoral ward,2021-03-21,National identity,Non-UK identity only,Count,Persons,1307
E05000822,Broadheath,Electoral ward,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,512
E05000823,Brooklands,Electoral ward,2021-03-21,National identity,British only identity,Count,Persons,6433
E05000823,Brooklands,Electoral ward,2021-03-21,National identity,English only identity,Count,Persons,1393
E05000823,Brooklands,Electoral ward,2021-03-21,National identity,English and British only identity,Count,Persons,1489
E05000823,Brooklands,Electoral ward,2021-03-21,National identity,Welsh only identity,Count,Persons,28
E05000823,Brooklands,Electoral ward,2021-03-21,National identity,Welsh and British only identity,Count,Persons,17
E05000823,Brooklands,Electoral ward,2021-03-21,National identity,Scottish only identity,Count,Persons,57
E05000823,Brooklands,Electoral ward,2021-03-21,National identity,Scottish and British only identity,Count,Persons,23
E05000823,Brooklands,Electoral ward,2021-03-21,National identity,Northern Irish only identity,Count,Persons,31
E05000823,Brooklands,Electoral ward,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,17
E05000823,Brooklands,Electoral ward,2021-03-21,National identity,Cornish only identity,Count,Persons,0
E05000823,Brooklands,Electoral ward,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E05000823,Brooklands,Electoral ward,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,17
E05000823,Brooklands,Electoral ward,2021-03-21,National identity,Irish only identity,Count,Persons,122
E05000823,Brooklands,Electoral ward,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,34
E05000823,Brooklands,Electoral ward,2021-03-21,National identity,Other identity only,Count,Persons,616
E05000823,Brooklands,Electoral ward,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,247
E05000823,Brooklands,Electoral ward,2021-03-21,National identity,Non-UK identity only,Count,Persons,738
E05000823,Brooklands,Electoral ward,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,281
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,National identity,British only identity,Count,Persons,6031
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,National identity,English only identity,Count,Persons,1630
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,National identity,English and British only identity,Count,Persons,1842
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,National identity,Welsh only identity,Count,Persons,20
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,National identity,Welsh and British only identity,Count,Persons,13
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,National identity,Scottish only identity,Count,Persons,30
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,National identity,Scottish and British only identity,Count,Persons,16
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,National identity,Northern Irish only identity,Count,Persons,20
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,4
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,National identity,Cornish only identity,Count,Persons,0
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,4
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,National identity,Irish only identity,Count,Persons,57
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,12
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,National identity,Other identity only,Count,Persons,350
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,78
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,National identity,Non-UK identity only,Count,Persons,407
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,90
E05000825,Clifford,Electoral ward,2021-03-21,National identity,British only identity,Count,Persons,9100
E05000825,Clifford,Electoral ward,2021-03-21,National identity,English only identity,Count,Persons,619
E05000825,Clifford,Electoral ward,2021-03-21,National identity,English and British only identity,Count,Persons,882
E05000825,Clifford,Electoral ward,2021-03-21,National identity,Welsh only identity,Count,Persons,48
E05000825,Clifford,Electoral ward,2021-03-21,National identity,Welsh and British only identity,Count,Persons,16
E05000825,Clifford,Electoral ward,2021-03-21,National identity,Scottish only identity,Count,Persons,46
E05000825,Clifford,Electoral ward,2021-03-21,National identity,Scottish and British only identity,Count,Persons,19
E05000825,Clifford,Electoral ward,2021-03-21,National identity,Northern Irish only identity,Count,Persons,15
E05000825,Clifford,Electoral ward,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,14
E05000825,Clifford,Electoral ward,2021-03-21,National identity,Cornish only identity,Count,Persons,3
E05000825,Clifford,Electoral ward,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E05000825,Clifford,Electoral ward,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,24
E05000825,Clifford,Electoral ward,2021-03-21,National identity,Irish only identity,Count,Persons,106
E05000825,Clifford,Electoral ward,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,24
E05000825,Clifford,Electoral ward,2021-03-21,National identity,Other identity only,Count,Persons,2059
E05000825,Clifford,Electoral ward,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,398
E05000825,Clifford,Electoral ward,2021-03-21,National identity,Non-UK identity only,Count,Persons,2165
E05000825,Clifford,Electoral ward,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,422
E05000826,Davyhulme East,Electoral ward,2021-03-21,National identity,British only identity,Count,Persons,5679
E05000826,Davyhulme East,Electoral ward,2021-03-21,National identity,English only identity,Count,Persons,1723
E05000826,Davyhulme East,Electoral ward,2021-03-21,National identity,English and British only identity,Count,Persons,1503
E05000826,Davyhulme East,Electoral ward,2021-03-21,National identity,Welsh only identity,Count,Persons,14
E05000826,Davyhulme East,Electoral ward,2021-03-21,National identity,Welsh and British only identity,Count,Persons,10
E05000826,Davyhulme East,Electoral ward,2021-03-21,National identity,Scottish only identity,Count,Persons,36
E05000826,Davyhulme East,Electoral ward,2021-03-21,National identity,Scottish and British only identity,Count,Persons,15
E05000826,Davyhulme East,Electoral ward,2021-03-21,National identity,Northern Irish only identity,Count,Persons,42
E05000826,Davyhulme East,Electoral ward,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,6
E05000826,Davyhulme East,Electoral ward,2021-03-21,National identity,Cornish only identity,Count,Persons,0
E05000826,Davyhulme East,Electoral ward,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E05000826,Davyhulme East,Electoral ward,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,13
E05000826,Davyhulme East,Electoral ward,2021-03-21,National identity,Irish only identity,Count,Persons,121
E05000826,Davyhulme East,Electoral ward,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,29
E05000826,Davyhulme East,Electoral ward,2021-03-21,National identity,Other identity only,Count,Persons,259
E05000826,Davyhulme East,Electoral ward,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,132
E05000826,Davyhulme East,Electoral ward,2021-03-21,National identity,Non-UK identity only,Count,Persons,380
E05000826,Davyhulme East,Electoral ward,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,161
E05000827,Davyhulme West,Electoral ward,2021-03-21,National identity,British only identity,Count,Persons,6154
E05000827,Davyhulme West,Electoral ward,2021-03-21,National identity,English only identity,Count,Persons,1825
E05000827,Davyhulme West,Electoral ward,2021-03-21,National identity,English and British only identity,Count,Persons,1681
E05000827,Davyhulme West,Electoral ward,2021-03-21,National identity,Welsh only identity,Count,Persons,21
E05000827,Davyhulme West,Electoral ward,2021-03-21,National identity,Welsh and British only identity,Count,Persons,5
E05000827,Davyhulme West,Electoral ward,2021-03-21,National identity,Scottish only identity,Count,Persons,32
E05000827,Davyhulme West,Electoral ward,2021-03-21,National identity,Scottish and British only identity,Count,Persons,13
E05000827,Davyhulme West,Electoral ward,2021-03-21,National identity,Northern Irish only identity,Count,Persons,9
E05000827,Davyhulme West,Electoral ward,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,5
E05000827,Davyhulme West,Electoral ward,2021-03-21,National identity,Cornish only identity,Count,Persons,0
E05000827,Davyhulme West,Electoral ward,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E05000827,Davyhulme West,Electoral ward,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,11
E05000827,Davyhulme West,Electoral ward,2021-03-21,National identity,Irish only identity,Count,Persons,74
E05000827,Davyhulme West,Electoral ward,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,18
E05000827,Davyhulme West,Electoral ward,2021-03-21,National identity,Other identity only,Count,Persons,209
E05000827,Davyhulme West,Electoral ward,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,105
