AREFNO,date,month,day,hour,mode,severity,light,sex,ageband,area_name,long,lat
201506A001081,2015-04-29,Apr,Wed,17,Pedal Cycle,Slight,Daylight,Male,45-49,Manchester,-2.228982,53.50547
201506A001122,2015-05-07,May,Thu,14,Pedal Cycle,Slight,Daylight,Male,20-24,Manchester,-2.198795,53.530512
201506A001166,2015-05-16,May,Sat,19,Pedestrian,Slight,Daylight,Male,20-24,Manchester,-2.238054,53.483071
201506A001282,2015-05-08,May,Fri,16,Pedestrian,Slight,Daylight,Female,5-9,Manchester,-2.160234,53.466393
201506A001379,2015-05-18,May,Mon,0,Powered 2 Wheeler,Serious,Dark,Male,20-24,Manchester,-2.232805,53.487756
201506A001392,2015-05-10,May,Sun,12,Pedal Cycle,Slight,Daylight,Male,5-9,Manchester,-2.180962,53.52326
201506A001439,2015-05-04,May,Mon,0,Car,Slight,Dark,Female,45-49,Manchester,-2.205188,53.479986
201506A001442,2015-04-30,Apr,Thu,15,Pedestrian,Slight,Daylight,Male,5-9,Manchester,-2.223365,53.4982
201506A001556,2015-05-18,May,Mon,14,Car,Slight,Daylight,Male,20-24,Manchester,-2.169109,53.463235
201506A001569,2015-05-21,May,Thu,13,Pedestrian,Slight,Daylight,Male,40-44,Manchester,-2.248815,53.519363
201506A001622,2015-05-21,May,Thu,19,Pedestrian,Slight,Daylight,Male,15-19,Manchester,-2.241928,53.475423
201506A001625,2015-05-21,May,Thu,9,Pedestrian,Slight,Daylight,Male,20-24,Manchester,-2.23521,53.486583
201506A001706,2015-05-21,May,Thu,15,Powered 2 Wheeler,Slight,Daylight,Male,50-54,Manchester,-2.191788,53.482346
201506A001712,2015-05-19,May,Tue,16,Pedestrian,Slight,Daylight,Female,15-19,Manchester,-2.247279,53.514601999999996
201506A001714,2015-05-30,May,Sat,19,Taxi,Slight,Daylight,Female,30-34,Manchester,-2.23575,53.502491
201506A001714,2015-05-30,May,Sat,19,Taxi,Slight,Daylight,Male,30-34,Manchester,-2.23575,53.502491
201506A001714,2015-05-30,May,Sat,19,Taxi,Slight,Daylight,Female,20-24,Manchester,-2.23575,53.502491
201506A001714,2015-05-30,May,Sat,19,Taxi,Slight,Daylight,Female,20-24,Manchester,-2.23575,53.502491
201506A001714,2015-05-30,May,Sat,19,Taxi,Slight,Daylight,Female,20-24,Manchester,-2.23575,53.502491
201506A001721,2015-05-27,May,Wed,23,Car,Slight,Dark,Male,30-34,Manchester,-2.22987,53.474548
201506A001721,2015-05-27,May,Wed,23,Car,Slight,Dark,Male,35-39,Manchester,-2.22987,53.474548
201506A001732,2015-05-23,May,Sat,19,Pedestrian,Slight,Daylight,Female,5-9,Manchester,-2.188328,53.449723
201506A001734,2015-05-19,May,Tue,18,Powered 2 Wheeler,Slight,Daylight,Male,20-24,Manchester,-2.250628,53.494371
