lsoa11cd,lsoa11nm,measure,value,all_households
E01004868,Bolton 015A,Social rented,90,692
E01004869,Bolton 015B,Social rented,184,848
E01004870,Bolton 015C,Social rented,49,794
E01004871,Bolton 015D,Social rented,49,545
E01004922,Bolton 015E,Social rented,178,775
E01004822,Bolton 016B,Social rented,275,625
E01004823,Bolton 016C,Social rented,563,838
E01004848,Bolton 016D,Social rented,442,714
E01033217,Bolton 016E,Social rented,345,658
E01033220,Bolton 016F,Social rented,468,745
E01004818,Bolton 017A,Social rented,201,713
E01004819,Bolton 017B,Social rented,46,596
E01004928,Bolton 017C,Social rented,80,684
E01004930,Bolton 017D,Social rented,42,646
E01004931,Bolton 017E,Social rented,271,767
E01004932,Bolton 017F,Social rented,33,717
E01004834,Bolton 018A,Social rented,33,579
E01004838,Bolton 018B,Social rented,152,642
E01004843,Bolton 018C,Social rented,8,621
E01004845,Bolton 018D,Social rented,42,692
E01004923,Bolton 018E,Social rented,10,663
E01004796,Bolton 019A,Social rented,25,643
E01004798,Bolton 019B,Social rented,214,689
E01004799,Bolton 019C,Social rented,7,598
E01004800,Bolton 019D,Social rented,7,529
E01004801,Bolton 019E,Social rented,446,690
E01004917,Bolton 019F,Social rented,163,869
E01004835,Bolton 020A,Social rented,26,577
E01004836,Bolton 020B,Social rented,6,588
E01004837,Bolton 020C,Social rented,7,599
E01004844,Bolton 020D,Social rented,6,612
E01004897,Bolton 020E,Social rented,4,474
E01004827,Bolton 021A,Social rented,285,684
E01004849,Bolton 021B,Social rented,115,548
E01004850,Bolton 021C,Social rented,402,762
E01004851,Bolton 021D,Social rented,361,674
E01004853,Bolton 021E,Social rented,206,517
E01004811,Bolton 022A,Social rented,227,633
E01004812,Bolton 022B,Social rented,103,624
E01004813,Bolton 022C,Social rented,111,530
E01004815,Bolton 022D,Social rented,140,589
E01004817,Bolton 022E,Social rented,230,754
E01004828,Bolton 023A,Social rented,164,652
E01004829,Bolton 023B,Social rented,95,498
E01004832,Bolton 023C,Social rented,28,650
E01004854,Bolton 023D,Social rented,57,460
E01004878,Bolton 023E,Social rented,67,541
E01004911,Bolton 024A,Social rented,237,745
E01004912,Bolton 024B,Social rented,21,642
E01004913,Bolton 024C,Social rented,95,768
E01004914,Bolton 024D,Social rented,19,519
E01004915,Bolton 024E,Social rented,7,536
E01004916,Bolton 024F,Social rented,173,666
E01004918,Bolton 024G,Social rented,6,520
E01004846,Bolton 025A,Social rented,138,512
E01004847,Bolton 025B,Social rented,248,638
E01004852,Bolton 025C,Social rented,97,484
E01004877,Bolton 025D,Social rented,448,689
E01004879,Bolton 025E,Social rented,229,520
E01004830,Bolton 026A,Social rented,186,741
E01004831,Bolton 026B,Social rented,23,654
E01004833,Bolton 026C,Social rented,20,636
E01004839,Bolton 026D,Social rented,593,944
E01004814,Bolton 027A,Social rented,97,582
E01004855,Bolton 027B,Social rented,78,613
E01004856,Bolton 027C,Social rented,210,637
E01004857,Bolton 027D,Social rented,180,636
E01004891,Bolton 028A,Social rented,59,756
E01004893,Bolton 028B,Social rented,4,592
E01004894,Bolton 028C,Social rented,76,797
E01004901,Bolton 028E,Social rented,20,739
E01033218,Bolton 028F,Social rented,33,648
E01033219,Bolton 028G,Social rented,10,593
E01004816,Bolton 029A,Social rented,96,513
E01004872,Bolton 029B,Social rented,145,619
E01004873,Bolton 029C,Social rented,203,626
E01004875,Bolton 029D,Social rented,78,653
E01004880,Bolton 029E,Social rented,12,508
E01004892,Bolton 030A,Social rented,23,693
E01004896,Bolton 030B,Social rented,4,556
E01004899,Bolton 030C,Social rented,84,622
E01004900,Bolton 030D,Social rented,23,624
E01004776,Bolton 031A,Social rented,129,794
E01004895,Bolton 031B,Social rented,169,588
E01004936,Bolton 031C,Social rented,61,950
E01004938,Bolton 031D,Social rented,349,632
E01004939,Bolton 031E,Social rented,148,686
E01004858,Bolton 032A,Social rented,220,755
E01004859,Bolton 032B,Social rented,361,704
E01004860,Bolton 032C,Social rented,121,691
E01004902,Bolton 032D,Social rented,150,802
E01004906,Bolton 032E,Social rented,291,810
E01004861,Bolton 033A,Social rented,312,623
E01004862,Bolton 033B,Social rented,335,610
E01004863,Bolton 033C,Social rented,302,646
E01004874,Bolton 033D,Social rented,206,683
E01004876,Bolton 033E,Social rented,318,792
E01004903,Bolton 034A,Social rented,30,575
E01004904,Bolton 034B,Social rented,86,696
E01004905,Bolton 034C,Social rented,157,679
E01004907,Bolton 034D,Social rented,155,541
E01004908,Bolton 034E,Social rented,59,570
E01004909,Bolton 034F,Social rented,218,632
E01004910,Bolton 034G,Social rented,79,970
E01004933,Bolton 035A,Social rented,7,569
E01004934,Bolton 035B,Social rented,118,560
E01004935,Bolton 035C,Social rented,33,705
E01004937,Bolton 035D,Social rented,15,558
E01004940,Bolton 035E,Social rented,29,616
E01005014,Bury 001A,Social rented,50,746
E01005015,Bury 001B,Social rented,201,688
E01005016,Bury 001C,Social rented,18,718
E01005017,Bury 001D,Social rented,52,707
E01005018,Bury 001E,Social rented,115,713
E01005021,Bury 001F,Social rented,3,410
E01005019,Bury 002A,Social rented,27,620
E01005023,Bury 002B,Social rented,69,554
E01005046,Bury 002C,Social rented,0,643
E01005048,Bury 002D,Social rented,3,666
E01005020,Bury 003A,Social rented,2,507
E01005022,Bury 003B,Social rented,7,644
E01005047,Bury 003C,Social rented,2,568
E01005049,Bury 003D,Social rented,11,738
E01005051,Bury 003E,Social rented,58,658
E01004976,Bury 004A,Social rented,185,638
E01004977,Bury 004B,Social rented,108,767
E01004978,Bury 004C,Social rented,50,654
E01004981,Bury 004D,Social rented,71,632
E01004982,Bury 004E,Social rented,19,635
E01004961,Bury 005A,Social rented,172,647
E01004965,Bury 005B,Social rented,20,486
E01004966,Bury 005C,Social rented,222,719
E01004967,Bury 005D,Social rented,3,472
E01004963,Bury 006A,Social rented,82,673
E01004968,Bury 006B,Social rented,4,627
E01005050,Bury 006C,Social rented,32,819
E01005052,Bury 006D,Social rented,3,582
E01005053,Bury 006E,Social rented,47,640
E01004954,Bury 007A,Social rented,105,658
E01004955,Bury 007B,Social rented,98,550
E01004956,Bury 007C,Social rented,169,696
E01004957,Bury 007D,Social rented,464,813
E01004960,Bury 007E,Social rented,468,632
E01004958,Bury 008A,Social rented,151,661
E01004959,Bury 008B,Social rented,163,728
E01004979,Bury 008C,Social rented,187,630
E01004980,Bury 008D,Social rented,60,596
E01005024,Bury 008E,Social rented,113,511
E01005026,Bury 008F,Social rented,30,545
E01004947,Bury 009A,Social rented,86,653
E01004948,Bury 009B,Social rented,191,836
E01004962,Bury 009C,Social rented,9,708
E01004964,Bury 009D,Social rented,61,832
E01004949,Bury 010A,Social rented,1,596
E01004950,Bury 010B,Social rented,48,612
E01004951,Bury 010C,Social rented,2,653
E01004952,Bury 010D,Social rented,5,619
E01004953,Bury 010E,Social rented,63,628
E01005025,Bury 011A,Social rented,58,685
E01005027,Bury 011B,Social rented,102,732
E01005028,Bury 011C,Social rented,396,803
E01005029,Bury 011D,Social rented,56,660
E01005000,Bury 012A,Social rented,5,574
E01005001,Bury 012B,Social rented,28,493
E01005005,Bury 012C,Social rented,23,632
E01005006,Bury 012D,Social rented,125,647
E01005030,Bury 013A,Social rented,292,733
E01005054,Bury 013B,Social rented,33,641
E01005059,Bury 013C,Social rented,159,733
E01005060,Bury 013D,Social rented,63,734
E01004997,Bury 014A,Social rented,37,594
E01004998,Bury 014B,Social rented,13,641
E01004999,Bury 014C,Social rented,32,596
E01005002,Bury 014D,Social rented,71,635
E01005003,Bury 014E,Social rented,93,654
E01004991,Bury 015A,Social rented,64,588
E01004992,Bury 015B,Social rented,35,637
E01004993,Bury 015C,Social rented,152,551
E01004994,Bury 015D,Social rented,164,614
E01004990,Bury 016A,Social rented,113,634
E01004996,Bury 016B,Social rented,258,731
E01005004,Bury 016C,Social rented,556,849
E01005008,Bury 016D,Social rented,347,875
E01005009,Bury 016E,Social rented,204,742
E01004945,Bury 017A,Social rented,36,658
E01005055,Bury 017B,Social rented,4,584
E01005056,Bury 017C,Social rented,4,604
E01005057,Bury 017D,Social rented,54,630
E01005058,Bury 017E,Social rented,1,505
E01004995,Bury 018A,Social rented,7,640
E01005010,Bury 018B,Social rented,52,660
E01005012,Bury 018C,Social rented,205,755
E01005013,Bury 018D,Social rented,262,956
E01004984,Bury 019A,Social rented,9,573
E01004985,Bury 019B,Social rented,16,577
E01004989,Bury 019C,Social rented,5,567
E01005007,Bury 019D,Social rented,14,710
E01005011,Bury 019E,Social rented,8,589
E01004983,Bury 020A,Social rented,16,545
E01004986,Bury 020B,Social rented,136,806
E01004987,Bury 020C,Social rented,332,649
E01004988,Bury 020D,Social rented,66,637
E01004941,Bury 021A,Social rented,218,726
E01004942,Bury 021B,Social rented,354,639
E01004943,Bury 021C,Social rented,95,650
E01004944,Bury 021D,Social rented,23,630
E01004946,Bury 021E,Social rented,492,798
E01004969,Bury 022A,Social rented,35,705
E01004970,Bury 022B,Social rented,21,605
E01004971,Bury 022C,Social rented,2,598
E01005034,Bury 022D,Social rented,22,640
E01004972,Bury 023A,Social rented,201,573
E01004973,Bury 023B,Social rented,22,658
E01004975,Bury 023C,Social rented,127,757
E01005039,Bury 023D,Social rented,205,699
E01005045,Bury 023E,Social rented,103,682
E01004974,Bury 024A,Social rented,13,603
E01005033,Bury 024B,Social rented,15,614
E01005036,Bury 024C,Social rented,365,1030
E01005037,Bury 024D,Social rented,5,628
E01005031,Bury 025A,Social rented,154,627
E01005032,Bury 025B,Social rented,195,523
