lsoa11cd,lsoa11nm,measure,value,all_households
E01005432,Oldham 014C,Social rented,401,648
E01005433,Oldham 014D,Social rented,400,666
E01005329,Oldham 015A,Social rented,4,616
E01005330,Oldham 015B,Social rented,12,626
E01005333,Oldham 015C,Social rented,3,499
E01005336,Oldham 015D,Social rented,2,630
E01005349,Oldham 016A,Social rented,105,538
E01005351,Oldham 016B,Social rented,86,467
E01005352,Oldham 016C,Social rented,165,461
E01005353,Oldham 016D,Social rented,426,657
E01005354,Oldham 016E,Social rented,114,541
E01005327,Oldham 017A,Social rented,101,757
E01005328,Oldham 017B,Social rented,379,696
E01005331,Oldham 017C,Social rented,61,635
E01005334,Oldham 017D,Social rented,6,541
E01005338,Oldham 017E,Social rented,311,752
E01005387,Oldham 018A,Social rented,31,631
E01005388,Oldham 018B,Social rented,80,596
E01005389,Oldham 018C,Social rented,270,727
E01005418,Oldham 018D,Social rented,10,585
E01005428,Oldham 019A,Social rented,32,532
E01005431,Oldham 019B,Social rented,57,717
E01005450,Oldham 019C,Social rented,87,627
E01005451,Oldham 019D,Social rented,7,482
E01005408,Oldham 020C,Social rented,73,794
E01005409,Oldham 020D,Social rented,3,664
E01032922,Oldham 020E,Social rented,139,1071
E01005406,Oldham 021A,Social rented,14,594
E01005413,Oldham 021B,Social rented,10,654
E01005419,Oldham 021C,Social rented,6,638
E01005420,Oldham 021D,Social rented,161,716
E01005321,Oldham 022A,Social rented,142,596
E01005326,Oldham 022B,Social rented,92,554
E01005427,Oldham 022C,Social rented,130,497
E01005429,Oldham 022D,Social rented,108,479
E01005430,Oldham 022E,Social rented,85,714
E01005320,Oldham 024A,Social rented,118,631
E01005434,Oldham 024B,Social rented,255,657
E01005437,Oldham 024C,Social rented,14,529
E01005459,Oldham 024D,Social rented,209,407
E01005383,Oldham 026A,Social rented,216,718
E01005386,Oldham 026D,Social rented,339,626
E01032556,Oldham 026E,Social rented,32,662
E01032557,Oldham 026F,Social rented,495,745
E01005342,Oldham 027A,Social rented,288,662
E01005343,Oldham 027B,Social rented,167,547
E01005344,Oldham 027C,Social rented,151,656
E01005381,Oldham 027D,Social rented,327,642
E01005332,Oldham 028A,Social rented,184,979
E01005341,Oldham 028B,Social rented,85,602
E01005345,Oldham 028C,Social rented,16,620
E01005346,Oldham 028D,Social rented,50,610
E01005347,Oldham 028E,Social rented,33,540
E01005322,Oldham 029A,Social rented,259,523
E01005323,Oldham 029B,Social rented,178,621
E01005324,Oldham 029C,Social rented,377,612
E01005325,Oldham 029D,Social rented,298,419
E01005438,Oldham 029E,Social rented,91,966
E01005377,Oldham 030A,Social rented,337,498
E01005379,Oldham 030B,Social rented,364,507
E01005380,Oldham 030C,Social rented,308,533
E01005382,Oldham 030D,Social rented,212,598
E01005439,Oldham 030E,Social rented,42,654
E01005362,Oldham 031A,Social rented,59,612
E01005364,Oldham 031B,Social rented,13,709
E01005368,Oldham 031C,Social rented,136,729
E01005376,Oldham 031D,Social rented,200,558
E01005378,Oldham 031E,Social rented,43,663
E01005363,Oldham 032A,Social rented,106,699
E01005369,Oldham 032B,Social rented,158,655
E01005370,Oldham 032C,Social rented,353,714
E01005371,Oldham 032D,Social rented,74,554
E01005365,Oldham 033A,Social rented,13,624
E01005366,Oldham 033B,Social rented,287,699
E01005367,Oldham 033C,Social rented,7,572
E01005440,Oldham 033D,Social rented,176,625
E01005372,Oldham 034A,Social rented,106,518
E01005373,Oldham 034B,Social rented,17,507
E01005374,Oldham 034C,Social rented,131,621
E01005375,Oldham 034D,Social rented,11,652
E01005435,Oldham 035A,Social rented,22,490
E01005436,Oldham 035B,Social rented,9,520
E01005460,Oldham 035C,Social rented,157,753
E01005461,Oldham 035D,Social rented,78,536
E01005462,Oldham 035E,Social rented,68,552
E01005463,Oldham 035F,Social rented,151,406
E01032921,Oldham 035G,Social rented,276,771
E01005518,Rochdale 001A,Social rented,92,591
E01005520,Rochdale 001B,Social rented,81,811
E01005522,Rochdale 001C,Social rented,68,658
E01005523,Rochdale 001D,Social rented,61,800
E01005519,Rochdale 002A,Social rented,46,615
E01005594,Rochdale 002B,Social rented,88,582
E01005597,Rochdale 002C,Social rented,37,672
E01005598,Rochdale 002D,Social rented,7,675
E01005516,Rochdale 003A,Social rented,4,552
E01005517,Rochdale 003B,Social rented,23,651
E01005521,Rochdale 003C,Social rented,48,627
E01005596,Rochdale 003D,Social rented,18,753
E01005578,Rochdale 004A,Social rented,166,489
E01005579,Rochdale 004B,Social rented,347,538
E01005586,Rochdale 004C,Social rented,390,664
E01005593,Rochdale 004D,Social rented,213,569
E01005595,Rochdale 004E,Social rented,442,792
E01005489,Rochdale 005A,Social rented,26,503
E01005490,Rochdale 005B,Social rented,151,410
E01005491,Rochdale 005C,Social rented,142,697
E01005493,Rochdale 005D,Social rented,11,669
E01005494,Rochdale 005E,Social rented,89,704
E01005495,Rochdale 005F,Social rented,97,684
E01005488,Rochdale 006A,Social rented,2,581
E01005492,Rochdale 006B,Social rented,9,614
E01005499,Rochdale 006C,Social rented,34,649
E01005571,Rochdale 006D,Social rented,7,653
E01005570,Rochdale 007A,Social rented,11,572
E01005572,Rochdale 007B,Social rented,5,638
E01005573,Rochdale 007C,Social rented,33,561
E01005574,Rochdale 007D,Social rented,19,680
E01005587,Rochdale 007E,Social rented,6,508
E01005588,Rochdale 007F,Social rented,233,688
E01005580,Rochdale 008A,Social rented,34,585
E01005581,Rochdale 008B,Social rented,197,599
E01005583,Rochdale 008D,Social rented,146,464
E01005585,Rochdale 008F,Social rented,60,463
E01033258,Rochdale 008G,Social rented,144,795
E01005496,Rochdale 009A,Social rented,301,537
E01005589,Rochdale 009B,Social rented,41,653
E01005590,Rochdale 009C,Social rented,91,527
E01005591,Rochdale 009D,Social rented,60,626
E01005592,Rochdale 009E,Social rented,248,615
E01005472,Rochdale 010A,Social rented,234,663
E01005473,Rochdale 010B,Social rented,79,492
E01005482,Rochdale 010C,Social rented,872,1173
E01005483,Rochdale 010D,Social rented,491,812
E01005484,Rochdale 010E,Social rented,541,907
E01005486,Rochdale 010F,Social rented,51,566
E01005487,Rochdale 010G,Social rented,74,568
E01005474,Rochdale 011A,Social rented,39,480
E01005575,Rochdale 011B,Social rented,6,722
E01005576,Rochdale 011C,Social rented,4,557
E01005577,Rochdale 011D,Social rented,17,637
E01005469,Rochdale 012A,Social rented,26,716
E01005563,Rochdale 012B,Social rented,94,631
E01005565,Rochdale 012C,Social rented,234,558
E01005566,Rochdale 012D,Social rented,206,810
E01005568,Rochdale 012E,Social rented,379,632
E01005569,Rochdale 012F,Social rented,237,641
E01005556,Rochdale 013A,Social rented,17,669
E01005559,Rochdale 013B,Social rented,341,691
E01005560,Rochdale 013C,Social rented,16,695
E01005567,Rochdale 013D,Social rented,134,647
E01005555,Rochdale 014A,Social rented,30,525
E01005557,Rochdale 014B,Social rented,6,499
E01005558,Rochdale 014C,Social rented,155,711
E01005561,Rochdale 014D,Social rented,47,598
E01005562,Rochdale 014E,Social rented,149,691
E01005470,Rochdale 015A,Social rented,75,474
E01005471,Rochdale 015B,Social rented,48,562
E01005475,Rochdale 015C,Social rented,191,597
E01005485,Rochdale 015D,Social rented,127,622
E01005564,Rochdale 015E,Social rented,146,641
E01005464,Rochdale 016A,Social rented,336,643
E01005465,Rochdale 016B,Social rented,140,761
E01005466,Rochdale 016C,Social rented,764,1072
E01005467,Rochdale 016D,Social rented,464,800
E01005468,Rochdale 016E,Social rented,15,602
E01005476,Rochdale 017A,Social rented,42,708
E01005477,Rochdale 017B,Social rented,179,815
E01005478,Rochdale 017C,Social rented,109,682
E01005479,Rochdale 017D,Social rented,104,711
E01005480,Rochdale 017E,Social rented,184,739
E01005481,Rochdale 017F,Social rented,85,602
E01005497,Rochdale 018A,Social rented,305,682
E01005501,Rochdale 018B,Social rented,438,892
E01005502,Rochdale 018C,Social rented,144,715
E01005504,Rochdale 018D,Social rented,141,638
E01005505,Rochdale 018E,Social rented,166,780
E01005509,Rochdale 018F,Social rented,499,964
E01005510,Rochdale 019A,Social rented,13,440
E01005511,Rochdale 019B,Social rented,50,503
E01005512,Rochdale 019C,Social rented,160,685
E01005513,Rochdale 019D,Social rented,315,599
E01005514,Rochdale 019E,Social rented,234,658
E01005515,Rochdale 019F,Social rented,429,706
E01005498,Rochdale 020A,Social rented,57,587
E01005500,Rochdale 020B,Social rented,69,647
E01005503,Rochdale 020C,Social rented,2,522
E01005506,Rochdale 020D,Social rented,192,671
E01005507,Rochdale 020E,Social rented,35,711
E01005508,Rochdale 020F,Social rented,17,729
E01005524,Rochdale 021A,Social rented,74,638
E01005525,Rochdale 021B,Social rented,413,818
E01005526,Rochdale 021C,Social rented,196,678
E01005528,Rochdale 021D,Social rented,212,674
E01005536,Rochdale 021E,Social rented,106,653
E01005543,Rochdale 021F,Social rented,51,523
E01005527,Rochdale 022A,Social rented,369,636
E01005529,Rochdale 022B,Social rented,461,795
E01005551,Rochdale 022C,Social rented,417,797
E01005552,Rochdale 022D,Social rented,528,882
E01005553,Rochdale 022E,Social rented,302,759
E01005554,Rochdale 022F,Social rented,79,583
E01005534,Rochdale 023A,Social rented,113,642
E01005535,Rochdale 023B,Social rented,121,690
E01005537,Rochdale 023C,Social rented,9,566
E01005538,Rochdale 023D,Social rented,180,581
E01005540,Rochdale 023E,Social rented,37,581
E01005541,Rochdale 023F,Social rented,63,704
E01005542,Rochdale 023G,Social rented,234,623
E01005533,Rochdale 024A,Social rented,128,836
E01005539,Rochdale 024B,Social rented,168,694
E01005546,Rochdale 024C,Social rented,177,618
E01005547,Rochdale 024D,Social rented,92,630
E01005548,Rochdale 024E,Social rented,247,655
E01005530,Rochdale 025A,Social rented,7,645
E01005531,Rochdale 025B,Social rented,49,509
E01005532,Rochdale 025C,Social rented,296,669
E01005544,Rochdale 025D,Social rented,5,609
E01005545,Rochdale 025E,Social rented,10,481
E01005549,Rochdale 025F,Social rented,8,588
E01005550,Rochdale 025G,Social rented,13,630
E01005659,Salford 001A,Social rented,204,631
E01005660,Salford 001B,Social rented,397,675
E01005663,Salford 001C,Social rented,202,618
E01005664,Salford 001D,Social rented,407,630
E01005665,Salford 001E,Social rented,469,629
E01005703,Salford 002A,Social rented,365,704
E01005704,Salford 002B,Social rented,97,591
E01005706,Salford 002C,Social rented,266,655
E01005708,Salford 002D,Social rented,215,750
E01005702,Salford 003A,Social rented,205,927
E01005705,Salford 003B,Social rented,197,869
E01005707,Salford 003C,Social rented,346,783
E01005661,Salford 004A,Social rented,244,725
E01005662,Salford 004B,Social rented,377,617
E01005709,Salford 004C,Social rented,359,605
E01005710,Salford 004D,Social rented,106,608
E01005670,Salford 005A,Social rented,318,822
E01005672,Salford 005B,Social rented,56,608
E01005676,Salford 005C,Social rented,11,554
E01005677,Salford 005D,Social rented,90,696
E01005686,Salford 006A,Social rented,91,621
E01005688,Salford 006B,Social rented,131,657
E01005691,Salford 006C,Social rented,71,697
E01005692,Salford 006D,Social rented,327,734
E01005711,Salford 007A,Social rented,41,659
E01005712,Salford 007B,Social rented,123,728
E01005713,Salford 007C,Social rented,7,632
E01005714,Salford 007D,Social rented,215,617
E01005715,Salford 007E,Social rented,35,724
E01005718,Salford 007F,Social rented,144,822
E01005673,Salford 008A,Social rented,127,642
E01005675,Salford 008B,Social rented,49,712
E01005678,Salford 008C,Social rented,307,653
E01005679,Salford 008D,Social rented,387,670
E01005687,Salford 009A,Social rented,110,800
E01005689,Salford 009B,Social rented,342,575
E01005690,Salford 009C,Social rented,94,678
E01005693,Salford 009D,Social rented,11,611
E01005646,Salford 010A,Social rented,98,527
E01005649,Salford 010B,Social rented,58,682
E01005650,Salford 010C,Social rented,237,597
E01005651,Salford 010D,Social rented,167,537
E01005647,Salford 011A,Social rented,83,675
E01005648,Salford 011B,Social rented,58,861
E01005652,Salford 011C,Social rented,173,548
E01005653,Salford 011D,Social rented,279,626
E01005671,Salford 012A,Social rented,271,745
E01005674,Salford 012B,Social rented,138,574
E01005694,Salford 012C,Social rented,42,686
E01005696,Salford 012D,Social rented,94,626
E01005698,Salford 012E,Social rented,437,801
E01005700,Salford 012F,Social rented,91,661
E01005716,Salford 013A,Social rented,5,668
E01005717,Salford 013B,Social rented,3,543
E01005734,Salford 013C,Social rented,86,618
E01005735,Salford 013D,Social rented,4,579
E01005736,Salford 013E,Social rented,5,626
E01005737,Salford 013F,Social rented,6,604
E01005739,Salford 013G,Social rented,3,614
E01005695,Salford 014A,Social rented,4,620
E01005697,Salford 014B,Social rented,26,676
E01005738,Salford 014C,Social rented,9,768
E01005740,Salford 014D,Social rented,30,708
E01005741,Salford 014E,Social rented,45,685
E01005742,Salford 014F,Social rented,29,673
E01005625,Salford 015A,Social rented,36,601
E01005627,Salford 015B,Social rented,15,477
E01005699,Salford 015C,Social rented,13,639
E01005701,Salford 015D,Social rented,25,619
E01005609,Salford 016A,Social rented,535,852
E01005611,Salford 016B,Social rented,444,898
E01005612,Salford 016C,Social rented,820,1031
E01005613,Salford 016D,Social rented,564,984
E01005614,Salford 016E,Social rented,169,529
E01005615,Salford 016F,Social rented,186,695
E01005624,Salford 017A,Social rented,358,677
E01005680,Salford 017B,Social rented,333,723
E01005683,Salford 017C,Social rented,571,777
E01032919,Salford 017F,Social rented,273,976
E01005622,Salford 018A,Social rented,100,665
E01005623,Salford 018B,Social rented,12,498
E01005626,Salford 018C,Social rented,5,507
E01005628,Salford 018D,Social rented,59,692
E01005725,Salford 019A,Social rented,308,559
E01005726,Salford 019B,Social rented,138,615
E01005727,Salford 019C,Social rented,116,653
E01005728,Salford 019D,Social rented,21,584
E01005733,Salford 019E,Social rented,220,503
E01005631,Salford 020A,Social rented,675,1021
E01005632,Salford 020B,Social rented,142,916
E01005633,Salford 020C,Social rented,213,597
E01005634,Salford 020D,Social rented,11,601
E01005635,Salford 020E,Social rented,88,704
E01005636,Salford 020F,Social rented,80,680
E01005637,Salford 020G,Social rented,118,628
E01005629,Salford 021A,Social rented,135,618
E01005630,Salford 021B,Social rented,94,648
E01005719,Salford 021C,Social rented,330,915
E01005720,Salford 021D,Social rented,239,1121
E01005722,Salford 021E,Social rented,249,709
E01005723,Salford 021F,Social rented,317,639
E01005724,Salford 021G,Social rented,91,643
E01005610,Salford 022D,Social rented,355,472
E01032684,Salford 022E,Social rented,146,631
E01032687,Salford 022F,Social rented,89,716
E01032906,Salford 022G,Social rented,311,712
E01032907,Salford 022H,Social rented,333,659
E01032909,Salford 022I,Social rented,15,837
E01032911,Salford 022J,Social rented,85,731
E01033330,Salford 022K,Social rented,688,875
E01005654,Salford 023A,Social rented,110,754
E01005656,Salford 023B,Social rented,126,645
E01005657,Salford 023C,Social rented,188,709
E01005721,Salford 023D,Social rented,189,766
E01005655,Salford 024A,Social rented,438,716
E01005658,Salford 024B,Social rented,525,662
E01005681,Salford 024C,Social rented,447,568
E01005682,Salford 024D,Social rented,957,1035
E01005729,Salford 025A,Social rented,512,743
E01005730,Salford 025B,Social rented,79,711
E01005731,Salford 025C,Social rented,317,594
E01005732,Salford 025D,Social rented,272,558
E01005599,Salford 026A,Social rented,409,809
E01005600,Salford 026B,Social rented,115,612
E01005601,Salford 026C,Social rented,283,662
E01005602,Salford 026D,Social rented,489,775
E01005603,Salford 027A,Social rented,113,653
E01005604,Salford 027B,Social rented,150,702
E01005605,Salford 027C,Social rented,96,668
E01005638,Salford 027D,Social rented,222,759
E01005667,Salford 028B,Social rented,579,879
E01032685,Salford 028E,Social rented,21,945
E01032686,Salford 028F,Social rented,36,880
E01032912,Salford 028G,Social rented,403,779
E01032914,Salford 028H,Social rented,98,943
E01032915,Salford 028I,Social rented,374,693
E01032917,Salford 028J,Social rented,145,591
E01005639,Salford 029A,Social rented,414,605
E01005640,Salford 029B,Social rented,218,546
E01005641,Salford 029C,Social rented,206,640
E01005642,Salford 029D,Social rented,14,512
E01005643,Salford 029E,Social rented,75,671
E01005644,Salford 029F,Social rented,15,631
E01005645,Salford 029G,Social rented,35,603
E01005616,Salford 030A,Social rented,238,620
E01005617,Salford 030B,Social rented,69,611
E01005618,Salford 030C,Social rented,240,666
E01005619,Salford 030D,Social rented,123,528
E01005620,Salford 030E,Social rented,137,1060
E01005621,Salford 030F,Social rented,193,768
E01005886,Stockport 001A,Social rented,94,656
E01005888,Stockport 001B,Social rented,83,592
E01005889,Stockport 001C,Social rented,151,686
E01005891,Stockport 001D,Social rented,8,569
E01005894,Stockport 001E,Social rented,22,573
E01005887,Stockport 002A,Social rented,175,595
E01005890,Stockport 002B,Social rented,104,579
E01005893,Stockport 002C,Social rented,142,837
E01005896,Stockport 002D,Social rented,54,776
E01005919,Stockport 002E,Social rented,310,716
E01005862,Stockport 003A,Social rented,41,604
E01005892,Stockport 003B,Social rented,64,560
E01005895,Stockport 003C,Social rented,105,491
E01005920,Stockport 003D,Social rented,19,636
E01005921,Stockport 003E,Social rented,112,690
E01005922,Stockport 003F,Social rented,25,635
E01005753,Stockport 004A,Social rented,349,672
E01005754,Stockport 004B,Social rented,682,945
E01005755,Stockport 004C,Social rented,322,672
E01005756,Stockport 004D,Social rented,565,764
E01005745,Stockport 005A,Social rented,60,595
E01005746,Stockport 005B,Social rented,421,777
E01005747,Stockport 005C,Social rented,7,587
E01005748,Stockport 005D,Social rented,12,659
E01005863,Stockport 006A,Social rented,46,776
E01005864,Stockport 006B,Social rented,24,624
E01005866,Stockport 006C,Social rented,77,821
E01005869,Stockport 006D,Social rented,54,610
E01005914,Stockport 007A,Social rented,106,675
E01005915,Stockport 007B,Social rented,178,722
E01005916,Stockport 007C,Social rented,68,708
E01005917,Stockport 007D,Social rented,204,847
E01005859,Stockport 008A,Social rented,34,625
E01005865,Stockport 008B,Social rented,14,632
E01005867,Stockport 008C,Social rented,34,660
E01005868,Stockport 008D,Social rented,2,576
E01005743,Stockport 009A,Social rented,11,583
E01005744,Stockport 009B,Social rented,74,605
E01005749,Stockport 009C,Social rented,13,731
E01005750,Stockport 009D,Social rented,14,703
E01005751,Stockport 009E,Social rented,8,586
E01005897,Stockport 010A,Social rented,140,599
E01005898,Stockport 010B,Social rented,112,723
E01005900,Stockport 010C,Social rented,184,770
E01005903,Stockport 010D,Social rented,4,623
E01005904,Stockport 010E,Social rented,18,624
E01005853,Stockport 011A,Social rented,207,655
E01005856,Stockport 011B,Social rented,28,661
E01005860,Stockport 011C,Social rented,18,580
E01005861,Stockport 011D,Social rented,110,714
E01005752,Stockport 012A,Social rented,219,626
E01005899,Stockport 012B,Social rented,51,744
E01005901,Stockport 012C,Social rented,40,621
E01005902,Stockport 012D,Social rented,325,736
E01005905,Stockport 012E,Social rented,269,614
E01005852,Stockport 013A,Social rented,41,695
E01005854,Stockport 013B,Social rented,6,739
E01005855,Stockport 013C,Social rented,0,594
E01005857,Stockport 013D,Social rented,10,595
E01005858,Stockport 013E,Social rented,1,790
E01005757,Stockport 014A,Social rented,92,709
E01005758,Stockport 014B,Social rented,795,1148
E01005766,Stockport 014C,Social rented,165,695
E01005918,Stockport 014D,Social rented,724,894
E01005870,Stockport 015A,Social rented,40,600
E01005871,Stockport 015B,Social rented,24,597
E01005873,Stockport 015C,Social rented,27,578
E01005875,Stockport 015D,Social rented,13,656
E01005764,Stockport 016A,Social rented,147,777
E01005816,Stockport 016B,Social rented,32,699
E01005817,Stockport 016C,Social rented,55,636
E01005822,Stockport 016D,Social rented,407,886
E01005880,Stockport 017A,Social rented,33,643
E01005881,Stockport 017B,Social rented,3,506
E01005883,Stockport 017C,Social rented,6,663
E01005908,Stockport 017D,Social rented,0,575
E01005765,Stockport 018A,Social rented,12,578
E01005818,Stockport 018B,Social rented,116,557
E01005819,Stockport 018C,Social rented,14,651
E01005820,Stockport 018D,Social rented,55,642
E01005821,Stockport 018E,Social rented,95,679
E01005823,Stockport 018F,Social rented,135,696
E01005825,Stockport 019A,Social rented,93,692
E01005872,Stockport 019B,Social rented,105,802
E01005874,Stockport 019C,Social rented,447,924
E01005876,Stockport 019D,Social rented,30,610
E01005877,Stockport 019E,Social rented,113,617
E01005878,Stockport 020A,Social rented,221,637
E01005879,Stockport 020B,Social rented,92,592
E01005882,Stockport 020C,Social rented,4,489
E01005884,Stockport 020D,Social rented,9,585
E01005885,Stockport 020E,Social rented,37,637
E01005832,Stockport 021A,Social rented,84,623
E01005833,Stockport 021B,Social rented,134,464
E01005835,Stockport 021C,Social rented,10,564
E01005837,Stockport 021D,Social rented,19,672
E01005843,Stockport 021E,Social rented,9,619
E01005769,Stockport 022A,Social rented,28,663
E01005778,Stockport 022B,Social rented,54,641
E01005779,Stockport 022C,Social rented,17,580
E01005780,Stockport 022D,Social rented,34,557
E01005781,Stockport 022E,Social rented,360,820
E01005759,Stockport 023A,Social rented,39,690
E01005760,Stockport 023B,Social rented,89,848
E01005797,Stockport 023C,Social rented,107,670
E01005800,Stockport 023D,Social rented,27,693
E01005804,Stockport 023E,Social rented,111,481
E01005824,Stockport 024A,Social rented,64,610
E01005826,Stockport 024B,Social rented,278,597
E01005827,Stockport 024C,Social rented,41,598
E01005828,Stockport 024D,Social rented,393,586
E01005829,Stockport 024E,Social rented,189,498
E01005768,Stockport 025A,Social rented,5,615
E01005770,Stockport 025B,Social rented,43,629
E01005771,Stockport 025C,Social rented,23,545
E01005775,Stockport 025D,Social rented,15,624
E01005761,Stockport 026A,Social rented,150,550
E01005762,Stockport 026B,Social rented,441,664
E01005763,Stockport 026C,Social rented,249,648
E01005799,Stockport 026D,Social rented,343,701
E01005798,Stockport 027A,Social rented,125,787
E01005801,Stockport 027B,Social rented,30,634
E01005802,Stockport 027C,Social rented,19,597
E01005803,Stockport 027D,Social rented,2,602
E01005830,Stockport 027E,Social rented,96,707
E01005831,Stockport 027F,Social rented,24,664
E01005767,Stockport 028A,Social rented,9,591
E01005772,Stockport 028B,Social rented,37,573
E01005773,Stockport 028C,Social rented,54,635
E01005774,Stockport 028D,Social rented,348,684
E01005776,Stockport 028E,Social rented,11,598
E01005909,Stockport 029A,Social rented,36,645
E01005910,Stockport 029B,Social rented,197,707
E01005911,Stockport 029C,Social rented,20,540
E01005912,Stockport 029D,Social rented,2,610
E01005782,Stockport 030A,Social rented,9,552
E01005783,Stockport 030B,Social rented,55,654
E01005784,Stockport 030C,Social rented,3,529
E01005785,Stockport 030D,Social rented,27,641
E01005786,Stockport 030E,Social rented,5,610
E01005834,Stockport 031A,Social rented,167,631
E01005836,Stockport 031B,Social rented,50,851
E01005838,Stockport 031C,Social rented,28,852
E01005840,Stockport 031D,Social rented,90,732
E01005927,Stockport 032A,Social rented,7,491
E01005928,Stockport 032B,Social rented,142,674
E01005929,Stockport 032C,Social rented,10,610
E01005930,Stockport 032D,Social rented,7,600
E01005806,Stockport 033A,Social rented,2,495
E01005813,Stockport 033B,Social rented,2,612
E01005814,Stockport 033C,Social rented,2,547
E01005815,Stockport 033D,Social rented,1,586
E01005777,Stockport 034A,Social rented,116,682
E01005787,Stockport 034B,Social rented,7,474
E01005788,Stockport 034C,Social rented,27,603
E01005790,Stockport 034D,Social rented,119,511
E01005805,Stockport 035A,Social rented,28,591
E01005807,Stockport 035B,Social rented,3,623
E01005839,Stockport 035C,Social rented,3,522
E01005841,Stockport 035D,Social rented,21,625
E01005844,Stockport 036A,Social rented,3,553
E01005845,Stockport 036B,Social rented,11,604
E01005849,Stockport 036C,Social rented,1,607
E01005851,Stockport 036D,Social rented,1,611
E01005808,Stockport 037A,Social rented,2,526
E01005809,Stockport 037B,Social rented,1,498
E01005810,Stockport 037C,Social rented,23,658
E01005811,Stockport 037D,Social rented,6,636
E01005812,Stockport 037E,Social rented,1,479
E01005842,Stockport 038A,Social rented,5,673
E01005906,Stockport 038B,Social rented,1,646
E01005907,Stockport 038C,Social rented,5,609
E01005913,Stockport 038D,Social rented,37,649
E01005789,Stockport 039A,Social rented,20,655
E01005791,Stockport 039B,Social rented,72,647
E01005793,Stockport 039C,Social rented,22,621
E01005795,Stockport 039D,Social rented,6,527
E01005796,Stockport 039E,Social rented,3,497
E01005846,Stockport 040A,Social rented,37,614
E01005847,Stockport 040B,Social rented,11,619
E01005848,Stockport 040C,Social rented,4,730
E01005850,Stockport 040D,Social rented,144,759
E01005792,Stockport 041A,Social rented,3,603
E01005794,Stockport 041B,Social rented,1,504
E01005923,Stockport 041C,Social rented,2,626
E01005931,Stockport 041D,Social rented,31,643
E01005924,Stockport 042A,Social rented,0,528
E01005925,Stockport 042B,Social rented,50,612
E01005926,Stockport 042C,Social rented,3,485
E01005932,Stockport 042D,Social rented,5,535
E01006053,Tameside 001A,Social rented,12,818
E01006054,Tameside 001B,Social rented,266,759
E01006055,Tameside 001C,Social rented,29,639
E01006057,Tameside 001D,Social rented,15,644
E01006058,Tameside 001E,Social rented,51,945
E01006059,Tameside 001F,Social rented,20,612
E01005938,Tameside 002A,Social rented,153,670
E01005939,Tameside 002B,Social rented,7,494
E01005940,Tameside 002C,Social rented,72,596
E01005955,Tameside 002D,Social rented,9,632
E01006056,Tameside 003A,Social rented,295,507
E01006061,Tameside 003B,Social rented,372,962
E01006062,Tameside 003C,Social rented,14,813
E01006063,Tameside 003D,Social rented,25,564
E01005936,Tameside 004A,Social rented,67,637
E01005937,Tameside 004B,Social rented,193,692
E01005945,Tameside 004C,Social rented,341,743
E01005946,Tameside 004D,Social rented,73,676
E01005947,Tameside 004E,Social rented,183,756
E01005954,Tameside 005A,Social rented,296,777
E01005956,Tameside 005B,Social rented,64,578
E01005957,Tameside 005C,Social rented,29,589
E01005958,Tameside 005D,Social rented,278,659
E01005959,Tameside 005E,Social rented,218,655
E01005933,Tameside 006A,Social rented,298,548
E01005934,Tameside 006B,Social rented,110,614
E01005935,Tameside 006C,Social rented,314,656
E01005949,Tameside 006D,Social rented,121,715
E01005960,Tameside 006E,Social rented,240,723
E01005941,Tameside 007A,Social rented,156,731
E01005942,Tameside 007B,Social rented,49,701
E01005943,Tameside 007C,Social rented,50,828
E01005944,Tameside 007D,Social rented,20,554
E01006060,Tameside 008A,Social rented,254,687
E01006064,Tameside 008B,Social rented,384,724
E01006065,Tameside 008C,Social rented,250,500
E01006066,Tameside 008D,Social rented,83,598
E01006067,Tameside 009A,Social rented,20,727
E01006068,Tameside 009B,Social rented,184,834
E01006069,Tameside 009C,Social rented,297,650
E01006073,Tameside 009D,Social rented,249,721
E01005993,Tameside 010A,Social rented,61,615
E01005995,Tameside 010B,Social rented,15,508
E01005996,Tameside 010C,Social rented,123,804
E01005997,Tameside 010D,Social rented,88,673
E01006000,Tameside 010E,Social rented,352,822
E01005994,Tameside 011A,Social rented,65,605
E01005999,Tameside 011B,Social rented,218,840
E01006002,Tameside 011C,Social rented,73,560
E01006004,Tameside 011D,Social rented,8,603
E01006005,Tameside 011E,Social rented,242,634
E01006007,Tameside 011F,Social rented,47,655
E01005998,Tameside 012A,Social rented,20,729
E01006001,Tameside 012B,Social rented,55,647
E01006003,Tameside 012C,Social rented,16,617
E01006006,Tameside 012D,Social rented,4,604
E01005948,Tameside 013A,Social rented,411,959
E01005950,Tameside 013B,Social rented,110,584
E01005951,Tameside 013C,Social rented,140,731
E01005952,Tameside 013D,Social rented,941,1181
E01005953,Tameside 013E,Social rented,271,797
E01005961,Tameside 014A,Social rented,14,562
E01005962,Tameside 014B,Social rented,47,597
E01005968,Tameside 014C,Social rented,4,628
E01005969,Tameside 014D,Social rented,12,573
E01006022,Tameside 015A,Social rented,106,790
E01006023,Tameside 015B,Social rented,356,790
E01006070,Tameside 015C,Social rented,11,628
E01006071,Tameside 015D,Social rented,24,650
E01006072,Tameside 015E,Social rented,5,671
E01006009,Tameside 016A,Social rented,43,569
E01006017,Tameside 016B,Social rented,1,536
E01006018,Tameside 016C,Social rented,7,560
E01006021,Tameside 016D,Social rented,24,610
