area_code,area_name,geography,period,indicator,religion,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,Religious affiliation,No religion,Count,Persons,4729
E05000819,Altrincham,Electoral ward,2021-03-21,Religious affiliation,Christian,Count,Persons,6043
E05000819,Altrincham,Electoral ward,2021-03-21,Religious affiliation,Buddhist,Count,Persons,68
E05000819,Altrincham,Electoral ward,2021-03-21,Religious affiliation,Hindu,Count,Persons,511
E05000819,Altrincham,Electoral ward,2021-03-21,Religious affiliation,Jewish,Count,Persons,155
E05000819,Altrincham,Electoral ward,2021-03-21,Religious affiliation,Muslim,Count,Persons,665
E05000819,Altrincham,Electoral ward,2021-03-21,Religious affiliation,Sikh,Count,Persons,30
E05000819,Altrincham,Electoral ward,2021-03-21,Religious affiliation,Other religion,Count,Persons,54
E05000819,Altrincham,Electoral ward,2021-03-21,Religious affiliation,Not answered,Count,Persons,675
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Religious affiliation,No religion,Count,Persons,3912
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Religious affiliation,Christian,Count,Persons,5337
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Religious affiliation,Buddhist,Count,Persons,46
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Religious affiliation,Hindu,Count,Persons,149
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Religious affiliation,Jewish,Count,Persons,52
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Religious affiliation,Muslim,Count,Persons,295
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Religious affiliation,Sikh,Count,Persons,21
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Religious affiliation,Other religion,Count,Persons,55
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Religious affiliation,Not answered,Count,Persons,479
E05000821,Bowdon,Electoral ward,2021-03-21,Religious affiliation,No religion,Count,Persons,2461
E05000821,Bowdon,Electoral ward,2021-03-21,Religious affiliation,Christian,Count,Persons,4754
E05000821,Bowdon,Electoral ward,2021-03-21,Religious affiliation,Buddhist,Count,Persons,42
E05000821,Bowdon,Electoral ward,2021-03-21,Religious affiliation,Hindu,Count,Persons,251
E05000821,Bowdon,Electoral ward,2021-03-21,Religious affiliation,Jewish,Count,Persons,503
E05000821,Bowdon,Electoral ward,2021-03-21,Religious affiliation,Muslim,Count,Persons,541
E05000821,Bowdon,Electoral ward,2021-03-21,Religious affiliation,Sikh,Count,Persons,40
E05000821,Bowdon,Electoral ward,2021-03-21,Religious affiliation,Other religion,Count,Persons,21
E05000821,Bowdon,Electoral ward,2021-03-21,Religious affiliation,Not answered,Count,Persons,522
E05000822,Broadheath,Electoral ward,2021-03-21,Religious affiliation,No religion,Count,Persons,4729
E05000822,Broadheath,Electoral ward,2021-03-21,Religious affiliation,Christian,Count,Persons,6603
E05000822,Broadheath,Electoral ward,2021-03-21,Religious affiliation,Buddhist,Count,Persons,94
E05000822,Broadheath,Electoral ward,2021-03-21,Religious affiliation,Hindu,Count,Persons,787
E05000822,Broadheath,Electoral ward,2021-03-21,Religious affiliation,Jewish,Count,Persons,43
E05000822,Broadheath,Electoral ward,2021-03-21,Religious affiliation,Muslim,Count,Persons,1240
E05000822,Broadheath,Electoral ward,2021-03-21,Religious affiliation,Sikh,Count,Persons,78
E05000822,Broadheath,Electoral ward,2021-03-21,Religious affiliation,Other religion,Count,Persons,63
E05000822,Broadheath,Electoral ward,2021-03-21,Religious affiliation,Not answered,Count,Persons,654
E05000823,Brooklands,Electoral ward,2021-03-21,Religious affiliation,No religion,Count,Persons,3660
E05000823,Brooklands,Electoral ward,2021-03-21,Religious affiliation,Christian,Count,Persons,5373
E05000823,Brooklands,Electoral ward,2021-03-21,Religious affiliation,Buddhist,Count,Persons,36
E05000823,Brooklands,Electoral ward,2021-03-21,Religious affiliation,Hindu,Count,Persons,315
E05000823,Brooklands,Electoral ward,2021-03-21,Religious affiliation,Jewish,Count,Persons,51
E05000823,Brooklands,Electoral ward,2021-03-21,Religious affiliation,Muslim,Count,Persons,499
E05000823,Brooklands,Electoral ward,2021-03-21,Religious affiliation,Sikh,Count,Persons,23
E05000823,Brooklands,Electoral ward,2021-03-21,Religious affiliation,Other religion,Count,Persons,29
E05000823,Brooklands,Electoral ward,2021-03-21,Religious affiliation,Not answered,Count,Persons,540
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Religious affiliation,No religion,Count,Persons,4161
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Religious affiliation,Christian,Count,Persons,5033
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Religious affiliation,Buddhist,Count,Persons,28
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Religious affiliation,Hindu,Count,Persons,46
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Religious affiliation,Jewish,Count,Persons,25
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Religious affiliation,Muslim,Count,Persons,216
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Religious affiliation,Sikh,Count,Persons,20
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Religious affiliation,Other religion,Count,Persons,38
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Religious affiliation,Not answered,Count,Persons,542
E05000825,Clifford,Electoral ward,2021-03-21,Religious affiliation,No religion,Count,Persons,3387
E05000825,Clifford,Electoral ward,2021-03-21,Religious affiliation,Christian,Count,Persons,3402
E05000825,Clifford,Electoral ward,2021-03-21,Religious affiliation,Buddhist,Count,Persons,54
E05000825,Clifford,Electoral ward,2021-03-21,Religious affiliation,Hindu,Count,Persons,103
E05000825,Clifford,Electoral ward,2021-03-21,Religious affiliation,Jewish,Count,Persons,30
E05000825,Clifford,Electoral ward,2021-03-21,Religious affiliation,Muslim,Count,Persons,5105
E05000825,Clifford,Electoral ward,2021-03-21,Religious affiliation,Sikh,Count,Persons,420
E05000825,Clifford,Electoral ward,2021-03-21,Religious affiliation,Other religion,Count,Persons,78
E05000825,Clifford,Electoral ward,2021-03-21,Religious affiliation,Not answered,Count,Persons,794
E05000826,Davyhulme East,Electoral ward,2021-03-21,Religious affiliation,No religion,Count,Persons,3379
E05000826,Davyhulme East,Electoral ward,2021-03-21,Religious affiliation,Christian,Count,Persons,5357
E05000826,Davyhulme East,Electoral ward,2021-03-21,Religious affiliation,Buddhist,Count,Persons,35
E05000826,Davyhulme East,Electoral ward,2021-03-21,Religious affiliation,Hindu,Count,Persons,92
E05000826,Davyhulme East,Electoral ward,2021-03-21,Religious affiliation,Jewish,Count,Persons,11
E05000826,Davyhulme East,Electoral ward,2021-03-21,Religious affiliation,Muslim,Count,Persons,227
E05000826,Davyhulme East,Electoral ward,2021-03-21,Religious affiliation,Sikh,Count,Persons,41
E05000826,Davyhulme East,Electoral ward,2021-03-21,Religious affiliation,Other religion,Count,Persons,33
E05000826,Davyhulme East,Electoral ward,2021-03-21,Religious affiliation,Not answered,Count,Persons,409
E05000827,Davyhulme West,Electoral ward,2021-03-21,Religious affiliation,No religion,Count,Persons,3413
E05000827,Davyhulme West,Electoral ward,2021-03-21,Religious affiliation,Christian,Count,Persons,5990
E05000827,Davyhulme West,Electoral ward,2021-03-21,Religious affiliation,Buddhist,Count,Persons,31
E05000827,Davyhulme West,Electoral ward,2021-03-21,Religious affiliation,Hindu,Count,Persons,32
E05000827,Davyhulme West,Electoral ward,2021-03-21,Religious affiliation,Jewish,Count,Persons,20
E05000827,Davyhulme West,Electoral ward,2021-03-21,Religious affiliation,Muslim,Count,Persons,188
E05000827,Davyhulme West,Electoral ward,2021-03-21,Religious affiliation,Sikh,Count,Persons,5
E05000827,Davyhulme West,Electoral ward,2021-03-21,Religious affiliation,Other religion,Count,Persons,19
E05000827,Davyhulme West,Electoral ward,2021-03-21,Religious affiliation,Not answered,Count,Persons,465
E05000828,Flixton,Electoral ward,2021-03-21,Religious affiliation,No religion,Count,Persons,3649
E05000828,Flixton,Electoral ward,2021-03-21,Religious affiliation,Christian,Count,Persons,6378
E05000828,Flixton,Electoral ward,2021-03-21,Religious affiliation,Buddhist,Count,Persons,28
E05000828,Flixton,Electoral ward,2021-03-21,Religious affiliation,Hindu,Count,Persons,60
E05000828,Flixton,Electoral ward,2021-03-21,Religious affiliation,Jewish,Count,Persons,21
E05000828,Flixton,Electoral ward,2021-03-21,Religious affiliation,Muslim,Count,Persons,104
E05000828,Flixton,Electoral ward,2021-03-21,Religious affiliation,Sikh,Count,Persons,17
E05000828,Flixton,Electoral ward,2021-03-21,Religious affiliation,Other religion,Count,Persons,31
E05000828,Flixton,Electoral ward,2021-03-21,Religious affiliation,Not answered,Count,Persons,505
E05000829,Gorse Hill,Electoral ward,2021-03-21,Religious affiliation,No religion,Count,Persons,4008
E05000829,Gorse Hill,Electoral ward,2021-03-21,Religious affiliation,Christian,Count,Persons,5496
E05000829,Gorse Hill,Electoral ward,2021-03-21,Religious affiliation,Buddhist,Count,Persons,59
E05000829,Gorse Hill,Electoral ward,2021-03-21,Religious affiliation,Hindu,Count,Persons,77
E05000829,Gorse Hill,Electoral ward,2021-03-21,Religious affiliation,Jewish,Count,Persons,20
E05000829,Gorse Hill,Electoral ward,2021-03-21,Religious affiliation,Muslim,Count,Persons,1539
E05000829,Gorse Hill,Electoral ward,2021-03-21,Religious affiliation,Sikh,Count,Persons,275
E05000829,Gorse Hill,Electoral ward,2021-03-21,Religious affiliation,Other religion,Count,Persons,45
E05000829,Gorse Hill,Electoral ward,2021-03-21,Religious affiliation,Not answered,Count,Persons,660
E05000830,Hale Barns,Electoral ward,2021-03-21,Religious affiliation,No religion,Count,Persons,2034
E05000830,Hale Barns,Electoral ward,2021-03-21,Religious affiliation,Christian,Count,Persons,4603
