period,area_code,area_name,geography,gender,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
2018-06-30,E02001265,Trafford 007,MSOA,Male,3865,855,2345,665,55,56,46,44,51,43,54,54,54,61,61,52,51,50,53,70,48,56,40,43,36,40,47,36,61,41,31,47,30,39,49,46,47,42,55,42,61,39,39,44,54,42,45,58,47,56,51,57,51,46,48,50,66,51,61,49,55,51,60,52,49,47,53,52,35,33,38,43,34,39,55,49,36,33,36,30,19,27,26,19,20,11,13,15,18,6,17,9,4,7,28
2018-06-30,E02001266,Trafford 008,MSOA,Female,3585,663,2261,661,35,52,31,39,53,43,40,33,39,36,52,38,44,44,51,33,49,40,43,23,34,32,41,37,37,42,36,45,46,33,43,35,58,50,43,51,48,58,59,53,45,37,42,48,33,53,57,48,53,60,66,64,67,62,68,58,49,52,43,52,42,36,21,38,31,33,27,34,36,26,45,36,39,24,21,17,22,17,29,32,38,23,24,18,14,18,11,12,12,10,43
2018-06-30,E02001266,Trafford 008,MSOA,Male,3395,685,2222,488,33,42,47,41,43,51,43,43,45,36,47,35,54,44,40,41,48,42,50,30,31,34,30,35,42,46,36,42,44,37,43,43,47,48,49,53,40,58,47,40,40,37,37,42,47,36,49,47,45,55,45,49,64,60,67,50,62,62,59,41,42,46,55,28,42,38,29,24,37,28,24,37,32,24,27,28,23,12,18,19,11,12,9,6,8,7,5,4,4,9,13
2018-06-30,E02001267,Trafford 009,MSOA,Female,4028,692,2446,890,40,46,42,39,40,46,48,65,49,46,38,33,52,37,33,38,46,36,44,32,31,31,43,46,42,36,62,51,58,57,48,52,65,44,65,59,50,55,46,54,58,31,47,59,58,49,51,57,60,54,50,66,60,66,68,60,59,49,39,49,41,39,40,36,47,44,37,40,30,31,42,46,39,32,21,35,28,28,35,36,32,36,31,30,28,29,20,26,30,14,90
2018-06-30,E02001267,Trafford 009,MSOA,Male,3573,591,2365,617,34,40,40,35,43,38,35,30,43,44,31,31,46,35,31,35,44,38,39,38,35,36,27,47,41,45,49,56,52,52,49,39,50,46,58,47,59,59,43,37,41,44,48,41,49,54,52,62,46,47,52,47,56,74,71,63,67,52,60,60,46,38,38,39,32,36,33,45,39,35,41,31,30,30,23,16,16,13,17,28,20,17,24,17,16,11,18,14,14,8,25
2018-06-30,E02001268,Trafford 010,MSOA,Female,3653,604,2121,928,36,37,34,45,30,40,45,40,36,37,30,42,41,27,48,36,50,45,37,23,23,32,22,27,25,24,23,25,27,26,29,32,38,37,43,37,44,47,44,50,48,44,62,38,44,51,47,42,55,53,66,57,59,74,81,56,61,51,46,53,44,36,42,55,46,49,44,48,50,50,46,55,32,55,48,36,29,33,32,37,27,33,29,23,21,28,20,30,17,14,42
2018-06-30,E02001268,Trafford 010,MSOA,Male,3383,611,2030,742,28,37,38,33,40,31,43,46,34,42,45,39,43,30,45,37,35,30,40,24,20,22,26,30,31,28,29,30,21,31,26,19,36,37,33,43,35,42,48,52,53,36,46,42,33,59,52,63,70,58,56,45,58,55,58,57,53,53,44,61,40,53,37,42,38,42,50,45,40,33,52,37,43,30,40,39,32,25,26,31,21,18,24,18,11,11,13,14,14,7,26
2018-06-30,E02001269,Trafford 011,MSOA,Female,4248,834,2671,743,54,55,40,45,48,36,49,65,44,54,69,65,45,57,58,50,41,50,53,31,23,33,34,39,41,47,50,53,58,59,66,56,56,80,72,71,78,74,74,74,65,55,59,43,62,52,74,53,65,68,55,48,55,57,62,60,55,51,50,55,47,43,43,39,42,57,36,38,51,33,36,47,28,25,24,23,13,25,22,31,23,24,23,26,23,17,15,23,19,16,45
2018-06-30,E02001269,Trafford 011,MSOA,Male,4155,875,2718,562,43,48,56,49,55,68,74,50,67,53,60,53,59,60,45,35,52,40,53,30,33,42,41,42,64,52,52,51,52,52,58,65,70,72,69,77,72,84,69,66,65,64,62,51,64,55,67,66,42,65,47,56,44,72,65,50,38,47,55,44,58,54,42,45,42,46,33,39,38,29,37,36,27,29,22,26,15,20,10,14,13,8,11,14,15,16,11,9,7,13,24
2018-06-30,E02001270,Trafford 012,MSOA,Female,4306,941,2652,713,60,70,77,69,67,57,58,64,56,66,59,51,46,52,51,38,44,31,34,15,21,28,29,30,26,41,54,51,58,62,51,68,90,79,87,65,77,79,72,75,87,67,52,68,65,69,79,76,60,63,55,50,60,57,51,42,49,53,41,37,48,44,37,40,35,25,35,31,36,29,35,44,39,28,39,19,29,32,28,30,18,25,24,15,18,11,17,18,15,10,63
